FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
Eni IRM,,,,,Eni,Operational,Other,21 May 2012,,
Eni IRM ROV survey,,,,,Eni,Completed,,11 Feb 2013,,
Escravos Terminal,,,,,,Completed,Infrastructure,30 Jun 1968,,
Eugene Island Area,,,,,Chevron,Completed,Infrastructure,1 Jul 1992,33,
Export Riser Support Structure,,,,,Statoil,Completed,Infrastructure,1 Jul 1995,151,
FLAGS pipeline & St Fergus Terminal,,,,,Shell,Completed,Infrastructure,15 May 1982,,"The Flags (Far North Liquids and Associated Gas System) Pipeline is used to transport gas from the following oil platforms Cormorant A, North Cormorant, North West Hutton, Ninian Central, Ninian North & South, Brent A, B, C & 'D, Tern 
Magnus, Thistle, Murchison, Statfjord, Heather"
Fourth LNG Terminal,,,,,Petrobras,Possible,Infrastructure,1 Jul 2016,,07/11 - Decision about fourth terminal will be made in 2013.
Fujairah Refinery,,,,,IPIC,Construction,Infrastructure,15 Jun 2016,,
Gassco IRM,,,,,,Cancelled,Other,15 Oct 2012,,09/12: Deepocean currently holds this IRM wrokscope and it is not expected to tender until 2013.
GDF Suez Dutch Shelf IRM,,,,,GDF Suez,Operational,Other,19 Oct 2012,,
Golden Pass LNG,,,,,ExxonMobil,Completed,Infrastructure,15 Aug 2010,,"The plant is designed with the capacity to process 15.6 million metric tons per year (MTA) of LNG, which is equivalent to approximately 2 billion cubic feet of natural gas a day"
Guamare land terminal,,,,,Petrobras,Completed,Infrastructure,1 Jul 1998,4,
Gulf of Kutch,,,,,IOCL,Completed,Infrastructure,1 Jul 1996,24,
Gulf of Kutch - PLEM,,,,,Indian Oil Corporation,Completed,Infrastructure,1 Jul 1997,17,
Gulf of Kutch - PLEM,,,,,Indian Oil Corporation,Completed,Infrastructure,1 Jul 1997,17,
Gulf of Kutch Mooring Buoy,,,,,IOCL,Completed,Infrastructure,1 Jul 1978,0,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1997,46,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1997,46,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1998,,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1998,,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1998,,
Gulf of Suez,,,,,GUPCO,Completed,Infrastructure,1 Jul 1998,,
Gulf of Suez Mooring Buoy,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1985,15,
Gulf of Thailand Fields,,,,,Chevron,Completed,Other,1 Jul 1992,70,
Gulf of Thailand Fields,,,,,Chevron,Completed,Infrastructure,1 Jul 1992,70,
Gulf of Thailand Fields,,,,,Chevron,Completed,Infrastructure,1 Jul 1992,70,
Gulfport Channel Area,,,,,Chevron,Completed,Infrastructure,1 Jul 1992,6,
Habshan Gas Complex,,,,,GASCO,Completed,Infrastructure,1 Jan 1983,,11/08: Hail to be tied-in to Habshan (sour gas); Habshan receiving expansion work
Interconnector at Valleyfield across North Channel,,,,,Premier,Completed,Infrastructure,1 Jul 1995,90,
Israel onshore LNG,,,,,,Possible,Infrastructure,1 Jul 2019,,Israel Govt. published in June 2009 an international tender for construction of an onshore terminal for importing LNG. The final tender was expected to be published in 2H 2010. The installation is due to start operating by August 2015.
IT/IN,,,,,ONGC,Completed,Infrastructure,1 Jul 1993,70,
Jask Export Terminal,,,,,NIOC,Planned,Infrastructure,5 Dec 2018,,02/09: Neka-Jask cross-country ppl will end in southern Jask Export Terminal in Iran; would allow crude export to bypass the Strait of Hormuz
Java Sea Area,,,,,,Completed,Infrastructure,1 Jun 1972,41,
Java Sea Area 1971,,,,,,Completed,Infrastructure,1 Jun 1971,37,
Jizan Port Terminal,,,,,,Operational,Infrastructure,1 Jan 1995,15,
Jordan Cove Energy Project,,,,,,Possible,Infrastructure,29 Jun 2017,,"5/13: JCEP has filed application with FERC. 

Marine facility comprises a single marine berth"
Jurong Island LNG,,,,,,Completed,Infrastructure,27 Mar 2013,,"02/11: Operated by Singapore LNG Corporation, a company incorporated by the state's regulatory body Energy Market Authority. Expected to process six million tonnes LNG per annum (Mtpa)."
Kaarsto,,,,,Statoil,Completed,Infrastructure,25 Jun 1985,,gas processing plant
Keathley Canyon Connector,,,,,Williams,Construction,Infrastructure,31 Oct 2014,"1,132",1/14: Williams expects KCC to be in service October 2014
Khursaniyah Gas Plant,,,,,Saudi Aramco,Operational,Infrastructure,15 Apr 2010,,
Khursaniyah Oil Plant,,,,,Saudi Aramco,Operational,Infrastructure,20 Aug 2008,,
Kollsnes gas treatment plant,,,,,Statoil,Completed,Infrastructure,1 Oct 1996,,"The processing plant at Kollsnes west of Bergen treats gas from the Troll, Kvitebj›rn and Visund fields, and can handle up to 143 million scm/d."
Kumul Marine Terminal IRM,,,,,Oil Search,Completed,,1 Aug 2012,,
Lavaca Bay St Tract 333,,,,,TOMCAT Pipeline,Completed,Infrastructure,1 Jul 1989,2,
Longford,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 2011,,
Longhorn - IRM,,,,Longhorn,Eni,Completed,Other,1 Aug 2013,721,
Luni Landfall,,,,,Indian Oil Corporation,Completed,Infrastructure,1 Jul 1999,2,
Ma Bian Zhou Island,,,,,Hua De Petro-Chem,Completed,Infrastructure,1 Jul 1996,4,
Malongo Oil Terminal,,,,,CABGOC,Completed,Infrastructure,28 May 2003,,
"Maritimes p/l in Beverly, Mass",,,,,Algonquin Gas,Completed,Infrastructure,1 Jul 2003,0,
Martian1,,,,,,Operational,Infrastructure,1 Jan 1990,,
Matagorda Is Area,,,,,Conquest Exploration Company,Completed,Infrastructure,1 Jul 1984,3,
Mina Al Ahmadi Gas Port (MAAGP) Terminal,,,,,KNPC,Operational,Infrastructure,15 Aug 2009,,
Mississippi Sound Area,,,,,Offshore Group,Completed,Infrastructure,1 Jul 1994,6,
MLNG-2 Train,,,,,,Completed,Infrastructure,1 Jun 1995,20,
Mobile Bay Area,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1991,6,
"Mobile Bay Blks 62, 111, 112, 114, 115",,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1992,14,
"Mobile Bay Blks 62, 111, 112, 114, 115",,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1992,13,
