FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
South Pars Oil Layer (SPOL) Phase 2,Middle East,Iran,South Pars,South Pars,PEDCO,Planned,Fixed,31 Jan 2021,70,
South Pars Phase 10,Middle East,Iran,South Pars,South Pars,POGC,Operational,Fixed,31 Jan 2009,70,
South Pars Phase 11,Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,1 Jan 2016,70,"2011: project delayed due to budget constraints and lack of contractors able to work with Iran due to the US, EU and UN sanctions. The infrastructure is being installed  in between wide gaps."
South Pars Phase 12,Middle East,Iran,South Pars,South Pars,POGC,Completed,Fixed,30 Sep 2014,70,
South Pars Phase 13,Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,5 Jan 2016,70,"In 2010, Sadra was awarded a USD 5 billion contract to devl South Pars Phase 13"
South Pars Phase 14,Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,31 Dec 2017,70,
South Pars Phase 19,Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,10 Jul 2017,70,
South Pars Phases 15 & 16,Middle East,Iran,South Pars,South Pars,IOOC,Operational,Fixed,5 Aug 2014,70,"05/10: these two phases will produce 2 billion cubic feet (57,000,000 m3) per day of natural gas, 75 MMcf/d of ethane, 80,000 barrels per day of condensate, 3000 tons of LPG per day plus 400 tons of sulfur per day"
South Pars Phases 17 & 18,Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,1 Apr 2015,70,
South Pars Phases 20 & 21,Middle East,Iran,South Pars,South Pars,PEDCO,Construction,Fixed,5 Jan 2015,70,
"South Pars Phases 22, 23 & 24",Middle East,Iran,South Pars,South Pars,POGC,Construction,Fixed,1 Jan 2018,70,
South Pars SPM,Middle East,Iran,South Pars,South Pars,PEDCO,Construction,Fixed,15 Dec 2015,70,09/2013:  C-Master to conclude South Pars SPM project in two years' time
Tosan (Tousan),Middle East,Iran,Tosan,Tosan (Tousan),PEDCO,Construction,Fixed,1 Aug 2016,70,
Al-Bakir 1981,Middle East,Iraq,,Al-Bakir,,Completed,Infrastructure,1 Jun 1981,26,
Iraq Crude Oil Export Expansion (ICOEEP) Phase 1,Middle East,Iraq,,,South Oil Company,Operational,Infrastructure,1 Jul 2012,8,
Iraq Crude Oil Export Facility Reconstruction,Middle East,Iraq,,,South Oil Company,Completed,Fixed&SS,15 Jun 2014,14,Also known as Sealine project
Khor Al Amaya,Middle East,Iraq,,Khor Al Amaya,,Completed,Infrastructure,1 Jun 1981,26,
Jordan LNG Terminal,Middle East,Jordan,,,ADC,Construction,FPS,31 Mar 2015,15,
Ahmadi Crude Export 2009,Middle East,Kuwait,,Ahmadi,KOC,Operational,Infrastructure,1 Nov 2009,23,
Al Ahmadi New Refinery Project (NRP),Middle East,Kuwait,,,KNPC,Tendering,Infrastructure,20 Jun 2018,21,
Al Zour Oil Refinery,Middle East,Kuwait,,,KNPC,Tendering,Infrastructure,28 Feb 2019,37,"08/ 2014:  project expected to boost Kuwait's total refinery capacity to 1.45 Mb/d
02/2012: green light to go ahead with the project
09/10: Kuwait National Assembly declared the project's contract award null and void in 2009 but it is now understood to be undergoing review from the Supreme Petroleum Council whether to proceed with the project or not"
Arabian Gulf,Middle East,Kuwait,,Arabian Gulf,,Completed,Infrastructure,1 Jun 1995,30,
Export Expansion - Off Ahmadi,Middle East,Kuwait,,Ahmadi,KOC,Operational,Infrastructure,31 Dec 2008,23,
Mab Sea Island Area,Middle East,Kuwait,,,KOC,Completed,Fixed,1 Jul 1987,20,
Mina Al Ahmadi LNG project,Middle East,Kuwait,,,KNPC,Operational,FPS,15 Feb 2014,,Golar Igloo chartered to undertake seasonal 5-year charter for 9-month dockside regasification and storage work each year
Safaniyah,Middle East,Kuwait,,Safaniyah,KOC,Completed,Fixed,1 Jul 1985,30,
Sea Island Terminal - Al Tameer Project,Middle East,Kuwait,,Al Tameer,,Completed,Infrastructure,1 Jun 1995,30,
Al Khafji 1985,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,1 Jan 1986,40,
Al Khafji 1987,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,31 Dec 1987,40,
Al Khafji 1994-'98,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,31 Dec 1998,40,
Al Khafji 2006-'07,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,1 Dec 2007,40,
Al Khafji 2010,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,15 Jan 2011,40,
Al Khafji 2013,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,1 Dec 2013,40,
Al Khafji 2016,Middle East,Neutral Zone,,Al Khafji,KJO,Planned,Fixed,31 Mar 2016,40,
Al Khafji Pipeline 2014 (KGOC-KJO),Middle East,Neutral Zone,,Al Khafji,KJO,Construction,Infrastructure,14 Nov 2014,40,02/11: the gas pipeline will run from the Saudi-Kuwait Neutral Zone's Khafji field to Kuwait City; it will supply the feedstock for power generation
Al Khafji SBM 1967,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,1 Jan 1968,40,
Al Khafji SBM 1972,Middle East,Neutral Zone,,Al Khafji,KJO,Operational,Fixed,1 Jul 1972,40,
Hout,Middle East,Neutral Zone,,Hout,KJO,Completed,Fixed,1 Jul 1965,45,
Hout (KRL),Middle East,Neutral Zone,,Hout,KJO,Construction,Fixed,31 Dec 2014,45,
Hout Crude Transmission Line,Middle East,Neutral Zone,,Hout,KJO,Construction,Fixed,30 Apr 2015,45,
KJO Upgrade (5-yr maintenance),Middle East,Neutral Zone,,Al Khafji,KJO,Tendering,Fixed,31 Oct 2019,40,
Bukha,Middle East,Oman,8,Bukha,"INTL PETROLEUM SUDAN, RAK Petroleum",Completed,Fixed,1 Apr 1994,88,
Bukha Platform Modification,Middle East,Oman,8,Bukha,DNO,Operational,Fixed,1 Oct 2013,88,
Kuria Muria Field,Middle East,Oman,,Kuria Muria Field,,Completed,Infrastructure,1 Jun 1984,38,
Mina-as-Fahal,Middle East,Oman,,Mina Al Fahal,,Completed,Infrastructure,1 Jun 1963,35,
Musandam Offshore Pipeline,Middle East,Oman,8,Bukha,OOCEP,Completed,Fixed,5 Feb 2014,45,
Musandam oil and gas terminal,Middle East,Oman,,,OOCEP,Construction,Infrastructure,10 Jun 2015,67,
Qalhat Plant,Middle East,Oman,,Qalhat Plant,,Completed,Infrastructure,1 Jun 1998,12,
West Bukha IRM,Middle East,Oman,8,West Bukha,DNO,Completed,Other,10 Jul 2012,88,
West Bukha Phase 1,Middle East,Oman,8,West Bukha (+ Bukha),DNO,Operational,Fixed,19 Feb 2009,88,"9/11:  RAK Petroleum oil and gas companies merged with DNO International 
9/08: Full field dev. in 3-4 years."
West Bukha Pipeline Replacement,Middle East,Oman,8,West Bukha,DNO,Completed,Fixed,18 Jul 2012,88,07/12: the project will replace 5km of the field's 12-in pipeline
West Bukha ROV survey,Middle East,Oman,8,West Bukha,DNO,Completed,Fixed,5 Jul 2012,88,
Al Karkara upgrade (A-Structure South),Middle East,Qatar,1SE,Al-Karkara/A-Structure,Qatar Petroleum Development (QPD),Completed,Fixed,1 Aug 2011,40,
Al Khaleej Phase 1 (AKG-1),Middle East,Qatar,"B, Ras Laffan",North Field,RasGas,Operational,Fixed,1 Jan 2006,80,
Al Khaleej Phase 2 (AKG-2),Middle East,Qatar,"B, Ras Laffan",North Field,RasGas,Operational,Fixed,1 Dec 2009,80,RasGas is a JV of Qatar Petroleum (70 per cent) and ExxonMobil (30 per cent)
Al Khalij Phase 1,Middle East,Qatar,Block 6,Al Khalij,Total,Completed,Fixed,31 Jan 1997,53,
Al Khalij Phase 2,Middle East,Qatar,Block 6,Al Khalij,Total,Completed,Fixed,1 Dec 2001,53,
Al Khalij Phase 3,Middle East,Qatar,Block 6,Al Khalij,Total,Completed,Fixed,1 Jul 2004,53,
Al Rayyan,Middle East,Qatar,12,Al Rayyan,,Completed,FPS,12 Nov 1996,30,
Al Rayyan - Jack-UP,Middle East,Qatar,12,Al Rayyan,Anadarko,Completed,Fixed,1 Jul 2003,30,
Al Rayyan pipelines 2012-2013,Middle East,Qatar,12,Al Rayyan,Occidental,Completed,Fixed,7 Oct 2013,30,
Al Shaheen,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Completed,FPS,15 Aug 1994,85,
Al Shaheen Extension,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Operational,FPS&Fixed,31 Aug 2010,85,
Al Shaheen Phase I,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Operational,Fixed,15 Aug 1994,85,
Al Shaheen Phase II,Middle East,Qatar,5,Al Shaheen,"Maersk Contractors, Maersk Oil",Operational,Fixed,15 Aug 1994,85,
Al Shaheen Phase III,Middle East,Qatar,5,Al Shaheen,"Maersk Contractors, Maersk Oil",Completed,Fixed,15 Aug 1998,85,
Al Shaheen Phase IV,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Operational,Fixed,15 Aug 2002,85,
Al Shaheen support services,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Completed,Fixed,31 Aug 2010,85,
Al Shaheen WI pipelines,Middle East,Qatar,5,Al Shaheen,Maersk Oil,Completed,Fixed,8 Dec 2014,85,
Al-Karkara Phase I,Middle East,Qatar,1SE,Al-Karkara/A-Structure,Qatar Petroleum,Completed,Fixed&SS,4 Nov 1998,40,
Arab B,Middle East,Qatar,12,Al Rayyan,BP,Completed,Infrastructure,12 Nov 1996,30,
Barzan Gas Project - Phase I,Middle East,Qatar,"B, Ras Laffan",North Field,RasGas,Construction,Fixed,31 Dec 2014,80,09/10: RasGas is the project operator; RasGas is a JV between state-owned Qatar Petroleum (70 per cent) and ExxonMobil (30 per cent)
Block 5,Middle East,Qatar,,,Maersk Contractors,Completed,Infrastructure,1 Jul 2004,27,
Bul Hanine (PS-3),Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Completed,Fixed,1 Jun 1972,21,04/2013: Bul Hanine also known as PS-3
Bul Hanine FMB project,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Working,Fixed,25 Apr 2016,21,"10/2013:  QP's FMB project is also known as the Forwarded Mounting Block, located on the Bul Hanine field"
Bul Hanine Phase III,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Completed,Fixed,1 Jun 1972,21,
Bul Hanine Phase V,Middle East,Qatar,Bul Hanine,Bul Hanine,"Mecon, Qatar Petroleum",Completed,Fixed,1 Jun 1972,21,
Bul Hanine Phase VI,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Completed,Fixed,1 Jun 1972,21,
Bul Hanine Phase VII,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Completed,Fixed,1 Sep 2008,21,Bul Hanine is also known as PS3 project
Bul Hanine Redevelopment,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Planned,Fixed,31 Dec 2021,21,06/2014: 150 new wells are planned to be drilled on both the new and modified wellhead jackets
Bul Hanine STP project,Middle East,Qatar,Bul Hanine,Bul Hanine,Qatar Petroleum,Working,Fixed,31 Dec 2014,21,
Dolphin Project,Middle East,Qatar,"B, Ras Laffan",North Field,Qatar Petroleum,Operational,Fixed,1 Mar 2007,80,
Flow Assurance Project (FAP),Middle East,Qatar,"B, Ras Laffan",North Field,"Dolphin Energy, Qatargas, Qatar Petroleum, RasGas",Working,Fixed,31 Aug 2016,80,
Halul Island,Middle East,Qatar,,Halul Island,,Completed,Infrastructure,1 Jun 1965,33,
Idd El Shargi (PS-1),Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,"Occidental, Qatargas, Total",Completed,Fixed,1 Jul 1963,36,04/2013: also known as PS-1
Idd El Shargi North Dome Phase 3,Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Occidental,Planned,Fixed,31 Jan 2017,36,05/09: Oxy Qatar received an approval from the Qatari governmnet in 2008 for the Phase 3 devt on Idd El Shargi North Dome (ISND) field; drilling in the new development phase will likely continue to 2012
Idd El Shargi North Dome Phase 5,Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Occidental,Tendering,Fixed,31 Dec 2018,36,07/2013:  development activities are expected to reach aggregate investment amounting to more than USD 3 billion
Idd El Shargi ppls 2010,Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Occidental,Completed,Fixed,1 Dec 2010,36,
Idd el Shargi Well Maintenance,Middle East,Qatar,,Idd el Shargi,Occidental,Working,Fixed,1 Dec 2012,30,"12/2012:GMS Kikuyu under a long-term contract with Oxy, from Dec 2012 to December 2015, for the Idd El Shargi well maintenance"
Maydan Mahzam,Middle East,Qatar,Maydan Mahzam,Maydan Mahzam (PS-2),Qatar Petroleum,Completed,Fixed&SS,1 Jun 1965,33,06/12: also known as PS-2
North Field Alpha,Middle East,Qatar,"B, Ras Laffan",North Field,"Qatargas, RasGas, Total",Completed,Fixed,1 Sep 1991,80,
Offshore Qatar,Middle East,Qatar,"B, Ras Laffan",North Field,Maersk Oil,Operational,FPS,15 Feb 1996,80,Two year charter with third year option.
Pacific Jewel Replacement,Middle East,Qatar,12,Al Rayyan,Occidental,Completed,FPS,31 Dec 2009,30,"5/09: FSO w/800,000 bbl storage to replace Pacific Jewel, which will be scrapped. Teekay rumored low bidder over Modec, Prosafe, Tanker Pacific. Will be redeployment of existing unit."
Pearl GTL,Middle East,Qatar,"B, Ras Laffan",North Field,Shell,Operational,Fixed,23 Mar 2011,80,
PS-2 & PS-3 Platform equipment installation,Middle East,Qatar,Maydan Mahzam,Maydan Mahzam (PS-2),Qatar Petroleum,Completed,Fixed,15 May 2013,33,
Qatargas 1,Middle East,Qatar,"B, Ras Laffan",North Field,"ExxonMobil, Qatargas, Qatar Petroleum, Total",Operational,Fixed,1 Sep 1991,80,
Qatargas 2,Middle East,Qatar,"B, Ras Laffan",North Field,Qatargas,Operational,Fixed,1 Dec 2009,80,
Qatargas 2 Expansion,Middle East,Qatar,"B, Ras Laffan",North Field,Qatargas,Operational,Infrastructure,1 Dec 2009,80,
Qatargas 3&4,Middle East,Qatar,"B, Ras Laffan",North Field,Qatargas,Operational,Fixed,1 Jan 2011,80,"02/11: Qatargas has a production capacity of 42mtpa of LNG from its seven trains; Qatargas 4 produces 1.4 billion scf/d, delivering 7.8 mtpa of LNG and 70,000 b/d of condensate and liquefied petroleum gas (LPG)"
Ras Laffan,Middle East,Qatar,Ras Laffan,North Field,"Dolphin Energy, Qatargas, Qatar Petroleum, RasGas",Operational,Infrastructure,31 Dec 1996,80,
Ras Laffan Condensate Export,Middle East,Qatar,"B, Ras Laffan",North Field,Qatargas,Completed,Infrastructure,31 Dec 2007,80,
Rasgas,Middle East,Qatar,"B, Ras Laffan",North Field,ExxonMobil,Completed,Infrastructure,1 Jul 1997,80,
RasGas 1 & 2,Middle East,Qatar,"B, Ras Laffan",North Field,RasGas,Operational,Fixed,15 Aug 1999,80,
"RasGas 3,4 & 5",Middle East,Qatar,"B, Ras Laffan",North Field,RasGas,Operational,Fixed,31 Oct 2005,80,
RasGas Expansion Project,Middle East,Qatar,"B, Ras Laffan",North Field,RasGas II,Operational,Fixed,1 Dec 2009,80,
Umm Said Field,Middle East,Qatar,,Umm Said Field,,Completed,Infrastructure,1 Jun 1983,20,
Abqaiq-Sitrah pipeline replacement,Middle East,Saudi Arabia,,,Saudi Aramco,Planned,Other,1 Jan 2019,25,"05/14:  3 pipeline tenders for this project but 2 are for offshore and 1 is for onshore
02/09. Worley awarded FEED contract. FEED expected to be completed by end-2009."
Abu Sa'fah,Middle East,Saudi Arabia,,Abu Sa'fah,Saudi Aramco,Completed,Fixed,15 Jan 1966,15,
Abu Sa'Fah Extension,Middle East,Saudi Arabia,,Abu Sa'fah,Saudi Aramco,Completed,Fixed,15 Jan 1966,15,
Abu Sa'fah Phase I,Middle East,Saudi Arabia,,Abu Sa'fah,Saudi Aramco,Completed,Infrastructure,15 Jan 1966,15,
Abu Sa'fah Phase II,Middle East,Saudi Arabia,,Abu Sa'fah,Saudi Aramco,Completed,Fixed,15 Jan 1966,15,
Abu Safah LTA,Middle East,Saudi Arabia,,Abu Sa'fah,Saudi Aramco,Completed,Fixed,30 Nov 2013,15,
Abu Safah-Marjan LTA,Middle East,Saudi Arabia,,Abu Sa'fah (+ Marjan/Zuluf),Saudi Aramco,Construction,Fixed,15 Sep 2016,15,
Berri,Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,1 Oct 1970,30,
Berri 2008-09,Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,30 Sep 2009,30,
Dorra,Middle East,Saudi Arabia,,Dorra,Saudi Aramco,Planned,Fixed,5 Aug 2019,30,"01/12: Iranian side of the field is known as Arash; Dorra field encompasses Kuwait, Saudi Arabia and Iran; northeastern tip of the field is located off Iran"
Duba Terminal,Middle East,Saudi Arabia,,Duba Terminal,,Completed,Infrastructure,1 Jun 1998,30,
Hardiya,Middle East,Saudi Arabia,,Hardiya,Saudi Aramco,Completed,Infrastructure,1 Jul 1987,15,
Ju'Aymah 1974,Middle East,Saudi Arabia,,Ju'Aymah,,Completed,Infrastructure,1 Jun 1974,41,
Ju'Aymah 1975,Middle East,Saudi Arabia,,Ju'Aymah,,Completed,Infrastructure,1 Jun 1975,41,
Karan Phase 1,Middle East,Saudi Arabia,,Karan,Saudi Aramco,Operational,Fixed,31 Oct 2012,30,03/09: includes facilities that will transport gas from the field via a 110-km subsea ppl to onshore processing facilities at the Khursaniya gas plant; field is expected to produce 1.8 Bscf/d of Karan Khuff gas when completed
Karan-45,Middle East,Saudi Arabia,,Karan,Saudi Aramco,Construction,Fixed,31 Dec 2016,30,
Khursaniyah Gas Plant Expansion (Karan),Middle East,Saudi Arabia,,Karan,Saudi Aramco,Operational,Infrastructure,15 Mar 2012,30,satrt-up in early 2012; by 2013 it will be able to process 1.8 billion scfd of non-associated gas from three Karan gas trains with 600 MMscf/d capacity each
Maintain Potential 2009,Middle East,Saudi Arabia,,Aramco fields (Maintain Potential Project),Saudi Aramco,Completed,Fixed,1 Jul 2009,51,8/07: Work on the first package is targeted for completion by 2009.
Maintain Potential Program 2016-2020,Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Saudi Aramco,Tendering,Fixed,1 Jul 2020,25,"07/14: The MPP scope will cover five fields that comprise Zuluf, Marjan, Berri, Arabiyah and Safaniya. The initial programme covers two wellhead platforms, four oil platforms, one gas production platform and 11 auxiliary platforms within the Safaniya complex. Also included are upgrade scope for 17 platforms; installation of 65km pipelines, both cladded and flexible type of various internal diameter, and 200km of cables plus umbilicals of 115KV and 15KV as well as a tie-in platform with jacket and deck."
"Maintain Potential Project 2011 (Abu Safah, Berri, Safaniya)",Middle East,Saudi Arabia,,Aramco fields (Maintain Potential Project),Saudi Aramco,Operational,Fixed,30 Nov 2011,51,
Manifa,Middle East,Saudi Arabia,,Manifa,Saudi Aramco,Completed,Fixed,1 Jul 1964,30,
Manifa onshore processing terminal,Middle East,Saudi Arabia,,Manifa,Saudi Aramco,Operational,Infrastructure,1 Jul 1964,30,
Manifa Redevelopment,Middle East,Saudi Arabia,,Manifa,Saudi Aramco,Operational,Fixed,31 Jul 2013,30,"06/11: Manifa is estimated to pump around 500,000 b/d by July 2013 and 900,000 b/d by the end of 2014 

Valentine Maritime  installed 7 rigid ppls (1 of 42-in, 2 of 36-in, 2 of 16-in, 2 of 12-in) and 9 of 16-in flexible ppls"
Manifa/Marjan LTA 2012-2013,Middle East,Saudi Arabia,,Manifa (+ Marjan/Zuluf),Saudi Aramco,Operational,Fixed,15 Jul 2013,30,
Marjan,Middle East,Saudi Arabia,"41, 126, 161, 593",Marjan/Zuluf,Saudi Aramco,Operational,Fixed,1 Jun 1972,30,
Marjan 2011,Middle East,Saudi Arabia,"41, 126, 161, 593",Marjan/Zuluf,Saudi Aramco,Operational,Fixed,15 Aug 2011,30,
Marjan Maintan Potential,Middle East,Saudi Arabia,"41, 126, 161, 593",Marjan/Zuluf,Saudi Aramco,Operational,Fixed,31 Jul 2009,30,
Marjan/Zuluf 2015,Middle East,Saudi Arabia,"41, 126, 161, 593",Marjan/Zuluf (+ Safaniya/Zuluf/Berri),Saudi Aramco,Construction,Fixed,31 Dec 2015,30,
New Arabia Pipeline,Middle East,Saudi Arabia,,New Arabia Pipeline,,Completed,Infrastructure,30 Jun 2009,100,
Off Assir,Middle East,Saudi Arabia,,Off Assir,,Completed,Infrastructure,1 Jun 1985,16,
Off Yanbu,Middle East,Saudi Arabia,,Off Yanbu,,Completed,Infrastructure,1 Jun 1981,30,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1978,31,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Offshore,Middle East,Saudi Arabia,,,Saudi Aramco,Completed,Fixed,1 Jul 1984,40,
Qatif,Middle East,Saudi Arabia,"95, 101",Qatif,Saudi Aramco,Completed,Fixed,30 Oct 1966,6,
Qatif Crude Offshore Pipeline,Middle East,Saudi Arabia,"95, 101",Qatif,Saudi Aramco,Completed,Other,1 Sep 2009,6,"11/08 Global awarded contract sitting in Berri 2008, incl ppl on Qatif"
Qatif Platforms 2011,Middle East,Saudi Arabia,"95, 101",Qatif,Saudi Aramco,Completed,Fixed,30 Sep 2011,6,
Safaniya,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,1 Jul 2010,10,
Safaniya,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,15 Apr 1957,10,
Safaniya (LTA J Ray new ppls),Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,1 Jan 2012,10,
Safaniya Upgrade Phase 1 (New Plats & ppls ),Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,30 Apr 2013,10,
Safaniya Upgrade Phase 2,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Construction,Fixed,15 Sep 2015,10,
Safaniya Well Intervention,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,30 Apr 2013,10,
"Safaniya, Zuluf, & Berri Fields",Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,1 Jul 1979,10,
"Safaniya, Zuluf, Berri 2007-2010",Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,5 Apr 2010,10,
"Safaniya, Zuluf LTA",Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,31 Dec 2013,10,
Safaniya-Marjan LTA,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,17 Sep 2013,10,
"Safaniya,Abu Safah, Marjan cable installation",Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Working,Fixed,31 Dec 2014,10,"11/12: LTA coveres cable installation of 6 segments of 26.9km 15 Kv on the Safaniya, Abu Safah and Marjan fields plus one segment of 28.4km, 35Kv composite cable on Marjan field"
Saudi Aramco MPP,Middle East,Saudi Arabia,,Aramco fields (Maintain Potential Project),Saudi Aramco,Tendering,Fixed,15 Jan 2020,51,
Wasit Gas Program (Arabiyah/Hasbah),Middle East,Saudi Arabia,,Wasit (Arabiyah & Hasbah Gas Fields),Saudi Aramco,Construction,Fixed,30 Jun 2015,55,"09/09: Once operational, this project is estimated to be capable of producing and processing up to 2.5 Bscf/d of gas from the Arabiyah and Hasbah offshore non-associated sour gas fields."
Wasit Phase 2,Middle East,Saudi Arabia,,Wasit (Arabiyah & Hasbah Gas Fields),Saudi Aramco,Construction,Fixed,31 Mar 2016,55,04/2013: the contract award is for 5 drilling support structures
Zuluf,Middle East,Saudi Arabia,"56, 109, 209, 245, 251",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,31 Jan 2011,35,
Zuluf,Middle East,Saudi Arabia,"56, 109, 209, 245, 251",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Fixed,1 Jun 1972,35,
Zuluf & Berri pipelines,Middle East,Saudi Arabia,"56, 109, 209, 245, 251",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Other,28 Apr 2011,35,
Zuluf & Safaniya plats 2011-12,Middle East,Saudi Arabia,"353, 475, 555, 566, 593",Safaniya/Zuluf/Berri,Saudi Aramco,Operational,Fixed,15 Mar 2012,10,
Zuluf 1970,Middle East,Saudi Arabia,"56, 109, 209, 245, 251",Safaniya/Zuluf/Berri,Saudi Aramco,Completed,Infrastructure,1 Jun 1970,35,
Marsa Nimeiri,Middle East,Sudan,,Marsa Nimeiri,,Completed,Infrastructure,1 Jun 1983,,
Port Sudan,Middle East,Sudan,,Port Sudan,,Completed,Infrastructure,1 Jun 1999,54,
Abu Al Bu Khoosh,Middle East,United Arab Emirates,,Abu Al Bu Khoosh,"Total, ZADCO",Completed,FPS,15 Jun 1974,28,
ADCOP aka Habsahan-Fujairah Oil pipeline,Middle East,United Arab Emirates,,,International Petroleum,Operational,Subsea,22 Jun 2012,35,"06/12:  the pipeline has a capacity of 1.5 million b/d
03/09: 360 kms of ppl is onshore from Habshan to Fujairah but 3ppls, total 13 kms from Fujairah terminal will connect to 3 SPMs; installation of onshore ppl has began in March 2008"
Additional Gas Facilities Arrangement (AGFA),Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Working,Fixed,31 Dec 2017,25,07/2014: modification of the super complex topsides and addition of 3 pcs of subsea cables with a total length of 12km
ADMA-OPCO Zakum facilities for 4 gas injectors,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Construction,Fixed,31 Mar 2017,16,
Al Jalila,Middle East,United Arab Emirates,,Al Jalila,Dubai Petroleum,Operational,Fixed,1 Sep 2011,20,01/11: Installation works expected to completed within first half of 2011
Al Jalila Expansion (Jalilah B),Middle East,United Arab Emirates,,Al Jalila,Dubai Petroleum,Construction,Fixed,31 Dec 2017,20,
