FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Anglia A,Northwest Europe,United Kingdom,48/19b,Anglia,Anglia,Ithaca Energy,Installed,Steel jacket,1991,Production/Drilling,,Y,N,Y,N,Y,23,Jacket and deck set 7/91.
Arbroath,Northwest Europe,United Kingdom,22/17,Arbroath,Arbroath,Talisman,Installed,Steel jacket,1989,Production/Drilling,,Y,N,Y,N,Y,94,Jacket set 7/89. Deck set 9/89.
Armada,Northwest Europe,United Kingdom,16/5b,Armada,Armada,BG,Installed,Steel jacket,1997,Production/Drilling,,Y,N,Y,N,Y,89,"Armada consists of the Fleming, Drake, and Hawkins fields."
Audrey A,Northwest Europe,United Kingdom,49/11a,Audrey,Audrey,ConocoPhillips,Installed,Steel jacket,1988,Production,,Y,N,,N,N,27,Jacket set 4/88. Deck set 5/88.
Audrey B,Northwest Europe,United Kingdom,48/15a Audrey,Audrey,Audrey,ConocoPhillips,Installed,Steel jacket,1990,Production,,Y,N,N,N,N,24,Jacket and deck set 3/90.
A,Northwest Europe,United Kingdom,30/16n,,"Auk, Auk South Redevelopment",Shell,Installed,Steel jacket,1974,Production/Drilling,,Y,N,Y,N,Y,82,"10/09: Talisman is planning to add new accommodation module and drilling deck to the Auk plt in 2012.

Jacket and deck set 7/74."
Babbage NUI,Northwest Europe,United Kingdom,48/2a,Babbage,Babbage,EON Ruhr Gas,Installed,Steel jacket,2009,Production,Gas,Y,N,N,?,?,43,
,Northwest Europe,United Kingdom,110/3c,Bains,Bains Gas Storage,BG,Cancelled,Steel jacket,2014,Compression,Gas,,N,,N,,43,Unmanned platform for gas compression
Baird NUI,Northwest Europe,United Kingdom,49/23,Baird,Baird Gas Storage,BP,Cancelled,Steel jacket,2017,Wellhead,Gas,,,,,,31,"2/11: facility to be operational in 2016-17

5/10: ITTs released. To be installed in 2012. Platform topsides will measure 48 x 30 metres."
PB,Northwest Europe,United Kingdom,48/13a,Barque,Barque,Shell,Installed,Steel jacket,1990,Production/Drilling,,Y,N,Y,N,Y,22,Jacket set 5/90. Deck set 6/90.
PL,Northwest Europe,United Kingdom,48/13a,Barque,Barque,Shell,Installed,Steel jacket,1995,Production,,Y,N,,N,N,31,
AD,Northwest Europe,United Kingdom,11/30a,Beatrice,Beatrice,Talisman,Installed,Steel jacket,1979,Drilling,,N,N,Y,N,Y,46,Jacket and deck set 9/79. (Formerly operated by Britoil)
AP,Northwest Europe,United Kingdom,11/30a,Beatrice,Beatrice,Talisman,Installed,Steel jacket,1980,Production,,Y,N,N,N,N,46,Jacket and deck set 6/80. (Formerly operated by Britoil)
C,Northwest Europe,United Kingdom,11/30a,Beatrice,Beatrice,BP,Installed,Steel jacket,1984,Injection,,N,N,N,N,N,50,Jacket set 9/84. Deck set 10/84. (Formerly operated by Britoil)
Beatrice B,Northwest Europe,United Kingdom,11/30a,Beatrice North,Beatrice North,Ithaca Energy,Installed,Steel jacket,1983,Drilling,,N,N,Y,N,Y,46,Jacket set 9/83. Deck set 10/83. (Jacket made up of separate 6-pile and 4-pile jackets with a common deck) (Formerly operated by Britoil)
,Northwest Europe,United Kingdom,49/23,Beaufort,Beaufort,BP,Installed,Monopod,1996,General Service,,N,N,N,N,N,29,
Rowan Norway MOPU,Northwest Europe,United Kingdom,9/3b,Bentley,Bentley Extended Well Test,Xcite Energy Resources,Removed,Jackup,2012,Production/Drilling,Oil,,Y,Y,,Y,110,"2/12: Jackup will just drill one well and will be used to test production for a short period. Stage 1A seeks  to demonstrate the ability to drill, complete and produce from a multi-lateral well and to test the reservoir response from sustained production.
NUI to be installed in second step of plan."
Bentley FDP PUQ,Northwest Europe,United Kingdom,9/3b,Bentley,Bentley First Phase Development (FPD),Xcite Energy Resources,Planned,Steel jacket,2017,Production/Accommodation,Oil,,Y,,,,110,"4/13: Platform will now be a manned PUQ facility with 20 slots. It will have facilties to degas the crude prior to transfer to an FSO.
02/12: Well is Stage 1A will be re-entered, plus four additional producers and two WI wells will be drilled by a jackup."
Bentley SPD PUQ,Northwest Europe,United Kingdom,9/3b,Bentley,Bentley Second Phase Development (SPD),Xcite Energy Resources,Possible,Steel jacket,2020,Production/Accommodation,Oil,,,,,,110,"The design and functionality of the SPD 
PUQ is anticipated to mirror closely the FPD PUQ."
Southern Area Platform,Northwest Europe,United Kingdom,9/3b,Bentley,Bentley Second Phase Development (SPD),Xcite Energy Resources,Cancelled,Steel jacket,2018,Production,Oil,,,,,,110,
A,Northwest Europe,United Kingdom,9/13a,Beryl,Beryl,ExxonMobil,Installed,GBS,1975,Production/Drilling,,Y,N,Y,N,Y,117,Base and deck set 7/75. (Platform has Storage facilities)
B,Northwest Europe,United Kingdom,9/13a,Beryl,Beryl,ExxonMobil,Installed,Steel jacket,1983,Production/Drilling,,Y,N,Y,N,Y,120,Jacket set 5/83. Deck set 6/83. (Template set 7/80)
Riser Tower,Northwest Europe,United Kingdom,9/13a,Beryl,Beryl,ExxonMobil,Installed,Steel jacket,1990,Riser,,,,,,,119,Jacket set 8/90. Deck set 9/90.
Beryl East,Northwest Europe,United Kingdom,9/13a,Beryl,Beryl East,Apache,Possible,Steel jacket,2017,Production,Oil,,,,,,114,
Bessemer,Northwest Europe,United Kingdom,49/23e,Bessemer,Bessemer,BP,Installed,Monopod,1995,General Service,,N,N,,N,N,23,Jacket and deck set 4/95.
C,Northwest Europe,United Kingdom,"48/30, 48/29","Hewett, Big Dotty/North Hewett","Big Dotty/North Hewett, Big Dotty Decommissioning",Tullow Oil,Scheduled for removal,Steel jacket,1975,Production/Drilling,,Y,N,Y,N,Y,34,Jacket and deck set 9/75.
,Northwest Europe,United Kingdom,48/22b,Blythe,Blythe,Alpha Petroleum,Planned,Steel jacket,2016,Wellhead,Gas,,,,,Y,37,Single tri-lateral well planned
Bowmore,Northwest Europe,United Kingdom,15/24a,Bowmore,Bowmore,Nippon Oil,Cancelled,Steel jacket,2016,Wellhead,,,,,,N,47,
East Brae,Northwest Europe,United Kingdom,16/3a,Brae,Brae,Marathon,Installed,Steel jacket,1993,Production/Drilling,,Y,N,Y,N,Y,116,Jacket set 5/93. Deck set 6/93.
,Northwest Europe,United Kingdom,9/13a,Beryl,Bravo East Flank,Apache,Possible,Steel jacket,2016,Production/Drilling/Accommodation,,,,,,,105,"Facility would have a helideck, accommodation module, drill centre and export facility to transport multiphase fluids to Beryl Bravo for processing."
Breagh Alpha NUI,Northwest Europe,United Kingdom,42/13,Breagh,Breagh Phase I,RWE Dea,Installed,Steel jacket,2011,Production,Gas,,N,N,,,62,"4/11: Planned Installation Dates: Jacket and Topsides – 1st August 2011 to 22nd December 2011. Being built by Heerema Flushing.
Platform will act as gas gathering hub for the area and be connected to the Teesside Delta gas processing plant"
Breagh Bravo,Northwest Europe,United Kingdom,42/13,Breagh,Breagh Phase II,RWE Dea,Planned,Steel jacket,2017,Wellhead,Gas,,,,,,65,"4/14: A lighter duty platform similar to the Alpha platform is also being considered that would have no accommodation. A subsea development has also not been ruled out. 
3/14: Seven to eight wells planned, according to Sterling Resources. 
Seven or eight deviated wells planned."
Flare,Northwest Europe,United Kingdom,211/29,Brent,Brent,Shell,Removed,Steel jacket,1975,Flare,,,,,,,140,Tower installed 8/75.
Alpha,Northwest Europe,United Kingdom,211/29,Brent,"Brent, Brent Decommissioning",Shell,Installed,Steel jacket,1976,Production/Drilling,,Y,N,Y,N,Y,140,Jacket and deck set 5/76.
Charlie,Northwest Europe,United Kingdom,211/29,Brent,"Brent, Brent Decommissioning",Shell,Installed,GBS,1978,Production/Drilling,,Y,N,Y,N,Y,141,Base and deck set 6/78. (Platform has Storage facilities) (Accom module replaced in 1995)
Bravo,Northwest Europe,United Kingdom,211/29,Brent,"Brent Decommissioning, Brent",Shell,Installed,GBS,1975,Production/Drilling/Accommodation,,Y,Y,Y,N,Y,139,Base and deck set 8/75. (Platform has Storage facilities) (Accom module replaced in 1994)
Delta,Northwest Europe,United Kingdom,211/29,Brent,"Brent Decommissioning, Brent",Shell,Scheduled for removal,GBS,1976,Production/Drilling,,Y,N,Y,N,Y,142,Base and deck set 7/76. (Platform storage capacity for 1.1 MM bbls oil) (Accom module replaced in 1996 and process module to be replaced in 1997)
,Northwest Europe,United Kingdom,3/28a,Bressay,Bressay,Statoil,Planned,Steel jacket,2019,Wellhead,Oil,,,,,,110,
Bressay (PDQ),Northwest Europe,United Kingdom,3/28a,Bressay,Bressay,Statoil,Planned,Steel jacket,2019,Production/Drilling/Accommodation,Oil,Y,Y,Y,,Y,110,"40 active wells and 35 sidetracks will be drilled plus four produced water re-injectors and a waste disposal / slop well. The jacket structure will be 117 m high, 88 m long, and 57 m  wide (at seabed), and as a whole, will weigh approximately 18,000 tonnes."
BG,Northwest Europe,United Kingdom,49/19,Brigantine,Brigantine,Shell,Installed,Steel jacket,2000,Production,,Y,N,,N,N,27,
BR,Northwest Europe,United Kingdom,49/19,Brigantine,Brigantine,Shell,Installed,Steel jacket,2001,Production,,Y,N,,N,N,27,May be installed by rig jackup.
Britannia,Northwest Europe,United Kingdom,16/26,Britannia,"Britannia, Britannia LTC module",BOL,Installed,Steel jacket,1997,Production/Drilling/Accommodation,,Y,Y,Y,N,Y,138,Britannia Oil = Conoco/Chevron joint venture.
BritSats,Northwest Europe,United Kingdom,,Britannia,BritSats I,BOL,Installed,Steel jacket,2006,Production,,Y,N,,N,N,137,Amec awarded GBP 30 million FEED contract. Platform is bridge-linked to existing Britannia platform. Structure will host Brodgar and Callanish fl
ED,Northwest Europe,United Kingdom,49/16,Broken Bank,Broken Bank,ConocoPhillips,Installed,Steel jacket,1974,Drilling,,N,N,Y,N,Y,29,Jacket and deck set 10/74.
D,Northwest Europe,United Kingdom,9/9a,Bruce,Bruce Phase I,BP,Installed,Steel jacket,1992,Drilling,,N,N,Y,N,Y,118,Jacket set 5/92. Deck set 8/92.
PUQ,Northwest Europe,United Kingdom,9/9a,Bruce,Bruce Phase I,BP,Installed,Steel jacket,1992,Production/Accommodation,,Y,Y,,N,N,118,Jacket set 6/92. Deck set 9/92.
CR,Northwest Europe,United Kingdom,9/8a,Bruce,Bruce Phase II,BP,Installed,Steel jacket,1998,Compression,,,N,,N,,121,Bridge-linked to existing Bruce field platforms.
,Northwest Europe,United Kingdom,20/6,Buzzard,Buzzard,Nexen,Installed,Steel jacket,2006,Production,,Y,N,,N,N,97,"DIT approval granted end-Nov 2003. Platform fab commenced in Spring 2004.Platform decks will be lifted by Saipem's S7000 in summer 2006.Ettrick will be tied back at later stage, timing to be decided"
,Northwest Europe,United Kingdom,20/6,Buzzard,Buzzard,Nexen,Installed,Steel jacket,2006,Wellhead,,,,,,N,97,Platform fabrication commenced in Spring 2004. Platform decks will be lifted by Saipem S7000 in summer 2006.
Utilities,Northwest Europe,United Kingdom,20/6,Buzzard,"Buzzard Accommodation Increase, Buzzard",Nexen,Installed,Steel jacket,2006,General Service,,Y,Y,,N,N,97,DIT approval granted end-Nov 2003. Platform fab Commenced in Spring 2004.Platform decks will be lifted by Saipem 7000 summer 2006
Production Sweetening Platform,Northwest Europe,United Kingdom,,,Buzzard Enhancement,Nexen,Installed,Steel jacket,2010,Production,Oil,N,N,,N,N,98,"10/11: commissioning facilities 'much more challenging than was anticipated'. Production of around 215 000 b/d is being slowly ramped up to 225 000 b/d.

Production sweetening platform to treat sour oil"
Caister,Northwest Europe,United Kingdom,44/23,Caister Murdoch,Caister Murdoch,ConocoPhillips,Installed,Steel jacket,1993,Production/Drilling,,Y,N,Y,N,Y,43,Jacket and deck set 4/93.
Murdoch,Northwest Europe,United Kingdom,44/22a,Caister Murdoch,Caister Murdoch,ConocoPhillips,Installed,Steel jacket,1993,Production/Drilling,,Y,N,Y,N,Y,37,Jacket and deck set 4/93.
Camelot CB,Northwest Europe,United Kingdom,53/1a,Camelot,Camelot CB,"ExxonMobil, ERT",Removed,Steel jacket,1992,,Gas,,,,,,39,Gas production ceased in 1998. Platform removed by Thialf in 2002.
Camelot CA,Northwest Europe,United Kingdom,53/1a,Camelot,"Camelot decommissioning, Camelot",ERT,Removed,Steel jacket,1989,Production/Drilling,,Y,N,Y,N,Y,15,Jacket set 10/88. Deck set 5/89.
WPP,Northwest Europe,United Kingdom,13/22a,Captain,Captain A,Chevron,Installed,Steel jacket,1996,Production/Drilling,,Y,N,Y,N,Y,104,"21 platform trees in total, including one water producer."
BLP-A,Northwest Europe,United Kingdom,13/22a,Captain,Captain B,Chevron,Installed,Steel jacket,2000,Production,,Y,N,,Y,N,104,Bridge-link w/WPP-A platform.
,Northwest Europe,United Kingdom,49/20b,Caravel,Caravel,Shell,Installed,Monopod,2007,Production,,Y,N,N,N,Y,40,Part of 5yr Trident monotower contract covering several fields.  Two platforms of this type each year.
QA,Northwest Europe,United Kingdom,49/14b,Carrack,Carrack,Shell,Installed,Steel jacket,2003,Production/Drilling,,Y,N,Y,N,Y,40,"Cleaver Bank High project. Initial tender is for an EPCI for 2 platforms. Full field development is expected to encompass 6-7 platforms. Bidders include, Heerema, HBG, Mercon and SLP. SLP received LOI. DTI approval Feb 6, 03.3 wells will be drilled from plat in 2003/2004."
Carrack East RAT - cancelled,Northwest Europe,United Kingdom,49/15a,Carrack,Carrack East & West (SWEEP),Shell,Cancelled,Monopod,2012,Riser,,,,,,,30,
CATS Riser,Northwest Europe,United Kingdom,22/10a,Everest,CATS,"BP, BG",Installed,Steel jacket,1992,Riser,,,,,,,88,Jacket set 4/92. Deck set 7/92. (Field development cost approx $62 MM) Bridge-linked to the Everest platform.
,Northwest Europe,United Kingdom,43/19a,Cavendish,Cavendish,RWE Dea,Installed,Steel jacket,2006,Production,,Y,N,N,N,Y,19,Field to be developed with 2 pipelines to Murdoch platform. To be inststalled mid June by Microperi's M30.
,Northwest Europe,United Kingdom,49/4,Chiswick,Chiswick,Venture,Installed,Steel jacket,2006,Wellhead,,,,,,N,40,"7/10: 3rd well at Chiswick brought on stream, 4th well due shortly."
Clair,Northwest Europe,United Kingdom,206/8,Clair,Clair Phase I,BP,Installed,Steel jacket,2004,Production/Drilling,,Y,N,Y,N,Y,140,"DTI project go-ahead on November 30, 2001. Mustang completed FEED 2q01. Phase I to focus on Core,Graben & Horst reservoir areas. 24 development wells planned - 15 prod, 8 water inj & 1 drill cuttings re-inj. Bids out for jacket & topsides fabrication."
Clair Ridge DP,Northwest Europe,United Kingdom,206/8,Clair,Clair Phase II (Clair Ridge),BP,Construction,Steel jacket,2015,Production/Drilling,Oil & Gas,Y,Y,Y,N,Y,150,"08/13: jacket installed.
Deck to be installed in 2015"
Clair Ridge Quarters Utility (QU),Northwest Europe,United Kingdom,206/8,Clair,Clair Phase II (Clair Ridge),BP,Construction,Steel jacket,2015,Accommodation,,,,,,,140,"6/13: Jacket installed 
Deck to be installed in 2015"
Clair Phase III WHP,Northwest Europe,United Kingdom,206/8,Clair,Clair Phase III,BP,Possible,Steel jacket,2018,Wellhead,,,,,,,150,10/11:  Well 206/12a-3 confirmed recoverable resources from the southwest of the Clair field. Seismic planned for 2012 and possibly further appraisal drilling.
CAP,Northwest Europe,United Kingdom,14/19,Claymore,Claymore,Talisman,Installed,Steel jacket,1995,Accommodation,,N,Y,,N,N,110,
CPP,Northwest Europe,United Kingdom,14/19,Claymore,"Claymore Compression Upgrade (CCU), Claymore",Talisman,Installed,Steel jacket,1976,Production/Drilling,Oil,Y,N,Y,N,Y,110,Jacket and deck set 6/76. (Quarters module to be removed upon installation of quarters platform in 1995)
Cleeton,Northwest Europe,United Kingdom,42/29a (Cleeton Sub-Area),Cleeton,Cleeton,Perenco,Installed,Steel jacket,1996,Compression,,N,N,N,N,N,41,Bridge linked to Cleeton process platform.
CW,Northwest Europe,United Kingdom,42/29a (Cleeton Sub-Area),Cleeton,Cleeton,Perenco,Installed,Steel jacket,1987,Drilling,,N,N,Y,N,Y,50,Jacket and deck set 4/87.
P/Q,Northwest Europe,United Kingdom,42/29a (Cleeton Sub-Area),Cleeton,Cleeton,Perenco,Installed,Steel jacket,1988,Production,,Y,N,N,N,N,50,Jacket set 3/88. Deck set 4/88.
PC,Northwest Europe,United Kingdom,48/19a,Clipper,Clipper (UK),Shell,Installed,Steel jacket,1993,Compression,,N,N,N,N,N,22,Jacket and deck set 6/93.
PR,Northwest Europe,United Kingdom,48/19a,Clipper,Clipper (UK),Shell,Installed,Steel jacket,2003,Production,,Y,N,,N,N,40,Cleaver Bank High project. Initial tender is for an EPIC for 2 platforms. Full field development is expected to encompass 6-7 platforms. SLP received LOI.
PT,Northwest Europe,United Kingdom,48/19a,Clipper,Clipper (UK),Shell,Installed,Steel jacket,1990,Production/Accommodation,,Y,Y,N,N,N,22,Jacket and deck set 4/90.
PW,Northwest Europe,United Kingdom,48/19a,Clipper,Clipper (UK),Shell,Installed,Steel jacket,1989,Drilling,,N,N,Y,N,Y,22,Jacket and deck set 8/89.
Clipper LQ,Northwest Europe,United Kingdom,48/19a,Clipper,Clipper Living Quarters,Shell,Installed,Steel jacket,2014,Accommodation,,N,Y,,N,N,22,7/13: will be connected to the Clipper production platform by a bridge and will replace the existing LQ module
Clipper South,Northwest Europe,United Kingdom,48/19c,Clipper South,Clipper South,RWE Dea,Installed,Steel jacket,2011,Production,Gas,,,,,,23,"5/13: Four wells have been drilled, option remains to drill fifth well."
Clyde,Northwest Europe,United Kingdom,30/17b,Clyde,Clyde,Talisman,Installed,Steel jacket,1986,Production/Drilling,,Y,N,Y,N,Y,80,Jacket set 7/85. Deck set 5/86. (Formerly operated by Britoil)
,Northwest Europe,United Kingdom,44/26a,Caister Murdoch,CMS Phase II,Shell,Installed,Steel jacket,1996,Production/Drilling,,Y,N,Y,N,Y,71,Contract value of $53.8 MM.
,Northwest Europe,United Kingdom,44/21a,Caister Murdoch,CMS Phase II,ConocoPhillips,Installed,Steel jacket,1997,Production,,Y,N,,N,N,37,Est. field life = 17yrs.
CMS2,Northwest Europe,United Kingdom,44/23,Caister Murdoch,CMS Phase II,ConocoPhillips,Installed,Steel jacket,1996,Compression,,N,N,N,N,N,37,"Topsides bridge-linked to Murdoch production platform. CMS2 stands for ""Caister Murdoch System Phase II"".  CMS2 is to boost gas gathering capacity."
Ketch,Northwest Europe,United Kingdom,44/28b,Caister Murdoch,CMS Phase II,Shell,Installed,Steel jacket,1998,Drilling,,N,N,Y,N,Y,55,
,Northwest Europe,United Kingdom,44/22a,Caister Murdoch,CMS Phase III,ConocoPhillips,Installed,Steel jacket,2002,Accommodation,,N,Y,N,N,N,32,
,Northwest Europe,United Kingdom,44/17b,Caister Murdoch,CMS Phase III (Munro),GDF Suez,Installed,Steel jacket,2005,Wellhead,,,,,,N,33,
Conwy/Corfe NUI,Northwest Europe,United Kingdom,110/12,Conwy/Corfe,Conwy/Corfe,EOG,Installed,Steel jacket,2012,Wellhead,Oil & Gas,,,,,,32,"07/12: Topsides 850 tonnes; jacket 690 tonnes; piles 700 tonnes; hang off module 270 tonnes.

7/11: to be ready for load out in May 2012"
Corvette,Northwest Europe,United Kingdom,49/24a,Corvette,Corvette,Shell,Installed,Steel jacket,1998,Production,,Y,N,,N,N,38,
,Northwest Europe,United Kingdom,42/15,Crosgan,Crosgan,RWE Dea,Possible,Steel jacket,2018,Wellhead,Gas,,,,,,50,
CPF,Northwest Europe,United Kingdom,22/25a,Culzean,Culzean,Maersk Oil,Planned,Steel jacket,2018,Production,Gas,,,,,,92,
ULQ,Northwest Europe,United Kingdom,22/25a,Culzean,Culzean,Maersk Oil,Planned,Steel jacket,2018,Accommodation,Gas,,,,,,92,
WHP,Northwest Europe,United Kingdom,22/25a,Culzean,Culzean,Maersk Oil,Construction,Steel jacket,2018,Wellhead,Gas,,,,,,92,
Cutter,Northwest Europe,United Kingdom,49/9a,Cutter,Cutter,Shell,Installed,Steel jacket,2005,Production,,Y,N,,N,N,40,Cleaver Bank High project
Cygnus Alpha PU (Process),Northwest Europe,United Kingdom,44/12,Cygnus,Cygnus,GDF Suez,Construction,Steel jacket,2015,Production,Gas,,N,,,,20,"08/12: PU module will be 3900 tonnes, while a compression module will be added of 1500 tonnes - totalling 5400 tonnes. Two bridges will weigh 200 and 250 tonnes and a flare tower will weigh 250 tonnes.

4-6 legged steel jacket to be installed in 2014. will include compression module, to be installed 2015 or 2016."
Cygnus Alpha QU (Accommodation),Northwest Europe,United Kingdom,44/12,Cygnus,Cygnus,GDF Suez,Installed,Steel jacket,2014,Accommodation,,,,,,,20,4-6 legged steel jacket
Cygnus Alpha Wellhead,Northwest Europe,United Kingdom,44/12,Cygnus,Cygnus,GDF Suez,Installed,Steel jacket,2014,Wellhead,Gas,,,,,,20,"05/14: First of four jackets sailaway from yard in Methil to site. Two of the remaining 3 jackets to be delivered in summer 2014 and the final one in April 2015. 
12/13: Topsides ready for site move. Further work including installation of the platform and crane, mechanical completion and commissioning activities, will be completed at the dock side. The Alpha Wellhead Topsides is scheduled for completion in spring 2014. 
4-6 legged steel jacket"
Cygnus Bravo Wellhead,Northwest Europe,United Kingdom,44/12,Cygnus,Cygnus,GDF Suez,Construction,Steel jacket,2015,Wellhead,Gas,,,,,,20,4-6 legged steel jacket
Davy,Northwest Europe,United Kingdom,49/30a,Davy,Davy,Perenco,Installed,Monopod,1995,General Service,,N,N,,N,N,43,
Deborah A,Northwest Europe,United Kingdom,48/30,Deborah,Deborah gas storage (ex Hewett),Eni,Possible,Steel jacket,2021,Injection,Gas,,N,,,,32,
Deborah B,Northwest Europe,United Kingdom,48/30,Deborah,Deborah gas storage (ex Hewett),Eni,Possible,Steel jacket,2021,Injection,Gas,,N,,,,32,
DA,Northwest Europe,United Kingdom,110/13,Liverpool Bay,Douglas FSO,BHP Billiton,Installed,Jackup,1995,Accommodation,,N,Y,N,N,N,27,"Refurbished jackup ""Morecambe Flame"". $30 MM (e) refurbishment contract by Consafe Offshore."
DP,Northwest Europe,United Kingdom,110/13,Liverpool Bay,Douglas FSO,BHP Billiton,Installed,Steel jacket,1995,Production,,Y,N,,N,N,27,
DW,Northwest Europe,United Kingdom,110/13,Liverpool Bay,Douglas FSO,BHP Billiton,Installed,Steel jacket,1995,Production,,Y,N,,N,N,27,
Dunbar,Northwest Europe,United Kingdom,3/14a,Dunbar,Dunbar Phase I,Total,Installed,Steel jacket,1994,Production/Drilling,,Y,N,Y,N,Y,145,Jacket and deck set 6/94.
,Northwest Europe,United Kingdom,3/14a,Dunbar,Dunbar Phase II,Total,Installed,Steel jacket,2002,Accommodation,,N,Y,N,N,N,145,Delivery from yard end-May.
A,Northwest Europe,United Kingdom,211/23,Dunlin,"Dunlin Decommissioning, Dunlin",,Installed,GBS,1977,Production/Drilling,,Y,N,Y,N,Y,151,"Base and deck set 7/77. (Platform has storage capacity of 838,200 bbls of oil)"
ECA Riser Tower (ECART),Northwest Europe,United Kingdom,42/29a (Cleeton Sub-Area),Cleeton,ECA Phase 1,BP,Installed,Steel jacket,1999,Riser,,,,,,,51,"Gathers production from the ECA Fields Neptune, Mercury, Minerva, Apollo, Wollaston and Whittle. Is connected by bridge link to the BP operated Cleeton platform."
Neptune NUI,Northwest Europe,United Kingdom,42/29a (Neptune Area),Easington Catchment Area (ECA),ECA Phase 1,BG,Installed,Steel jacket,1999,Wellhead,Condensate & Gas,,,,,Y,47,Also host 2 subsea wells from Mercury. Southern N.Sea Easington Catchment Area (ECA). Brown & Root = EPIC.
Minerva NUI,Northwest Europe,United Kingdom,47/3b,Easington Catchment Area (ECA),ECA Phase 2 (Juno),BG,Installed,Steel jacket,2002,Wellhead,Gas,,,,,Y,49,"Hub platform will receive production from Minerva, Apollo, Artemis, Whittle and Wollaston."
Eider,Northwest Europe,United Kingdom,211/16a,Eider,Eider,Shell,Installed,Steel jacket,1988,Production/Drilling,,Y,N,Y,N,Y,158,Jacket set 4/88. Deck set 6/88. (Normally will be unmanned after drilling phase)
36/22a,Northwest Europe,United Kingdom,36/22a,,"Ekofisk I Decommissioning, Norpipe Oil",ConocoPhillips,Removed,Steel jacket,1974,Compression,,,N,,N,,73,"Deck removed in 2009. Jacket removal - 2010.

Jacket and deck set 9/74."
37/4a,Northwest Europe,United Kingdom,37/4a,,"Ekofisk I Decommissioning, Norpipe Oil",ConocoPhillips,Removed,Steel jacket,1974,Compression,,,N,,N,,85,"Jacket and deck set 5/74.

Deck removed in 2009
Jaclet removed June 2010"
Elgin A,Northwest Europe,United Kingdom,22/30c,Elgin,Elgin,Total,Installed,Steel jacket,1999,Drilling,,N,N,Y,N,Y,93,Bridge-linked to a production/utilities/qtrs newbuild jackup.
PUQ,Northwest Europe,United Kingdom,22/30c,Elgin,Elgin,Total,Installed,Jackup,2000,Production,,Y,N,N,N,N,93,"Newbuild jackup design 1st used on Harding. TMB consortium = Technip, McDermott, BARMAC."
Elgin B,Northwest Europe,United Kingdom,22/30c,Elgin,Elgin B,Total,Installed,Steel jacket,2014,Production/Drilling,Gas,,,,,Y,100,
Ensign,Northwest Europe,United Kingdom,48/14a (Ensign Discovery Area),Ensign,Ensign,Centrica,Installed,Steel jacket,2011,Wellhead,Condensate & Gas,,,,,Y,26,Platform built at Heerema Hartlepool yard
,Northwest Europe,United Kingdom,23/26a,Erskine,Erskine,Chevron,Installed,Steel jacket,1997,Drilling,,N,N,Y,N,Y,90,"01/10: Fire on platform. production temporarily shut down.

Field development costs of about $465 MM."
Esmond CP,Northwest Europe,United Kingdom,43/13a,Esmond,Esmond,Hamilton,Removed,Steel jacket,1985,Production,,Y,N,,N,N,34,Jacket set 9/84. Deck set 4/85.
Esmond CW,Northwest Europe,United Kingdom,43/13a,Esmond,Esmond,Hamilton,Removed,Steel jacket,1984,Production,,Y,N,,N,N,30,Jacket and deck set 7/84.
Platform I,Northwest Europe,United Kingdom,43/13a,Esmond,Esmond/Gordon Gas Storage,,Cancelled,Steel jacket,2017,Wellhead,Gas,,,,,,34,10/09: wellhead bridge-linked to a larger process platform
Platform II,Northwest Europe,United Kingdom,43/13a,Esmond,Esmond/Gordon Gas Storage,,Cancelled,Steel jacket,2017,Production,Gas,,,,,,34,process platform
Marnock CPF (PDR),Northwest Europe,United Kingdom,22/24a,Eastern Trough Area Project (ETAP),"ETAP Life Extension Project (ELXP), ETAP Ph. 1 (Machar/Mungo/Marnock/Monan)",BP,Installed,Steel jacket,1998,Production/Drilling/Accommodation,,Y,Y,,N,N,95,"ETAP: Dvlp 7 fields total; 2 by pfm: Marnock, Mungo; 5 by subsea wells: Machar, Monan, Heron, Egret, Skua."
Mungo NUI,Northwest Europe,United Kingdom,23/16a,Eastern Trough Area Project (ETAP),ETAP Ph. 1 (Machar/Mungo/Marnock/Monan),BP,Installed,Steel jacket,1998,Wellhead,,,,,,Y,90,
QU,Northwest Europe,United Kingdom,22/24a,Eastern Trough Area Project (ETAP),ETAP Ph. 1 (Machar/Mungo/Marnock/Monan),BP,Installed,Steel jacket,1998,Accommodation,,N,Y,,Y,N,95,"Platform is bridge-linked to the ""PDR"" platform."
,Northwest Europe,United Kingdom,49/22,Europa,Europa,ConocoPhillips,Installed,Steel jacket,1999,Production,Gas,,,,,,38,
Excalibur A,Northwest Europe,United Kingdom,48/17a,Excalibur,Excalibur,Superior Oil,Installed,Steel jacket,1994,Production/Drilling,,Y,N,Y,N,Y,22,Jacket set 4/94. Deck set 5/94.
