FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
,,,,,Operator Tba,Construction/Fabrication,Subsea Crane Supply,,MacGregor,,18 Apr 2013,18 Apr 2013,,,Cargotec to supply a 250-tonne MacGregor AHC  crane and a 15-tonne AHC crane for Volstad Maritimes newbuild vessel of Skipsteknisk ST-259-CD design unofficially named Grand Canyon III hull 91 built be Bergen Group Fosen shipyard.
,,,,,Operator Tba,Construction/Fabrication,Supply of 2 offshore cranes,,MacGregor,,2 May 2013,2 May 2013,,,Cargotec to supply a 250-tonne MacGregor AHC and a 20-tonne AHC crane for vessel built by Havyard Ship Technology for Nigerian company Marine Platforms Limited Havyard 857 design.
,,,,,Operator Tba,Construction/Fabrication,Supply of 4 cranes,48,MacGregor,,14 May 2013,14 May 2013,,,Cargotec to supply four 250-tonne (275-ton) MacGregor AHC subsea cranes to Hornbeck Offshore for its 4 HOSMAX 310 multi-purpose support vessels under construction.
,,,,,ExxonMobil,Support,Five-year HUC and topside maintenance,165,Kencana HL,,16 May 2013,16 May 2013,15 May 2018,59.8,05/13: Kencana HL awarded 5-year plus 1-year option HUC and topside maintenance from EMEPMI on May 16
,,,,,BP,Support,BP scope,,Subsea 7,,1 Feb 2013,18 May 2013,13 Jun 2013,0.9,
,,,,,Petronas Carigali,Support,Five-year HUC and topside maintenance,,Petra Petroleum,,,21 May 2013,20 May 2018,59.8,"05/13: Petra Resources received a five-year contract for hookup, commissioning and topside maintenance services"
,,,,,Petronas Carigali,Support,Five-year HUC and topside maintenance,,Dayang Enterprise,,21 May 2013,21 May 2013,20 May 2018,59.8,05/13: Dayang awarded 5-year firm HUC and topside maintenance contract with Petronas Carigali
,,,,,Petronas Carigali,Support,Five-year HUC and TMM,,Petra Energy,,21 May 2013,21 May 2013,20 May 2018,59.8,"10/14: The five-year contract for provision of hook-up, commission and topside maintenance services effective from May 21, 2013 until May 20, 2018"
,,,,,Pertamina,EPIC,EPCI for 12-in pipeline (Balongan),,Timas Suplindo,,,23 May 2013,,,
,,,,,,Construction/Fabrication,Conversion,,,,,24 May 2013,2 Feb 2015,20.3,Logitel Offshore has entered into an agreement with a yard for the conversion of Sevan hull no 4 and 5.
,,,,,Maersk Oil,Support,,,Stork,,10 Jan 2013,6 Jun 2013,31 Dec 2013,6.8,
,,,,,NPCC,Support,subsea support services,,Zakher Marine,,1 Aug 2013,17 Aug 2013,20 Nov 2013,3.1,
,,,,,Operator Tba,Installation,Short term Contract,,EMAS AMC,,12 Aug 2013,22 Aug 2013,31 Aug 2013,0.3,
,,,,,Operator Tba,Support,3 years,48,Ezion,,20 Mar 2013,2 Dec 2013,2 Dec 2016,35.9,"three-year contract with IOC in Arabian Gulf.
Commencement after refubishment and upgrade of undisclosed vessel, expected late 2013"
,,,,,,Construction/Fabrication,Vessel Build,,Olympic Shipping,,21 Jan 2014,21 Jan 2014,10 Apr 2015,14.6,
,,,,,,Construction/Fabrication,Olympic Shipping Newbuild,76,Kleven Verft,,28 May 2014,28 May 2014,1 Mar 2015,9.1,
,,,,,Husky Energy,Installation,Supply of SS Construction Vessel,,Technip,,1 Apr 2014,7 Jul 2014,31 Oct 2014,3.8,"11/13: Tender to be released in December 2013; award, if appropriate vessel found, anticipated 1Q/2Q 2014

The vessel will be supporting subsea intervention and installation activities and needs to be able to stay at sea for a minimum of four to six weeks. Additional requirements are vessel not be older than five-years, have an AHC crane with a minimum load of 200 tonnes, subsea lift management, capacity for 75 and 2 work class ROVs with two LARS systems. The vessel also needs tow equipment for a secondary role for tanker and iceberg towing and control."
,,,,,Lundin Petroleum,Support,Frame agreement (HUC and topside maintenance),,PBJV Group,,,14 Aug 2014,4 Feb 2016,17.7,09/14: HUC and topside major maintenance services for Lundin's offshore oil and gas fields.
,,,,,Operator Tba,Support,,,Jumbo Shipping,,,15 Aug 2014,15 Sep 2014,1.0,
,,,,,Operator Tba,Installation,Re-installation of 2 flowlines and umbilicals off Nigeria,,Cecon,,15 Aug 2014,1 Oct 2014,22 Oct 2014,0.7,
,,,,,BG,EPC,Subsea Production Systems Frame Agreement,,OneSubsea,,24 Oct 2014,24 Oct 2014,24 Oct 2024,119.8,OneSubsea signs a 10-year global frame agreement with BG Group to provide subsea production equipment and aftermarket services. The agreement establishes a framework for BG to pursue standardization in their subsea production technology and services for the operator’s fields worldwide.
,,,,,,Support,Island Intervention Flotel,,Edison Chouest,,1 Oct 2014,1 Nov 2014,30 Nov 2014,1.0,
,,,,,Operator Tba,Installation,"Installation of 20-in, 3km pipeline for KPC",,Dwisatu Mustika Bumi,,,1 Nov 2014,31 Dec 2014,2.0,"09/14: To install the 20-in, 3km shore approach segment of a pipeline for Kaltim Prima Coal (KPC) in November. Scope to complete by end-2014 or early 2015."
