FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
"Canada, East",Canada,,Deep Panuke,Deep Panuke,,Construction/Fabrication,Accomodations Unit,,,Irving Shipbuilding Corp.,30 Apr 2008,,,,"Accomodations unit to accomodate 75 people and up 100 on a temporary basis.

Bidders include: Irving Shipbuilding and Atlantic Fabricators, which have been shortlisted, as well as GJ Cahill and Aecon Fabco. Awarded to Al Masaood Bergum / Hertel"
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,FEED,subsea and pipeline design,,Intec,,1 Jan 2007,,,,along with alliance partner IMV Projects Atlantic
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,EPC,EPC of SS trees & wellheads,,VetcoGray,"Aker Kvaerner, Cameron, Dril-Quip, FMC, Vetco",21 Jan 2008,,,,
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,EPIC,Export Pipeline,,Allseas,"Acergy, Allseas, Saipem",3 Jan 2008,3 Jan 2008,1 Jul 2009,17.9,Installation to take place in 2009
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Construction/Fabrication,WHP structure fabrication,,,Irving Shipbuilding Corp.,23 Oct 2008,23 Oct 2008,1 Apr 2009,5.2,"Cherubini Metal Works awarded contract. Bidders included: Irving Shipbuilding, Marener Industries, Aecon Fabco, RKO Steel and Mulgrave Machine Works."
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,ROV services,,Oceaneering,"DOF Subsea, Hallin Marine, Noordhoek, Oceaneering, Saipem",25 Oct 2008,12 Nov 2008,,,"ROV services/other bidders include Sea-force Diving, Pro Dive Marine Services, and Domimion Diving"
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Installation,WHP structure Installation,,Aker Marine Contractors,,24 Nov 2008,24 Nov 2008,16 Sep 2009,9.7,11/08: Aker Marine Contractors  assigned for the transport and installation of wellhead protection structures.
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Removal EPIC,Construction activities,6,DOF Subsea,"Acergy, Aker Marine Contractors, Bibby Offshore, Bluestream, DOF Subsea, DOF Subsea, Technip",17 Nov 2008,15 Dec 2008,15 Jan 2009,1.0,
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Installation,install WH protection structures,,Aker Marine Contractors,,1 Apr 2009,5 Jul 2009,31 Jul 2009,0.9,
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,Rock Dumping,,Allseas,,1 Oct 2009,15 Nov 2009,30 Nov 2009,0.5,"08/09  Remedial rock dump services along the Deep Panuke Export pipeline by means of DP class fall pipe vessel. EOI due Sept. 2, 2009"
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,EPIC,EPIC Infield fl & umb,195,Subsea 7,"Acergy, Allseas, Helix, J. Ray McDermott, Saipem, SBM, Technip",11 Feb 2008,1 May 2010,30 Aug 2011,15.9,Acergy Falcon and Acergy Discovery to carry out the work
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,Offshore Welding,,Global Pipelines,,2 Nov 2009,18 Aug 2010,29 Sep 2010,1.4,01/10 Acergy has awarded CRC-Evans/Global Pipelines a contract to provide onshore double jointing of production lines as well as offshore welding services
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,EPIC,Production Facility,,SBM,"Modec, SBM",9 Nov 2007,6 Sep 2010,15 Oct 2010,1.3,"Under terms of the LOA, SBM will be responsible for the engineering, procurement, fabrication, installation and commissioning of the offshore production centre. Will also further provide field-wide logistics and operations. Contract length is minimum of 8 years with annual extension opportunities for a maximum of twelve additional years."
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Engineering/Procurement,,,,,,20 Oct 2010,1 Dec 2010,1.4,06/08: Acergy releases EOI for hire ofsubsea drilling tools and piles drilling.
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Engineering/Procurement,,,,,,20 Oct 2010,1 Dec 2010,1.4,06/08: Acergy releases EOI for hire of subsea umbilical and flexible linepipe cutting equipment
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Engineering/Procurement,,,,,,20 Oct 2010,1 Dec 2010,1.4,06/08: Acergy releases EOI for hire of dreding equipment and personnel.
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Installation,Install of PFC scour protection/Rock Dumping,,,"Boskalis Offshore, Jan de Nul, TIDEWAY, Van Oord",4 Aug 2010,15 Jun 2011,30 Jun 2011,0.5,"To provide rock placement services for the installation of the scour protection system for the Deep Panuke jack-up Production Field Centre (PFC). Tideway bv Awarded contract, will use DP Fall Pipe vessel Rollingstone. Dominion Diving will provide ROV support to Tideway for the work scope. The ROV will be aboard Rollingstone."
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,Diving and PL pigging serv,,Acergy,"Acergy, Bibby Offshore, Cal Dive, DOF Subsea, Technip",13 May 2010,1 Aug 2011,,,
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,Hook-up support,,Amec,"Amec, OTS",2 May 2011,1 Aug 2011,,,"Bidders include: Acquaint controlling services, Offshore Recruiting Services, Aecon Fabco, Pennecon Energy, G.J. Cahill, Marener Ind.
02/10 SBM releases EOI for hire of  Hook-up and commissioning support services"
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Support,Installation Support Vessel,,DOF Subsea,DOF Subsea,1 Apr 2011,1 Aug 2011,31 Aug 2011,1.0,04/11 SBM tendering for Support vessel for installation of Platform. DOF will use Skandi Skolten
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Lease,Facility lease,,SBM,,,17 Dec 2013,17 Dec 2021,95.8,"SBM will lease and operate the Deep Panuke Production Field Centre (PFC) to Encana under an eight-year lease, with extension options for up to 12 additional years."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,FEED,topsides,61,WorleyParsons,"Brown & Root, Fluor, Mustang Engineering, WorleyParsons",27 Aug 2010,,,,"04/09 FEED for the platform topsides and drilling rig, with an option to continue EPC services for the topsides tender includes EPC services for the early works to the topsides fabrication facility. The topsides will consist of the living quarters including helideck and lifeboat stations, utilities and process modules, gravel pack module, control centre, a single drilling derrick and a flare boom."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,FEED,GBS engineering and design,140,Kvaerner,"Aker Solutions, Doris, Saipem",9 Nov 2010,10 Nov 2010,,,"11/10 - Kiewit-Aker Contractors, a 50/50 joint venture between Peter Kiewit Infrastructure and Aker Solutions, has been awarded the Hebron gravity based structure. The contract is for FEED and site preparation, with the option at ExxonMobil's discretion to subsequently provide EPC services. The contract value for Aker Solutions' share of the FEED and site preparation is USD 70 million."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPC,Living Quarters Module,,Apply Leirvik,Apply Leirvik,15 Jun 2012,2 Jul 2012,2 Feb 2015,31.0,"06/12 Partnership of Apply Leirvik and North Eastern Constructors Ltd. (NECL) subsidiary of GJ Cahill awarded contract
05/12 Also bidding was partnership of DFB Driver Inc. Hertel."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPC,topsides EPC,360,WorleyParsons,,10 Apr 2012,1 Nov 2012,,,"Will work with Fluor to provide overall project management of the contract, with sub-contracts to be awarded to multiple third parties."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Construction/Fabrication,Utilities and Process Deck,400,Hyundai Heavy Industries,"Daewoo (DSME), Hyundai Heavy Industries, Samsung",18 Jun 2012,3 Dec 2012,,,"ExxonMobil has issued an invitation to tender for the Hebron utilities and process deck to Daewoo Shipbuilding & Marine Engineering, Samsung Heavy Industries and Hyundai Heavy Industries."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPC,GBS structure,"3,000",Kvaerner,,12 Mar 2013,1 Jan 2013,,,"Kvaerner reports 1.5 billion is its share of contract award.
50/50 joint venture between Peter Kiewit Infrastructure and Kvaerner"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Construction/Fabrication,Derrick Equipment Set,,Hyundai Heavy Industries,"Hyundai Heavy Industries, Irving Shipbuilding Corp., Kiewit Offshore Services",22 Feb 2013,18 Mar 2013,,,"05/12 WorleyParsons has completed a combined EOI/pre-qualification process for this module on an international basis, which closed on February 10, 2012. The Project team is currently assessing next steps in the tendering  process for this module; and a tentative award date is anticipated first quarter of 2013."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Construction/Fabrication,Drilling Support Module,,Kiewit Offshore Services,,28 Jan 2013,7 Jun 2013,,,"Local content requirements. ExxonMobil looking to build the drilling support module at the Kiewit Offshore facilities
in Marystown and Cow Head."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPC,Helideck Fabrication,,C&W Offshore,"500,001,404",20 Jun 2013,12 Jul 2013,1 Jan 2015,17.6,"06/13 C&W Offshore of Mount Pearl, NL awarded contract
Prequalified; NE-AL (partnership of North Eastern Constructors Limited (NECL) and Apply Leirvik), C&W Offshore, DFB Group, Allswater Marine Consultants
EOI due by Aug 27, 2012"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Construction/Fabrication,Flare Boom Fabrication,,Talon Energy Services,"DFB Group, Kiewit Offshore Services, NECL, Pennecon, Talon Energy Services",16 Dec 2013,16 Dec 2013,1 Jan 2015,12.5,"03/12/13 DFB Group, Kiewit Offshore Services, NECL, Pennecon Energy and Talon Energy Bid on the scope
EOI released 6/14/12 and will close 6/28/12"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPC,Offshore Loading System (OLS) EPC (Scope B),,NOV OS,NOV OS,4 Feb 2014,4 Feb 2014,,,"Two (2) identical offshore subsea loading systems located 2 km from the GBS at the end of the pipeline segments. The main components of each are: Piled base, Swivel, Flexible flowline using bonded or unbonded technologies, and Hose end valve (HEV) for connection of the flowline to a dynamically positioned (DP) offloading tanker similar to the tankers used to offload Hibernia."
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPIC,Expansion Spools & OLS Installation (Scope C),75,Subsea 7,"Subsea 7, Technip",27 Feb 2014,27 Feb 2014,27 Feb 2017,35.9,"3-year subsea construction services contract; project management, engineering and installation of 2 OLS"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,EPIC,Pipelines EPIC (scope A),,Allseas,"Allseas, Subsea 7, Technip",28 Mar 2014,28 Mar 2014,,,Two (2) 2 km-pipeline segments routed from the GBS and joined by a 1.85 km interconnecting pipeline segment. The segments will be linked to the GBS and subsea loading systems using expansion spools to form a piggable 24-inch pipeline loop of approximately 5.85 km of offshore pipeline.
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Support,Topsides UPM Transport,,Dockwise,,17 Jan 2011,1 Sep 2015,,,Blue Marlin
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Installation,Topsides installation on GBS,,Fagioli,,26 Jul 2012,1 Jul 2016,,,ALE Heavylift and Mammoet Hunt's Atlantic also bid
"Canada, East",Canada,PL 1001,Hibernia,Hibernia OLS replacement,HMDC,EPC,EPC of OLS,,BW Offshore,,21 Sep 2009,,,,"Advanced Production and Loading, a division of BW Offshore awarded contract"
"Canada, East",Canada,PL 1001,Hibernia,Hibernia OLS replacement,HMDC,Installation,OLS replacement,200,Technip,,6 Nov 2009,25 May 2011,30 Jun 2011,1.2,"08/10 Technip issues EOI for provision of seafastening and misc. steel fabrication in support of OLS replacement
09/09: The work scope includes fabrication, removal and installation of both of the Hibernia offshore loading systems (OLS). Offloading will be maintained on one OLS system whilst construction is occurring on the other."
"Canada, East",Canada,,Hibernia Southern Extension,Hibernia Southern Extension,HMDC,EPC,Topsides Facilities,,Wood Group,,1 Oct 2010,,,,Wood Group Production Services Network Canada Inc. (WGPSN) has been contracted by Hibernia Management and Development Company Ltd. (HMDC) to design and construct the topsides facilities associated with the Hibernia Southern Extension Project
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,Hibernia Southern Extension,HMDC,EPC,SS trees/drilling templates/controls,,FMC,"Aker Solutions, Cameron, FMC, General Electric",25 Apr 2011,15 May 2013,,,"Design, procure, fabricate, assemble, and test 6 water injection tree systems. Each tree will include a tubing hanger, recoverable choke insert and subsea control module (SCM). Design, procure, fabricate, assemble, and test two (2) 3-slot drilling templates. Independently installable / recoverable injection manifold for each template. Manifolds will have 2 main headers and 6 branch/outlet headers. Design, procure, fabricate, assemble, and test a complete subsea control system which utilizes a comms-on-power communication architecture."
"Canada, East",Canada,"PL 1001, PL 1005",Hibernia Southern Extension (+ Hibernia),Hibernia Southern Extension,HMDC,EPIC,install flowlines/umbilicals/SS equipment,,Technip,"Acergy, Saipem, Subsea 7, Technip",25 Apr 2011,15 May 2013,,,"07/09 includes EPC services for the two pipelines, control umbilical, and subsea equipment installation Design and procure materials for a flexible pipe water injection pipeline / riser. Design and procure materials for a flexible pipe stimulation pipeline / riser. Design and fabricate a platform (PLET) and manifold PLET.Install PLETs, water injection and stimulation pipelines (7km each) from GBS PLET to manifold PLET.Both pipelines require rock dumping operations over the entire pipeline length. EOI due 30/07/2009"
"Canada, East",Canada,PL 1008,North Amethyst,North Amethyst,Husky Oil,Engineering,Manifold Detailed Design,,AKCS,,4 Jan 2008,,,,Project engineering support
"Canada, East",Canada,PL 1008,North Amethyst,North Amethyst,Husky Oil,Construction/Fabrication,Fabrication of North Amethyst Manifolds,,,,1 Feb 2008,,,,"06/09 North Eastern Constructors Limited a subs. of GJ Cahill awarded contract for fabrication of subsea water and production modules, mudule support frames, and interconnecting piping"
"Canada, East",Canada,PL 1008,North Amethyst (+ White Rose),North Amethyst,Husky Oil,EPIC,EPIC - Flowlines and umbilicals,298,Technip,,9 Apr 2008,9 Apr 2008,1 Mar 2010,22.7,"includes engineering fabrication and installation of fleixble flowlines and umbilicals, the installation of manifolds and associated pipework."
"Canada, East",Canada,PL 1008,North Amethyst,North Amethyst,Husky Oil,EPC,Subsea Trees EPC,235,Cameron,,31 Mar 2008,1 May 2008,15 Mar 2009,10.4,"contract to engineer, construct and provide installation support for subsea systems; will provide 13 subsea wellheads and subsea trees, control systems, manifold components and flowline connection systems, plus engineering and project management support. Deliveries will begin during first quarter 2009, while installation will be completed by the end of 2009."
"Canada, East",Canada,,Sable Island,Sable Island - Decommissioning,ExxonMobil,Engineering,Tech consulting services - decomm,,Contractor TBC,,24 Jan 2014,24 Jan 2014,,,EOIs to be received 10/29/13; technical consulting services for the early planning phase of the Sable Island Decommissioning project.
"Canada, East",Canada,,South White Rose,South White Rose Extension (SWRX),Husky Energy,EPIC,Gas Injection Package,,Technip,"Saipem, Subsea 7, Technip",16 Jul 2012,16 Jul 2012,,,"Engineering, supply, installation and commissioning of subsea equipment, flowlines, umbilicals and riser for a proposed gas injection project."
"Canada, East",Canada,,South White Rose,South White Rose Extension (SWRX),Husky Energy,EPIC,Production System EPC,,Technip,"Subsea 7, Technip",8 May 2013,8 May 2013,,,"Engineering, supply, installation and commissioning of subsea equipment, flowlines, umbilicals and riser for SS production system"
"Canada, East",Canada,,Terra Nova,Terra Nova,Petro-Canada,Support,towing icebergs,,Secunda Marine,,12 Feb 2009,11 Mar 2009,8 Apr 2009,0.9,towing icebergs
"Canada, East",Canada,,Terra Nova,Terra Nova Pipeline Replacement,Suncor,Construction/Fabrication,9 Risers/Flowlines & Jumpers,,Wellstream,,1 Feb 2012,1 Feb 2012,,,"Nine 300m risers, Nine flowlines and nine 25m jumpers."
"Canada, East",Canada,,Terra Nova,Terra Nova Pipeline Replacement,Suncor,Installation,SURF,100,Subsea 7,,27 Mar 2012,27 Mar 2012,31 Dec 2014,33.1,"3/12: The contract scope includes management, engineering and installation of nine 300-meter replacement risers and associated flowlines, jumpers and tie-ins."
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Oil,EPCM,EPC & Campaign Maintenance Support,,Aker Offshore Partners,,3 Dec 2007,3 Dec 2007,3 Dec 2012,59.9,"Husky awarded AKCS a CAN 75 million EPC and Maintenance Support Services contract for the production and operations of the White Rose field. Contract is for period of 5 years, with option for renewals for 15 successive periods of one year each. 

AKCS- Aker Kvaerner 40%, SNC-Lavalin (40%) and GJ Cahill & Company (20%)."
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Energy,EPC,EPC and maintenance services,155,Aker Solutions,"Aker Solutions, Amec, Wood Group, WorleyParsons",10 May 2013,10 May 2013,10 May 2018,59.9,"05/10/13 The duration is five years with an option to extend the contract for as many as 10 one-year periods. Initial 5-years is worth USD 155 million.
The Scope of Work includes engineering, procurement, construction (EPC) and maintenance services to support Husky’s White Rose filed and other Atlantic Region Operations. Required services include engineering study, design, modification, construction and support services, as well as provision of certified offshore personnel to support maintenance activities on the SeaRose FPSO."
"Canada, East",Canada,PL 1006,White Rose,White Rose Extension project (West White Rose),Husky Energy,FEED,overall project pre-FEED/FEED,,Arup,"Aker Solutions, Arup, Doris, SNC-Lavalin",25 Apr 2012,30 Apr 2012,28 Dec 2012,7.9,pre-FEED and FEED approximately 10-12 months
"Canada, East",Canada,PL 1006,White Rose,White Rose Extension project (West White Rose),Husky Energy,FEED,Topsides FEED,,Wood Group,,4 Mar 2013,4 Mar 2013,,,Wood Group and Wood Group PSN delivered FEED for topsides.
"Canada, East",Canada,PL 1006,White Rose,White Rose Extension project (West White Rose),Husky Energy,Engineering,Topsides detailed engineering and design,,Wood Group,,19 Dec 2013,19 Dec 2013,,,"Wood Group Mustang awarded the detailed engineering and design of an integrated topsides facility; Wood Group PSN will provide support with the engineering, procurement and regulatory services."
"Canada, Other",Canada,,,Kitimat LNG Terminal,Apache,FEED,Front End Engineering and Design,,KBR,,1 Mar 2011,,,,03/02/11 Financial terms not disclosed
"Canada, Other",Canada,,,Kitimat LNG Terminal,Chevron,EPC,EPC and detailed design,,Fluor,,14 Jan 2014,14 Jan 2014,,,"JV of Fluor and JGC awarded EPC contract; contract includes completion of the existing FEED package by finalizing development concepts for the proposed LNG facility. Moreover, the workscope includes detailed engineering and procurement services for the initial phases of the project."
Caspian Sea,Azerbaijan,,,,,Construction/Fabrication,Vessel commissioning,,Swire Pacific Offshore,,,24 Sep 2013,4 Nov 2013,1.3,
Caspian Sea,Azerbaijan,,,,BP,Construction/Fabrication,Vessel Construction contract,378,Keppel O&M,,23 Apr 2014,23 Apr 2014,1 Apr 2017,35.2,
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,EPIC,SURF,,J. Ray McDermott,,7 Mar 2011,,,,
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,EPC,Jacket & drilling template,215,BOS,,14 May 2010,,,,BosShelf
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,FEED,,150,KBR,,17 Mar 2009,,,,
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,EPC,Topsides & drilling module,335,Azfen,,14 May 2010,15 Jul 2010,,,ATA partnership (Amec-Tekfen-Azfen) won the contract. Topsides will be built by Bibi-Heybat yard
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,Installation,Drilling template installation,57,Saipem,,25 Jun 2010,4 Aug 2010,31 Aug 2010,0.9,Saipem will utilise SOCAR's barge Azerbaijan
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,EPC,Jacket construction,,Saipem,,14 Nov 2011,14 Nov 2011,,,
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,Project Management,Platform automation,,,,13 Feb 2012,13 Feb 2012,,,2/12: Emerson Process Management awarded a contract to automate a platform on theChirag Oil Project.
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,Chirag Oil Project,AIOC,Installation,Jacket installation,,SOCAR,,,2 Jul 2012,,,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz,BP,EPCM,Engineering/Project Management for Brownfield Work,600,Amec,,4 May 2011,4 May 2011,4 May 2016,59.9,"5-year Engineering and Small Projects contract with two possible four-year extensions. Covers project management, engineering, construction management and commissioning for engineering modifications to the Sangachal terminal and offshore infrastructure, serving the Shah Deniz and Azeri-Chirag-Guneshli fields."
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,FEED,FEED,,KBR,,,5 Mar 2012,22 Apr 2013,13.5,10/12: KBR expects to do EPCM for both the onshore and the offshore portions of this project when the project achieves FID in early 2013.
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPCM,Detailed Engineering & Project Management,365,KBR,,28 Dec 2013,1 Jan 2014,31 Dec 2018,59.8,"USD 365 million contract for provision of detailed engineering, project management and procurement support services for the Shah Deniz Phase 2 project. The work will take place between January 2014 and 2018."
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPIC,Platform topsides,974,Amec/Tekfen/Azfen,,19 Dec 2013,6 Jan 2014,31 Jan 2018,48.7,"Contract for the fabrication, load-out, hook up and commissioning of the two platform topsides awarded to  the AMEC-Tekfen-Azfen (ATA) consortium which is comprised of AMEC MMC, Tekfen Insaat ve Tesisat A.S. and Azfen joint venture. Both topsides units will be built at the ATA fabrication yard in Bibi-Heybat near Baku."
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPC,Living quarters,32,Apply Leirvik Emtunga,,19 Mar 2014,19 Mar 2014,27 Mar 2017,36.2,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Engineering,Subsea and pipeline engineering,57,Wood Group,,19 Mar 2014,19 Mar 2014,3 Oct 2016,30.5,3/14: Contract for the initial phase of the subsea and pipeline engineering and project management services
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPC,DEH cables,138,Nexans,,28 Mar 2014,28 Mar 2014,30 Jun 2016,27.0,Contract to supply Direct Electrical Heating cable systems to provide flow assurance for 10 subsea flowlines.
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPC,Platform jackets and subsea fabrication,750,"BOS, Star Gulf",,11 Apr 2014,11 Apr 2014,30 Oct 2017,42.6,"4/14: Awarded to a consortium consisting of BOS Shelf LLC, Saipem Contracting Netherlands B.V. and Star Gulf FZCO. The subsea fabrication scope includes includes eight sub-sea isolation valve structures, 10 flow-line termination assemblies, 80 walking anchors, 100 subsea tie-in piping spools, 100 pipeline crossing supports, 1,000 concrete mattresses and 1,000 tonnes of current transfer zone foundations."
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,EPC,Subsea production system,394,FMC,,11 Apr 2014,11 Apr 2014,30 Oct 2017,42.6,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Installation,Fixed facilities/piplines/IMR,"1,800",Saipem,Saipem,30 Apr 2014,9 Jun 2014,18 Dec 2017,42.2,"4/14: Awarded to the Saipem, Bos Shelf and Star Gulf consortium.  The scope of work includes the transportation and installation of the platform jackets and topsides, and the installation of the subsea production systems and subsea structures, as well as the laying of over 360 km pipelines. The contract also includes the upgrade of the pipelayer Israfil Huseinov, the diving support vessel Tofiq Ismailov and derrick pipelayer Azerbaijan."
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Project Management,Maintenance build capabilities,9,Petrofac,,29 Jul 2014,30 Jul 2014,31 Jul 2018,47.9,"07/14: Petrofac has been awarded a contract for the provision of maintenance build capabilities for the BP-operated Shah Deniz Phase II project, offshore Azerbaijan. The deal covers onshore, offshore and pipeline assets for the gas development. Plant Asset Management, the asset performance management consulting business of Petrofac, will undertake the scope of work that is due to be completed in 2018. The work scope involves development of reliability and maintenance strategies, validation of the master equipment list, creation of a maintenance assignment and the development of computerised maintenance management systems data."
Caspian Sea,Kazakhstan,Kashagan Contract Area,Kashagan,Kashagan Phase I (Experimental),NCOC,EPIC,Mooring Protection and Interconnection Structures,,Saipem,,16 Dec 2010,16 Dec 2010,,,
Caspian Sea,Kazakhstan,Kashagan Contract Area,Kashagan,Kashagan Phase I (Experimental),NCOC,EPIC,Flares and Piles for offshore structures,,Saipem,,16 Dec 2010,16 Dec 2010,,,
Caspian Sea,Kazakhstan,Kashagan Contract Area,Kashagan,Kashagan Phase I (Experimental),NCOC,Installation,14 module barges,,Saipem,,16 Dec 2010,1 Apr 2011,31 Dec 2011,9.0,
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,Engineering,ACC-1 & ACC-2,5,Caspian Energy,,1 Aug 2009,,31 Jan 2010,,
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPC,Two Platforms -  ACC-1 & Riser Block,,Red Barricades Shipyard,,10 Oct 2011,17 Oct 2011,,,"10/11: Lukoil has agreed with Red Barricades shipyard near Astrakhan for the construction and installation of the two offshore platforms. One will have living quarters for 125 people and a helipad (PZHM-1), while the other will be a large pumping station, standing between several infield pipelines and a larger diameter export line wo the Russian shore (RB). There will also be a subsea pipeline connection to Lukoil's Yuri Korchagina development. installation planned for 2013 and 2014."
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPC,LSP-1/IRP-1,,OSK,,9 Nov 2011,9 Nov 2011,30 Nov 2014,36.6,"11/11: United Shipbuilding Corporation will be responsible for the development of engineering documentation, purchase of equipment and materials, construction and commissioning and the start-up of ice-resistant stationary drilling and operations platform No. 1 (IRP-1)."
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPC,CPP,,Globalstroy-Engineering,,9 Nov 2011,9 Nov 2011,15 May 2015,42.1,11/11: OAO Global-Engineering will fabricate the central processing platform (CPP) and a catwalk bridge connecting the IRP-1 to the CPP. The works are to be completed by May 2015.
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,Installation,pipeline installation,,Bumi Armada,,26 Mar 2012,30 Jul 2012,,,"05/12: One oil pipeline and one gas pipeline, each 40km. the pipelines will cost usd 200 million to build."
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPIC,Infield/Interfield pipelines (2012),200,Bumi Armada,,16 Apr 2012,31 Dec 2012,31 Dec 2014,23.9,"04/12: Work scope involves the engineering and procurement of line pipes, along with installation and pre-commissioning of nine infield/inter-field pipelines totaling 90km"
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,Installation,Installation of 4 platforms,,Saipem,,1 Oct 2012,20 Mar 2013,30 Sep 2014,18.3,
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPC,LQP-2 + 60m bridge,,Red Barricades Shipyard,,17 Sep 2013,17 Sep 2013,15 Sep 2016,35.9,
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPC,LSP-2,,Globalstroy-Engineering,,17 Sep 2013,17 Sep 2013,15 Sep 2016,35.9,
Caspian Sea,Russia,,Vladimir Filanovsky,Vladimir Filanovsky,Lukoil,EPIC,Over 330 km of subsea pipelines,,Saipem,,28 Apr 2012,31 Dec 2013,14 Dec 2015,23.4,05/12: Contract value undisclosed. One oil pipeline and one gas pipeline of 114km each to be laid by the end of 2015. Castoro 12 and Castoro 16 to be used in different phases between 2013 and 2015.
