FieldsBase Floating Platform Installation Search - Data Download,,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:03 for Dirk Rook,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region,Country,Block,Field,Platform name,Project,Operator,Owner,Status,Installation year,Removal year,Type,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys FPSO,Ichthys,INPEX,,Contracted,2016,,Ship,FPSO,Condensate & Gas,Y,Y,,Y,,250,"07/14: Hull launched. expected completion fist half 2016.
06/13: First steel cut at Okpo yard. IMO: 9657179 Daewoo 6054
04/11: Dimensions of FPSO: 333.3m x 55.8m x 31m."
Australia/New Zealand,Australia,WA-285-P,Ichthys,Ichthys Semi (CPF),Ichthys,INPEX,,Contracted,2016,,Semi,FPS,Condensate & Gas,Y,Y,,Y,,250,10/10: The CPF is in charge of gathering gas from the subsea production wells and processing it by removing water and condensate.
Australia/New Zealand,Australia,AC/L1,Jabiru,Jabiru Venture FPSO,Jabiru,,,Removed,1986,2010,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,120,"Prod cap increased in 1988; addl upgrades 1991, 1993. $11 million refit in1996. Shut-in 9/7; dock in Singapore 9/24 at Sembawang Shipyard; steel renew for 5yr life estension. Return 2/97. World's 1st disconnectable FPSO. SBM = original moor & install on fixed lumpsum contract. BHP sold FPSO 11/98 to Gulf Australia. Gulf Australia for sale by debt-laden Canadian parent. Majority/operator interest purchased by Newfield Exploration 7/99. Newfield sold its interest to Coogee Resources Pty Ltd in Sept 2003. 
scrapped at Chittagong"
Australia/New Zealand,Australia,JPDA 06-105,Kitan,Glas Dowr FPSO,Kitan,,,Installed,2011,2016,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,330,"10/11: The conversion of Glas Dowr FPSO was done at the Sembawang Shipyard in Singapore. It has a crude oil production capacity of 50,000 barrels per day (bbl/d) and a maximum storage capacity of 647,750bbl. The FPSO is designed for extended at-sea service, with a design life of 15 years (10 years on the field without dry-docking). The hull specifications are: 242.3m length, 42m width and 21.1m depth, with a dead weight tonnage (DWT) of 105,000 tonnes.
07/11: Repairs and upgrades to extend the life of the vessel for 10 years to be done by Sembcorp. 

 

Sembcorp said work on the vessel was expected to be completed during the second quarter of 2011 for deployment in the Kitan field in the Timor Sea."
Australia/New Zealand,Australia,WA-36-R,Laverda,Laverda FPSO,Laverda,,,Possible,2018,,Ship,FPSO,Oil,,,,,,850,"08/12: Woodside is considering a floating production unit, likely a FPSO for Laverda's development"
Australia/New Zealand,Australia,WA-20-L,Legendre,Thapsus (ex Karratha Spirit),Legendre,,,Removed,2001,2011,Ship,FSO,,,Y,,,,60,"Formerly FSO Karratha Spirit, Teekay sold the unit to Tunisia's Sarost SA in early 2011"
Australia/New Zealand,Australia,AC/L7,Montara Dev Proj (MDP),FPSO Montara Venture,Montara Dev Proj (MDP),PTTEP,,Installed,2013,2025,Ship,FPSO,Oil & Gas,N,Y,,N,Y,87,"02/13: FPSO tested at location
07/11: Tanker Pacific sold unit to PTTEP for USD 445 million. Continuous service on site for a minimum of 20 years without dry docking

Located 1.5km northeast of WHP
IMO:8714982"
Australia/New Zealand,Australia,,Montara Dev Proj (MDP),Modec Venture 1,Skua,,,Removed,1991,1996,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,80,Vessel sold for scrap in Feb. 10 for USD 8.2 MM.
Australia/New Zealand,Australia,WA-26-L,Mutineer-Exeter,Modec Venture 11,Mutineer-Exeter,Santos,,Installed,2005,2020,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,165,IMO: 9002489
Australia/New Zealand,Australia,NT/P68,NT/P68 LNG,Heron/Blackwood FLNG,NT/P68 LNG,,,Possible,2018,,Ship,FPSO,Gas,,,,,,60,
Australia/New Zealand,Australia,WA-371-P,Prelude,Prelude FLNG,Prelude FLNG,Shell,,Contracted,2017,,Ship,FPSO,Condensate & Gas,Y,,,,N,237,"08/14: Drydocks World Dubai delivers second turret module to Korea for Shell's Prelude FLNG facility.
12/13: Shell floats hull of FLNG at Samsung's yard in Geoje, S Korea.
10/12: First steel cut at Samsung's Geoje Shipyard"
Australia/New Zealand,Australia,WA-424-P,Pryderi,Pryderi FPSO,Pryderi,Calenergy Gas,,Possible,2018,,Ship,FPSO,Oil,,,,,,90,
Australia/New Zealand,Australia,AC/P22,Puffin North East,Front Puffin,Puffin North East,,,Removed,2007,2009,Ship,FPSO,Oil & Gas,Y,Y,,Y,,105,
Australia/New Zealand,Australia,WA-43-L,Pyrenees,Pyrenees Venture,Pyrenees Development,BHP Billiton,,Installed,2010,2025,Ship,FPSO,Oil & Gas,Y,Y,N,Y,,201,
Australia/New Zealand,Australia,WA-1-R,Scarborough,Scarborough FLNG,Scarborough Phase I,ExxonMobil,,Planned,2020,,Ship,FPSO,Gas,Y,,,,N,945,"09/13: FLNG facility will be approximately 495 meters long, 75 meters wide and will process a total of around 6-7 MTPA of LNG from five processing trains. double-hulled sides and bottom and be permanently moored to the seabed. LNG carriers will load from behind the FLNG facility with offloading of LNG taking place approximately 6-9 times per month."
Australia/New Zealand,Australia,WA-209-P,Stag,Dampier Spirit,Stag,Apache,,Installed,1998,2024,Ship,FSO,,N,Y,N,N,N,46,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,Stybarrow Venture MV16,Stybarrow/Eskdale,BHP Billiton,,Installed,2007,2017,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,825,
Australia/New Zealand,Australia,,Talisman,Acqua Blu,Talisman,,,Removed,1989,1992,Ship,FPSO,,Y,Y,N,Y,N,79,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,Ningaloo Vision,Van Gogh,,,Installed,2010,,Ship,FPSO,Oil & Gas,Y,Y,,Y,,354,"01/12: Sold from contractor BW Offshore to operator Apache.

Loc: 21ø 24' 12.39""S 114ø 05' 17.22""E"
Australia/New Zealand,Australia,WA-28-L,Vincent,Ngujima-Yin FPSO,Vincent,Woodside,,Removed,2008,2013,Ship,FPSO,Oil & Gas,Y,Y,,Y,,350,"12/13: Maintenance compled and FPSO commenced production on Nov 29. 

04/12:Subsea well tieback work being carried out. FPSO sold to Woodside and Mitsui Oil in December, set up upgrades later in the year.

04/08: FPSO Maersk Nguyima-Yin to sailaway from Keppel shipyard in May 08. First oil planned for early 3Q08."
Australia/New Zealand,Australia,VIC/P57,West Seahorse,West Seahorse FSO,West Seahorse,Hibiscus Petroleum,,Tendering,2015,2020,Ship,FSO,Oil,,,,,,39,
Australia/New Zealand,Australia,WA-25-L,Woollybutt,Four Rainbow,Woollybutt,,,Removed,2003,2012,Ship,FPSO,Oil,Y,Y,,Y,N,100,"5/08: Shutdown over safety concerns, will recommence when safety issues are resolved."
Australia/New Zealand,New Zealand,PMP 38160,Maari/Manaia growth projects,FPSO Raroa,Maari,OMV,,Installed,2009,,Ship,FPSO,Oil,Y,Y,,Y,N,91,"11/12: OMV exercised option to buy Raroa
04/08: FPSO left Jurong Shipyard in early Apr 08. It should arrive in Maari in May 08. 

03/08: FPSO conversion is completed at Jurong Shipyard. Vessel due to arrive on site in May 08."
Australia/New Zealand,New Zealand,PMP 381012,Maui,BW Cidade de Sao Vicente,Maui,Petrobras,,Removed,1996,2006,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,115,dedicated to perform EWTs in the Santos Basin pre-salt
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,Umuroa FPSO,Tui Area Oil Project,NZOP,,Installed,2007,2015,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,120,"Umuroa lease expires in 2015, with yearly renewal until 2022"
Baltic,Lithuania,,,Independence,Lithuania FLNG,Klaipedos Nafta,,Contracted,2015,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,"10/11: Leased FSRU with capacity for at least 130,000 cubic metres of LNG."
"Canada, East",Canada,EL 1112,Bay du Nord,Bay du Nord FPSO,Bay du Nord,,,Possible,2018,,Ship,FPSO,Oil & Gas,,,,,,"1,100",
"Canada, East",Canada,,Cohasset - Panuke,Apollo Spirit,Cohasset - Panuke,,,Removed,1992,1999,Ship,FSO,,,Y,,,,40,12/11: FSO Apollo Spirit lost tension in one of its 8 anchors during a storm. subsea valves closed. Maximum volume of oil in pipelines is thought to be 120 tonnes.
"Canada, East",Canada,,Terra Nova,Terra Nova FPSO,Terra Nova,,,Installed,2001,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,95,
"Canada, East",Canada,PL 1006,White Rose,Sea Rose FPSO,White Rose,Husky Oil,Suncor,Installed,2005,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,122,Vessel installed in August 2005.  First production anticipated late 2005/early 2006.
"Canada, Other",Canada,,,BC LNG FLSU,BC LNG,BC LNG Export Co-Operative,,Tendering,2016,2036,Barge floating,Floating Storage Regasification Unit,Gas,,,,,,,"to be located on West Bank of Douglas Channel near Kitimat, BC, Canada.

capacity of 0.7 MTPA"
Caspian Sea,Russia,,Yuri Korchagin,Yuri Korchagin FSO,Yuri Korchagin,Lukoil,,Installed,2010,,Ship,FSO,Oil,,Y,,,,20,
Caspian Sea,Turkmenistan,Block 1,Diyarbekir (Barinov),Oguzhan FSO,Block 1 Oil Development,Petronas Carigali,,Installed,2006,,Ship,FSO,,,N,,,,55,
Central America,Puerto Rico,,,Puerto Rico import FSRU,Aguirre GasPort FSRU,,,Contracted,2016,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,
Far East,China,,,GDF Suez Cape Ann FSRU,Tianjin LNG FSRU,CNOOC,,Installed,2013,2018,Ship,Floating Storage Regasification Unit,Gas,,,,,,18,"07/13: Commissioning to take place in Tianjin in October 2013.
04/13: Vessel en route to China.
Hoegh LNG chartered LNG Tanker Cape Ann to GDF Suez, who in turn sublet vessel to CNOOC as a FSRU."
Far East,China,Bonan,Bonan,Bohai You Yi Hao (HYSY 101),Bonan Phase 1,,,Installed,2003,,Barge floating,FPSO,Oil & Gas,Y,Y,,Y,N,23,
Far East,China,Bonan,Bozhong (BZ) 25-1/BZ 25-1S,Hai Yang Shi You 113,Bozhong (BZ) 25-1/25-1S FPSO HYSY 113 Re-mobilisation,,,Installed,2013,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,30,
Far East,China,Bonan,Bozhong (BZ) 25-1/BZ 25-1S,Bohai Ming Zhu,Bozhong (BZ) 25-1/BZ 25-1S Phase I,CNOOC,,Removed,2010,2011,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,19,
Far East,China,Bonan,Bozhong (BZ) 25-1/BZ 25-1S,Hai Yang Shi You 113,Bozhong (BZ) 25-1/BZ 25-1S Phase I,,,Removed,2004,2009,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,19,
Far East,China,Bonan,Bozhong (BZ) 28-1,Bohai You Yi Hao (HYSY 101),Bozhong (BZ) 28-1,,,Removed,1989,1995,Barge floating,FPSO,Oil & Gas,Y,Y,,Y,N,23,
Far East,China,Bonan,Bozhong 28/34 Cluster,Chang Qing Hao (HYSY 102),Bozhong (BZ) 28-2S,,,Installed,2009,,Barge floating,FPSO,Oil & Gas,Y,Y,,Y,N,21,
Far East,China,Bonan,Bozhong 28/34 Cluster,Chang Qing Hao (HYSY 102),Bozhong (BZ) 34-2,,,Removed,1990,2007,Barge floating,FPSO,Oil & Gas,Y,Y,,Y,N,20,
Far East,China,04/36,Caofeidian (CFD),Hai Yang Shi You 112,Caofeidian (CFD) 11-1/11-2,,,Installed,2004,,Ship,FPSO,Oil,Y,Y,,Y,N,23,
Far East,China,27/06,Enping Cluster,Hai Yang Shi You 118,Enping (EP) 24-2,CNOOC,,Installed,2014,,Ship,FPSO,Oil,Y,Y,,,,96,"08/14: FPSO delivered on August 8, first oil expected by end-2014
02/12: COOEC likely to undertake topside module fabrication 
12/11: Conceptual study complete, basic design to start in January 2012, EPC tender to follow in mid-2012"
Far East,China,Xijiang04,Enping Cluster,FPSO Nan Hai Kai Tuo,Xijiang (XJ) 24-3,,,Removed,1994,2010,Ship,FPSO,Oil,Y,Y,,Y,N,100,
Far East,China,Xijiang04,Enping Cluster,Munin FPSO,Xijiang (XJ) 24-3,,,Removed,2004,2005,Ship,FPSO,Oil,Y,Y,,Y,N,100,
Far East,China,16/08,Huizhou (HZ) 21-1,FPSO Nan Hai Fa Xian,Huizhou (HZ) 21-1,CACT,,Installed,1990,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,116,
Far East,China,16/08,Huizhou (HZ) 21-1,Munin FPSO,Nan Hai Fa Xian Temp. Replacement,,,Removed,2010,2011,Ship,FPSO,Oil,Y,Y,,Y,N,116,
Far East,China,29/04,Liuhua (LH) 11-1,FPS Nan Hai Tiao Zhan,Liuhua (LH) 11-1,CNOOC,,Installed,1995,,Semi,FPS,Oil,Y,Y,Y,Y,Y,300,
Far East,China,29/04,Liuhua (LH) 11-1,FPSO Nan Hai Sheng Li,Liuhua (LH) 11-1,CNOOC,,Installed,1996,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,305,
Far East,China,29/04,Liuhua (LH) 11-1,Peeti,Liuhua (LH) 11-1,PTTEP,,Removed,1988,1989,Ship,FSO,,,Y,,,,340,"Formerly named Bongkot FSO.

Unit previously an FPSO used in the Intan Field off Indonesia. Vessel shortened and converted to an FSO in 1992, after explosion/fire at Intan. Forward section became BONGKOT FSO. Remove to Singapore for scrap, replaced by other FSO before end 2000.   Replacement for BONGKOT 1 FSO. Scrap original, due to corroded ballast tanks. Technip, leader of Technip-ITD consortium = mgrs of FSO changeout. ITD = Italian-Thai Devel. ITD operate FSO for 3mos."
Far East,China,29/04,Liuhua (LH) 11-1,LH 11-1 TLP,Liuhua (LH) 11-1 adjustment,,,Possible,2016,,TLP,Other,Oil,,,,,,340,CNOOC to decide one TLP for LH 11-1 or one each for LH 11-1 and LH 16-2
Far East,China,29/04,Liuhua (LH) 16-2,Hai Yang Shi You 119,Liuhua (LH) 16-2,CNOOC,,Planned,2018,,Ship,FPSO,Oil,Y,Y,,,Y,404,
Far East,China,29/04,Liuhua (LH) 16-2,LH 16-2 TLP,Liuhua (LH) 16-2,,,Possible,2018,,TLP,Other,Oil,,,,,,404,Possibly one TLP at LH 16-2 tied back to LH 16-2 FPSO. Development scheme to decide after FEED completes.
Far East,China,16/05,Lufeng,Ayer Biru,Lufeng,,,Removed,1990,1991,Ship,FPSO,Oil,Y,Y,N,Y,N,332,
Far East,China,16/06,Lufeng (LF) 13-1,FPSO Nan Hai Kai Tuo,Lufeng (LF) 13-1,,,Removed,2012,2012,Ship,FPSO,Oil,Y,Y,,Y,N,146,
Far East,China,16/05,Lufeng (LF) 13-1,FSO Nan Hai Sheng Kai,Lufeng (LF) 13-1,,,Installed,1993,,Ship,FSO,Oil,,Y,,,,141,"Oil inlet capacity of 25,000 b/d."
Far East,China,16/05,Lufeng (LF) 22-1,Munin FPSO,Lufeng (LF) 22-1,,,Removed,1997,2009,Ship,FPSO,Oil,Y,Y,,Y,N,332,
Far East,China,,Oil Storage,Petrocom,Oil Storage,PetroChina,,Removed,2006,2007,Ship,FSO,,,Y,,,,70,
Far East,China,15/34,Panyu (PY) 4-2/5-1,Hai Yang Shi You 111,Panyu (PY) 4-2/5-1,CNOOC,,Installed,2003,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,97,Hai Yang Shi You 111 (Offshore Oil 111)
Far East,China,11/05,Penglai (PL) 19-3,Bohai Ming Zhu,Penglai (PL) 19-3 Phase I,CNOOC,,Removed,2002,2009,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,28,
Far East,China,11/05,Penglai (PL) 19-3,Hai Yang Shi You 117,Penglai (PL) 19-3 Phase II,ConocoPhillips,,Installed,2009,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,28,"05/11: Formerly known as Peng Bo Hao

04/08: Chiwan Sembawang completed fabrication of the SPM system for the FPSO. Contractor will deliver SPM in mid-Jun."
Far East,China,05/36,Qinhuangdao (QHD) 32-6,Bohai Shi Ji (Bohai Century),Qinhuangdao (QHD) 32-6 Phase I,CNOOC,,Installed,2001,2016,Ship,FPSO,Oil,Y,Y,,Y,N,20,
Far East,China,Liaoxi,Suizhong (SZ) 36-1,Bohai Ming Zhu,Penglai (PL) 19-3 Phase II,CNOOC,,Removed,2011,2013,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,30,
Far East,China,Liaoxi,Suizhong (SZ) 36-1,Bohai Ming Zhu,Suizhong (SZ) 36-1 Phase I,CNOOC,,Removed,1992,2002,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,30,
Far East,China,Yulin 35,Weizhou,FPSO Nan Hai Xi Wang,Weizhou-FPSO,,,Removed,1986,1998,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,42,
Far East,China,Yangjiang31/32,Wenchang (WC) 13-1/13-2,FPSO Nan Hai Fen Jin,Wenchang (WC) 13-1/13-2,,,Installed,2002,,Ship,FPSO,Oil,Y,Y,,Y,N,120,
Far East,China,Yangjiang31/32,Wenchang (WC) 19-3,Hai Yang Shi You 116,Wenchang (WC) 19-3,CNOOC,,Installed,2008,,Ship,FPSO,Oil,,,,,,150,04/08: Linking of FPSO underway.
Far East,China,Xijiang04,Xijiang (XJ) 23-1,Hai Yang Shi You 115,Xijiang (XJ) 23-1,CNOOC,,Installed,2008,,Ship,FPSO,Oil,,,,,,99,
Far East,Russia,,Sakhalin II,Okha,Sakhalin II Phase 1,Sakhalin Energy,,Removed,1999,2008,Ship,FSO,Oil,,Y,,,,32,
