FieldsBase Floating Platform Installation Search - Data Download,,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:03 for Dirk Rook,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region,Country,Block,Field,Platform name,Project,Operator,Owner,Status,Installation year,Removal year,Type,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Indian Ocean,India,CY-OS-90/1 (PY-3),PY-3,FSO Endeavor,PY-3,Hardy,,Removed,1997,2012,Ship,FSO,,,Y,,,,135,
Indian Ocean,India,,Ratnagiri,Ratnagiri FSO,Ratnagiri,ONGC,,Installed,1982,,Ship,FSO,,N,Y,N,N,N,41,
Indian Ocean,Mozambique,Area 4,Area 4 Mamba South/North,Mamba FLNG 2,Area 4 Mamba South/North,Eni,,Planned,2021,,Ship,FPSO,Gas,,,,,,"1,585",
Indian Ocean,Mozambique,Area 4,Coral 1,Area 4 Coral FLNG,Coral South,,,Planned,2019,,Ship,Floating Storage Regasification Unit,Gas,,,,,,"2,261",
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Mozambique Gas Semi,Prosperidade Phase II,Anadarko,,Possible,2028,,Semi,FPS,Gas,Y,Y,,Y,,"1,463",5/12: Floating production system understood to be no longer required for first phase of the project. It may be 10 years before it is needed.
Indian Ocean,Myanmar,M-13,Yetagun,Yetagun FSO,Yetagun,Premier,,Installed,2000,2015,Ship,FSO,Oil,,Y,,,,105,
Indian Ocean,Tanzania,2,Tanzania LNG,Tanzania FPU,Tanzania LNG,,,Possible,2021,,Ship,FPS,Gas,,,,,,"2,400",
Mediterranean/Black Sea,Egypt,,Rospo Mare,Alba Marina,Rospo Mare,,,Removed,1987,1994,Ship,FSO,,N,Y,N,N,N,77,
Mediterranean/Black Sea,Israel,,,Israel FLNG FPSO 1,King LNG FPSO (Israel FLNG Phase 1),Noble Energy,"Isramco, Delek Energy",Contracted,2018,,Ship,FPSO,Gas,,,,,,,"12/11: Under the agreement with DSME Hoegh will be the owner and operator of the LNG-FPSO and Daewoo will be the engineering, procurement, construction, installation and commissioning contractor."
Mediterranean/Black Sea,Israel,Rachel,Leviathan,Leviathan FPSO 1,Leviathan Phase 1,Noble Energy,"Delek Energy, Woodside, Ratio Oil Exploration, Avner Oil Exploration",Planned,2018,,Ship,FPSO,Gas,,,,,,"1,634",FEED design based on VLCC BW Opal
Mediterranean/Black Sea,Israel,Rachel,Leviathan,Leviathan FLNG,Leviathan Phase 2 (FLNG),Noble Energy,"Delek Energy, Ratio Oil Exploration, Woodside, Avner Oil Exploration",Possible,2020,,Ship,FPSO,Gas,,,,,,"1,634",
Mediterranean/Black Sea,Israel,Rachel,Leviathan,FPSO 2,Leviathan Phase 3 (FPSO 2),Noble Energy,"Ratio Oil Exploration, Delek Energy, Woodside, Avner Oil Exploration",Possible,2022,,Ship,FPSO,Gas,,,,,,"1,634",
Mediterranean/Black Sea,Italy,,,Falconara Marittima FSRU,Falconara Marittima FSRU,,,Possible,2018,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,
Mediterranean/Black Sea,Italy,,,Toscana (ex-Golar Frost) FSRU,Toscana/Livorno LNG (OLT),OLT Offshore LNG,,Installed,2013,,Ship,Floating Storage Regasification Unit,,,,,,,120,Vessel purchased from Golar LNG for USD 231 million.
Mediterranean/Black Sea,Italy,,,Triton FSRU,Triton Offshore LNG,GDF Suez,HOEGH,Possible,2018,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,
Mediterranean/Black Sea,Italy,F.C2.AG,Aquila,FPSO Firenze,Aquila,Agip,,Removed,1998,2006,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,830,Vessel sold for scrap in September 2007.
Mediterranean/Black Sea,Italy,F.C2.AG,Aquila,Aquila Phase II FPSO (Firenze),Aquila FPSO replacement,,,Installed,2011,,Ship,FPSO,Oil,,,,,,830,also Firenze II?
Mediterranean/Black Sea,Italy,FR.39.NP,Giove,Giove FPSO,Giove,,,Possible,2020,,Ship,FPSO,Oil & Gas,Y,Y,,Y,,593,
Mediterranean/Black Sea,Italy,,Mila,Acqua Blu,Mila,,,Removed,1985,1987,Ship,FPSO,,Y,Y,N,Y,N,55,
Mediterranean/Black Sea,Italy,,Nilde,FPSO Firenze,Nilde Field (Final),Agip,,Removed,1986,1996,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,100,Vessel sold for scrap in September 2007.
Mediterranean/Black Sea,Italy,,Nilde,Agip Milano,Nilde Field (Initial),Agip,,Removed,1980,1985,Ship,FPSO,Oil,Y,Y,N,Y,N,100,
Mediterranean/Black Sea,Italy,BR 269 GC,Ombrina Mare,Ombrina Mare FPSO,Ombrina Mare,,,Planned,2018,,Ship,FPSO,Oil,N,N,,N,N,20,45–50 thousand tonnes of oil storage capacity and pre-treatment facilities
Mediterranean/Black Sea,Italy,,Rospo Mare,Alba Marina FSO,,Edison,,Installed,2012,,Ship,FSO,Oil,,,,,,80,Mooring turret taken from old Alba Marina FSO.
Mediterranean/Black Sea,Italy,5,Vega,Vega FSO,Vega FSO,Edison,,Removed,1987,2008,Ship,FSO,,,Y,,,,125,Decommissioned in June 2008
Mediterranean/Black Sea,Italy,5,Vega,Leonis FSO,Vega FSO Replacement,,,Installed,2010,,Ship,FSO,,,,,,,125,04/09: Leonis oil tanker being converted into a FSO tol replace the decommissioned Vega FSO
Mediterranean/Black Sea,Lebanon,,,Lebanon FSRU,Lebanon FSRU,Ministry of Energy and Water Lebanon,,Tendering,2016,2028,Ship,Floating Storage Regasification Unit,Gas,,,,,,,"The Lebanese Ministry of Energy and Water is considering proposals for a newbuild FSRU, an existing FSRU and conversions. Minimum size recommended of of 125,000 m3, with ship-based LNG vaporization at regasification capacity of up to 3.5 MMt/y of LNG equivalent."
Mediterranean/Black Sea,Libya,NC-137,Al Jurf,Farwah FPSO,Al Jurf,Mabruk Oil Operations,,Installed,2003,2015,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,89,"02/08: Total has given notice to Exmar and CMB that it intends to exercise its option to purchase the FPSO Farwah.  The vessel is currently producing oil from Total's Al Jurf field, offshore Libya, where it has been operating since 2003. Total's purchase of the vessel is expected to close in May 2008, with Exmar and CMB each expected to realise a capital gain of around USD 1 million and a cash surplus of around USD 16 million from the sale. It is expected to remain on the Al Jurf field, located in a water depth of 89 msw, until 2015."
Mediterranean/Black Sea,Libya,NC-41B,Bouri,Sloug,Bouri FSO,Eni,,Installed,1987,,Ship,FSO,,,Y,,,,167,
Mediterranean/Black Sea,Libya,,Bouri,Gaza FSO,Bouri FSO Replacement,Mellitah Oil & Gas,,Contracted,2015,,Ship,FSO,,,N,,,,167,2/11: Situation unclear due to uprising in Libya.
Mediterranean/Black Sea,Spain,,Amposta,Amposta FSO,Amposta,Shell,,Removed,1973,1988,Ship,FSO,,N,Y,N,N,N,61,
Mediterranean/Black Sea,Spain,,Castellon,Delta,Castellon,Shell,,Removed,1977,1986,Ship,FPSO,Oil,Y,Y,,Y,N,117,World's first FPSO
Mediterranean/Black Sea,Tunisia,,Ashtart,Ifrikia,Ashtart,,,Removed,1974,1980,Barge floating,FSO,,N,Y,N,N,N,66,
Mediterranean/Black Sea,Tunisia,,Ashtart,Ifrikia II,Ashtart,,,Installed,1980,,Barge floating,FSO,,,Y,,,,67,
Mediterranean/Black Sea,Tunisia,Hammamet,Cosmos Sud,Cosmos FPSO,Cosmos Sud,Chinook Energy,,Possible,2019,,Ship,FPSO,Oil,,,,,,118,"8/11: Ikdam FPSO may be used on Chinook's Cosmos field in 2012-2013. Tech specs suit the project very well, but the operator is trying to find a partner prior to developing the field. Ikdam FPSO is owned by Lundin (40%), Teekay (40 %) and Brovig (20%)"
Mediterranean/Black Sea,Tunisia,Zarat,Didon,Didon FPSO,Didon,,,Removed,1998,2007,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,75,
Mediterranean/Black Sea,Tunisia,Zarat,Didon,Didon FSO,Didon,,,Removed,2007,2013,Ship,FSO,Oil,,Y,,,,75,"DIdon FPSO operating in only FSO mode following the installation of a fixed processing platform.
10/07: Has undergone five-year insepction to ensure meets 2008 safety and environmetnal standards. Now likely to remain on field until at least 2013."
Mediterranean/Black Sea,Tunisia,Kerkouane,Dougga,Dougga FSO,Dougga,AuDAX Resources,Gulfsands,Possible,2020,,Ship,FSO,Condensate & Gas,,N,,,,328,
Mediterranean/Black Sea,Tunisia,Halk El Menzel,Halk El Menzel,Thapsus (ex Karratha Spirit),Halk El Menzel,Topic Energy,,Contracted,2014,2016,Ship,FSO,,,Y,,,,76,"Formerly FSO Karratha Spirit, Teekay sold the unit to Tunisia's Sarost SA in early 2011"
Mediterranean/Black Sea,Tunisia,,Isis,Ikdam FPSO,Isis,,ETAP,Removed,2001,2006,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,75,02/13: FPSO can be used on Lundin's Bertam field in Malaysia as a fast track option for first oil in 2015.
Mediterranean/Black Sea,Tunisia,,Isis,Isis Redevelopment FPSO,Isis Redevelopment,,,Planned,2018,,Ship,FPSO,Oil,,,,,,75,
Mediterranean/Black Sea,Tunisia,,Oudna,Ikdam FPSO,Oudna,Viking Energy North Africa,ETAP,Removed,2006,2012,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,80,02/13: FPSO can be used on Lundin's Bertam field in Malaysia as a fast track option for first oil in 2015.
Mediterranean/Black Sea,Tunisia,Hammamet,Tazerka,Tazerka FPSO,Tazerka,,"DNO, Cooper Energy",Removed,1982,1989,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,142,
Mediterranean/Black Sea,Tunisia,Zarat,Zarat,Zarat FPSO,Zarat Phase 1,,,Planned,2019,,Ship,FPSO,Oil,,,,,,75,
Mediterranean/Black Sea,Ukraine,,,Ukraine LNG FSRU,Ukraine LNG,UKRAINE STATE,,Contracted,2015,2018,Ship,Floating Storage Regasification Unit,Gas,,,,,,,
Mexico,Mexico,,,Crystal Ocean,Mexico TBD,Pemex,,Installed,2012,2015,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,120,"9/12 well intervention in Mexico; 3-yr fixed with Blue Marine in Mexico, extension options for up to a further 2 years"
Mexico,Mexico,,Ayatsil-Tekel,Ayatsil FPSO,Ayatsil-Tekel Ph 2,,,Planned,2017,,Ship,FPSO,Oil & Gas,Y,,N,,Y,120,12/13 PEMEX wants a double-hull newbuild
Mexico,Mexico,Region Marina Noreste,Cantarell,Ta'Kuntah,Cantarell 1990s,Pemex,,Installed,1998,,Ship,FSO,,,Y,,,,75,"Oil inlet capacity of 800,000 b/d.
ULCC tanker"
Mexico,Mexico,Region Marina Noreste,Ku-Maloob-Zaap,Yuum K'ak'naab,Ku-Malooob-Zaap 2007-2011,Pemex,,Installed,2007,2022,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,100,
Mexico,Mexico,,Kunah,Kunah,Kunah,,,Possible,2019,,Semi,FPS,Gas,Y,,N,,,"2,157",
Mexico,Mexico,,Mexico TBD,PEMEX EWT FPSO,Mexico TBD,,,Tendering,2016,,Ship,FPSO,Oil & Gas,,,,,,,
Mexico,Mexico,Cinturon Subsalino,Trion,Trion FPSO,Trion,,,Possible,2018,,Ship,FPSO,Oil,,,,,,"2,500",
Mexico,Mexico,Cinturon Subsalino,Trion,Trion spar,Trion,,,Possible,2018,,Spar,FPS,Oil,,,,,,"2,500",
Middle East,Egypt,,,Hoegh Gallant,Egypt FSRU,EGAS,,Planned,2014,2019,Ship,Floating Storage Regasification Unit,Gas,,,,,,,The fourth speculative platform ordered by Hoegh at HHI.
Middle East,Egypt,,South Geisum,Al Kahera I,South Geisum,Geisum,,Removed,1985,1993,Ship,FPSO,Oil,Y,Y,N,Y,N,45,
Middle East,Egypt,Zaafarana,Zaafarana,Al Zaafarana FPSO,Zaafarana,ZAFCO,,Installed,1994,,Ship,FPSO,Oil,Y,Y,,Y,N,56,
Middle East,Iran,,,Bandar Abas FPSO,Bandar Abas Export Ppl,,,Cancelled,2019,,Ship,FPSO,Oil,,,,,,,
Middle East,Iran,,Cyrus (Iran),Cyrus FSO,Cyrus,NIOC,,Removed,1972,1984,Ship,FSO,,,Y,,,,43,
Middle East,Iran,,Soroosh/Nowruz,FSU Sorena,Soroosh/Nowruz,Shell,,Installed,2001,,Ship,FSO,,N,Y,N,N,N,43,
Middle East,Iran,South Pars,South Pars,South Pars FPSO,South Pars Oil Layer (SPOL) Phase 1,PEDCO,,Tendering,2020,,Ship,FPSO,Oil,Y,Y,,Y,Y,70,
Middle East,Jordan,,,Golar Eskimo,Jordan LNG Terminal,,,Contracted,2015,2024,Ship,Floating Storage Regasification Unit,Gas,,,,,,,Leased Golar Eskimo
Middle East,Kuwait,,,Golar Igloo,Mina Al Ahmadi LNG project,,,Installed,2014,2014,Ship,Floating Storage Regasification Unit,Gas,,,,,,,
Middle East,Qatar,12,Al Rayyan,Pacific Jewel,Al Rayyan,,,Removed,1999,2009,Ship,FSO,,,Y,,,,30,6/10 has been scrapped
Middle East,Qatar,12,Al Rayyan,Falcon Spirit,Pacific Jewel Replacement,,,Installed,2009,2016,Ship,FSO,Oil,,,,,,61,
Middle East,Qatar,5,Al Shaheen,Berge Helene,Al Shaheen,Tullow Oil,,Removed,2004,2004,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,85,
Middle East,Qatar,5,Al Shaheen,Caribbean Blue,Al Shaheen,Maersk Oil,,Removed,1999,2004,Ship,FSO,,,Y,,,,85,Former FSO Covenas. Vessel sold for scrap.
Middle East,Qatar,5,Al Shaheen,Knock Nevis,Al Shaheen,,,Removed,2004,2009,Ship,FSO,Oil,,Y,,,,85,"SCRAPPED in 2009, repl by TI Africa"
Middle East,Qatar,5,Al Shaheen,FSO Africa,Al Shaheen Extension,Maersk Oil,,Installed,2010,2017,Ship,FSO,Oil,,,,,,85,"production service start date commenced on August 31, 2010 after the cancelled servcie agreement was revived; the agreement was previously cancelled due to a delay in FSO delivery in time for production start date on April 30, 2010"
Middle East,Qatar,5,Al Shaheen,FSO Asia,Al Shaheen Extension,Maersk Oil,,Installed,2010,2017,Ship,FSO,Oil,,,,,,85,
Middle East,Qatar,,Offshore Qatar,Mimosa,Offshore Qatar,Maersk Oil,,Removed,1996,1999,Ship,FSO,,,Y,,,,19,
Middle East,United Arab Emirates,,,Golar Freeze FSRU,DUSUP (Jebel Ali) LNG Terminal,DUSUP,,Installed,2010,2020,Ship,Floating Storage Regasification Unit,Gas,,,,,,15,
Middle East,United Arab Emirates,,Abu Al Bu Khoosh,Asian Energy,Abu Al Bu Khoosh,,,Removed,1982,2003,Ship,FSO,,N,Y,N,N,N,28,
Middle East,United Arab Emirates,,Abu Al Bu Khoosh,World Trader,Abu Al Bu Khoosh,,,Removed,1975,1982,Ship,FSO,,,Y,,,,28,
Middle East,United Arab Emirates,,Arzanah,Tropical Lion,Arzanah,,,Removed,1979,1998,Ship,FSO,,N,Y,N,N,N,30,
Middle East,United Arab Emirates,,Fateh,Fateh FSO,Fateh,Dubai Petroleum,,Removed,1974,1985,Ship,FSO,,N,Y,N,N,N,55,
Middle East,United Arab Emirates,,Fateh,Fateh Storage,Fateh,,,Installed,1979,,Barge floating,FSO,,,Y,,,,40,
Middle East,United Arab Emirates,,Mubarek,Baraka I,Mubarek,Crescent,,Removed,1974,1987,Ship,FSO,,N,Y,N,N,N,65,
Middle East,United Arab Emirates,,Mubarek,FSU Mubaraka,Mubarek,Crescent,,Removed,1993,2010,Ship,FSO,,,Y,,,,65,decommissioned in 2010
Middle East,United Arab Emirates,,Mubarek,Mubaraka,Mubarek,Crescent,,Removed,1987,1993,Ship,FSO,,,Y,,,,65,
Middle East,United Arab Emirates,,Saleh,Saleh FSO,Saleh,,,Installed,1984,,Ship,FSO,,,Y,,,,30,
Middle East,Yemen,,,FSO SAFER,Ras Issa Marine Oil Terminal,,,Installed,1988,2016,Ship,FSO,Oil,,Y,,,,37,"FSO SAFER is anchored at Ras Issa Terminal; oil is pumped to the FSO from the Marib field onshore Yemen; managed by SAFER Exploration and Production Operations Company (SEPOC)-Marine Dept in Hodeidah, Yemen; FSO SAFER is formerly known as Esso Japan"
Northwest Europe,Ireland,35/8,Spanish Point,Spanish Point FSO,Spanish Point,Cairn Energy,"Chrysaor, Sosina Exploration, Providence",Possible,2018,,Ship,FSO,Condensate & Gas,,,,,,427,
Northwest Europe,Norway,,Aasgard,Asgard A,Aasgard Phase I (liquids),,,Installed,1999,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,305,
Northwest Europe,Norway,,Aasgard,Jorunn Knutsen/Asgard C,Aasgard Phase I (liquids),,,Installed,2000,2018,Ship,FSO,Oil & Gas,,Y,,,,305,
Northwest Europe,Norway,,Aasgard,Aasgard B,Aasgard Phase II (gas),,,Installed,2001,,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,320,
Northwest Europe,Norway,6707/10,Aasta Hansteen (ex-Luva),Aasta Hansteen (Luva),Aasta Hansteen (ex-Luva),Statoil,,Contracted,2016,,Spar,FPS,Gas,Y,Y,,,,"1,270","10/12: Platform will be shipped to field in May 2016, with first gas expected in Dec 2016. Nyhamma will be expanded by around 15% to accommodate Aasta hansteen and other developments that come via the NSGI trunkline.

10/12: dimesnions 100 x 50 x 28 metres. Dimensions and cost kept down by through single train compression/decompression of produced gas. The spar has spare area and 3,500 tonnes reserved for future expansions.  The topside has 16 riser slots, of which only three will be used for the initial development. 9 trees over 2 manifolds. Aasta Hansteen developed in conjunction with NSGI which includes 500km of trunkline to shore."
Northwest Europe,Norway,25/4,Alvheim,Alvheim FPSO,Alvheim Phase I,,,Installed,2008,,Ship,FPSO,Oil,Y,Y,,Y,N,122,"03/08: FPSO now installed.

According to Lundin Petroleum the Alvheim FPSO has left Haugesund on February 15 and is now undergoing a number of tests prior to installation.  The subsea infrastructure is already in place and the five production wells are understood to be progressing for production start up at the end of March. Marathon was forced to revise its timescale for the project, which was originally due to be on stream last year, due to what it called ""difficult market conditions for skilled labour""."
Northwest Europe,Norway,35/11,Astero 35/11-13,Astero,Astero,,,Possible,2019,,Semi,FPS,Oil & Gas,,,,,,361,
Northwest Europe,Norway,25/11a,Balder,Petrojarl 1,Balder Extended Well Test,,,Removed,1991,1991,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,125,
Northwest Europe,Norway,25/11a,Balder,Balder FPSO,Balder Phase 1,ExxonMobil,,Installed,1999,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,127,
Northwest Europe,Norway,17/12,Bream,Bream FPSO,Bream (Norway),Premier,,Tendering,2019,,Ship,FPSO,Oil,,,,,,96,"08/14: Hull and marine FEED being awarded to Sevan, the topsides FEED to Aibe
07/14: Premier is apparently focusing on a Sevan Marine-designed cylindrical floating production unit as the base case to develop its Bream field off Norway, targeting total investments of up to Nkr10 billion ($1.6 billion). Waiting for formal award. Seven Marine Q1 results presentation (May 2014) mentioned that there are strong expectations that Seven would be directly involved in the FEED."
Northwest Europe,Norway,25/2,East Frigg Delta/Gamma,Delta/Gamma FPSO,East Frigg Delta/Gamma,,,Possible,2020,,Ship,FPSO,Oil,,,,,,120,
Northwest Europe,Norway,25/5,Froy,Froy FPSO,Froy Redevelopment,Det norske oljeselskap,,Possible,2018,,Other floating,FPSO,Oil & Gas,,,,,,117,
Northwest Europe,Norway,15/5,Gina Krog/Eirin,Gina Krog FSO,Gina Krog/Eirin,Statoil,,Contracted,2017,2020,Ship,FSO,Oil,,Y,,,,119,"8/14 conversion project is expected to cost approximately $280 million, including amounts reimbursable upon delivery of the unit relating to installation and mobilization, and the cost of acquiring the remaining 33 percent ownership interest in the Randgrid shuttle tanker"
Northwest Europe,Norway,35/9,Gjoea,Gjoea,Gjoea,GDF Suez,,Installed,2010,,Semi,Other,Oil,,,,,,380,
Northwest Europe,Norway,15/5,Glitne,Petrojarl 1,Glitne,,,Removed,2001,2013,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,120,
Northwest Europe,Norway,7122/7,Goliat,Goliat FPSO,Goliat,Eni,,Contracted,2015,,Ship,FPSO,Oil,N,N,,N,N,343,"05/14: Eni decide to utilise 2nd transportation window and deliver FPSO from yard in early 2015. Start-up expected mid-2015. 
04/14: PSA has advised Eni to postpone delivery of FPSO from yard as it is concerned there is still a lot of work to do, and thinks as much work should be done onshore to ensure quality of the floater. Eni has declined to say if it will take advice and still anticipates sailaway of FPSO for ""summer, 2014"". 
08/12: Eni has announced that Goliat has been postponed by 9 months - from the 4th quarter of 2013 to the 3rd quarter of 2014 - while the cost of development has increased 20% from its initial estimate. Entire development cost is now USD 6.2 billion (NOK 36.7 billion)- the original cost was NOK 30.5 billion.


01/12: Project may be facing some delays due to topside weight increasing, which means the hull may have to be changed. This could result in cost increases and delays.

10/11: Dockwise Vanguard to transport the Goliat FPSO from Korea to Norway in 2013.

09/11: HHI estimates delivery Jul 2013

2/10 HHI winner USD1.18B

07/08: FPSO to be powered by means of electrical cable from shore. Final FPSO concept decision expected beginning 2009.

05/08: FEED competition between Sevan's round FPSO and Aker Solutions Condeep design."
Northwest Europe,Norway,6507/7,Heidrun,Heidrun TLP,Heidrun,,,Installed,1995,,TLP,Other,Oil & Gas,Y,Y,Y,Y,Y,350,
Northwest Europe,Norway,25/8,Jotun,Jotun,Jotun,,,Installed,1999,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,126,
Northwest Europe,Norway,34/3,Knarr,Petrojarl Knarr,Knarr,BG,,Contracted,2014,2024,Ship,FPSO,Oil,Y,Y,N,?,?,400,"10/14: FPSO to transfer to field late oct -early nov.
09/14: Arrived in Haugesund 16/09. installation and offshore testing at the Knarr field to follow.
08/14: ETA Norway 27/09/14
07/14: Left South Korean shipyard in July. En route to permanent location in North Sea, expected to take around 3 months. First production in Q4 remains in place but is subject to government approvals and favourable weather conditions.
8/12: fully built-up cost of approximately $1 billion
5/11: FPSO under construction by Samsung

1/11: Newbuild FPSO will be leased by BG for 6-20 years."
Northwest Europe,Norway,6406/2,Kristin,Kristin Semi,Kristin,,,Installed,2005,,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,320,
Northwest Europe,Norway,,Martin Linge (ex-Hild),Martin Linge FSO,Martin Linge Phase I (ex-Hild),Total,,Contracted,2016,2022,Ship,FSO,Oil,,,,,,120,1/11: possible FSO for water/oil separation.
Northwest Europe,Norway,6407/7,Njord,Njord A,Njord,,,Installed,1997,2016,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,330,
Northwest Europe,Norway,6407/7,Njord,Njord Bravo,Njord,,,Installed,1997,,Ship,FSO,,,Y,,,,330,
Northwest Europe,Norway,6608/10,Norne,Norne,Norne,,,Installed,1997,2021,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,380,"09/08: StatoilHydro has completed the replacement of the Norne FPSO's swivel and expects the vessel to resume production within the next week.  Replacement of the swivel, which took 40 days, will see the ship's lifetime extended from 2016 to 2021. The operation was the first of its kind to be carried out at sea, with swivel replacements having previously been undertaken in dock. As well as extending the vessel's life, the swivel replacement will also enable it to receive gas and condensate from the Alve field, scheduled to come onstream by the end of 2008.

04/08: FPSO to be upgraded this year. Swivel to be replaced, increasing capacity. New swivel will contain two extra tubings. Replacement will allow FPSO to receive gas and condensate from Alve field."
Northwest Europe,Norway,,Oseberg,Petrojarl 1,Oseberg,,,Removed,1986,1988,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,110,
Northwest Europe,Norway,35/9,Skarfjell,Skarfjell FPSO,Skarfjell Development,,,Possible,2019,,Ship,FPSO,Oil,,,,,,368,"Wintershall is also looking at solutions that combine a tie-back with a small floating production, storage and offloading vessel. Reserves for Skarfjell are estimated at 120 to 230 million barrels of oil equivalent."
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv FPSO,Skarv Phase I,BP,,Installed,2012,,Ship,FPSO,Oil & Gas,Y,Y,,N,N,350,"20/7/11: FPSO leaves Stord.
2/3/11: FPSO arrives in Stord, Norway
29/11/10: FPSO leaves the shipyard in S Korea"
Northwest Europe,Norway,,Skrugard/Havis,Johan Castberg  FPSO,Johan Castberg (Skrugard/Havis),,,Possible,2019,,Ship,FPSO,Oil,,,,,,370,
Northwest Europe,Norway,PL532,Skrugard/Havis,Johan Castberg semi,Johan Castberg (Skrugard/Havis),,,Possible,2019,,Semi,Other,Oil,,Y,,,,370,
Northwest Europe,Norway,,Snorre,Snorre A,Snorre,,,Installed,1992,,TLP,Other,Oil & Gas,Y,Y,Y,Y,Y,310,
Northwest Europe,Norway,,Snorre,Snorre B,Snorre B,,,Installed,2001,,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,350,
Northwest Europe,Norway,34/7,Snorre,Snorre C New TLP,Snorre C,Statoil,,Planned,2021,,TLP,Wellhead,Oil,,,,,,357,"06/14: RDS, has been awarded a contract by Wood Group Mustang to carry out pre-FEED work on TLP
10/13: Statoil has chosen to build a new Tension Leg Platform - Similar to Snorre A. The new platform will be tied in to Snorre A and B. Final development concept decision scheduled for Q1 2015. 
4/12: Ramboll carrying out concept study to investigate potential for a new wellhead platform.
8/10: Statoil will either refurbish the existing platforms or build 1 or 2 new wellhead plts on Snorre to ensure production until 2040. Decision to be made in 2011."
Northwest Europe,Norway,31/2,Troll West (Oil),Petrojarl 1,Troll Test Production,,,Removed,1989,1991,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,316,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll Olje (Troll B),Troll West Phase I,,,Installed,1995,,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,340,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll C,Troll West Phase II,,,Installed,1999,,Semi,Other,Oil & Gas,Y,Y,Y,Y,Y,351,
Northwest Europe,Norway,15/12a,Varg,Petrojarl Varg,Varg,Talisman,,Installed,1998,2016,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,84,
Northwest Europe,Norway,30/3,Veslefrikk,Veslefrikk B,Veslefrikk,,,Installed,1989,,Semi,FPS,Oil & Gas,Y,Y,Y,Y,Y,175,
Northwest Europe,Norway,34/8,Visund,Visund,Visund Phase I,,,Installed,1998,,Semi,FPS,Oil & Gas,Y,Y,Y,Y,Y,335,
Northwest Europe,Norway,15/9,Volve,Navion Saga,Volve,,,Installed,2007,,Ship,FSO,,,Y,,,,93,
Northwest Europe,Norway,9/2,Yme,Navion Saga,Yme,,,Removed,1996,2001,Ship,FSO,,,Y,,,,98,
Northwest Europe,United Kingdom,16/26,Alba,Alba FSU,Alba North,,,Installed,1993,,Ship,FSO,,,Y,,,,138,
Northwest Europe,United Kingdom,31/26a,Alma/Galia,EnQuest Producer (ex-Uisge Gorm) FPSO,Alma/Galia (ex-Knightsbridge & Ardmore Rdv.),EnQuest,Kufpec,Contracted,2015,,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,79,"08/14: First oil delayed to mid-2015 due to marine and topside legacy issues associated with earlier work, and now waiting for weather window to avoid winter. Sailaway of FPSO now scheduled for spring 2015. 
1/12: EnQuest has exercised an option to purchase the Uisge Gorm FPSO, which completed on Jan 25, 2012. Renamed EnQuest Producer.

7/11: the FPSO will be used on the Ardmore field redevelopment project, where it will be installed in Jan 2013. Start up is scheduled for Aug 2013. Project life - 10 years.

08/08: Uisge Gorm FPSO contract expired in July 08."
Northwest Europe,United Kingdom,30/24,Alma/Galia,Norscot Producer,Argyll,,Kufpec,Removed,1975,1984,Semi,FPS,Oil,Y,Y,Y,Y,Y,79,
