FieldsBase Pipeline Search - Data Download,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:14 for Dirk Rook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Start region,End region,Start country,End country,Start block,End block,Start field,End field,Start water depth (m),End water depth (m),Project,Operator,Status,Type,Function,Product,Diameter (inch),Length (km),Installation year,Remark
,Southeast Asia,,Malaysia,,PM-10,,Angsi,60,60,Angsi CEOR,Petronas Carigali,Cancelled,Umbilical,,,8,20,2018,
,West Africa,,Gabon,,,,Anguille,0,30,Anguille Redevelopment II,Total,Installed,Umbilical,,,3,50,2012,
,"USA, Gulf of Mexico",,USA,,,,,,,Appomattox,Shell,Planned,Umbilical,,,10,5,2019,
,Mediterranean/Black Sea,,Italy,,,,,,,Aquila,Agip,Installed,Umbilical,,,3,2,1994,
,Mediterranean/Black Sea,,Italy,,,,,,,Aquila,Agip,Installed,Umbilical,,,3,2,1994,
,,,,,,,,30,30,Arabian Gulf,KOC,Installed,Exportline,Production,Fuel,20,5,1995,
,Indian Ocean,,Mozambique,,,,,,,Area 1 (Golfinho/Atum),Anadarko,Possible,Umbilical,,,2,45,2018,
,Indian Ocean,,Mozambique,,Area 1,,Area 4 Mamba South/North,,"1,585",Area 4 Mamba South/North,Eni,Planned,Umbilical,,,2,5,2021,
,Indian Ocean,,Mozambique,,Area 1,,Area 4 Mamba South/North,,"1,690",Area 4 Mamba South/North,Eni,Planned,Umbilical,,,2,5,2021,
,South America,,Brazil,,,,,,,Aruana / Oliva (Tartaruga)  EWT,Petrobras,Installed,Umbilical,,,2,0,2011,
,Northwest Europe,,United Kingdom,,16/22,,Arundel,108,108,Arundel,BP,Possible,Umbilical,,,0,1,2016,
,"USA, Gulf of Mexico",,USA,,,,,,,Aspen,Nexen,Installed,Umbilical,,,,25,2002,
,South America,,Brazil,,BS-4,,Atlanta,"1,550","1,548",Atlanta,Queiroz Galvao E&P,Planned,Umbilical,,,,3,2018,
,"USA, Gulf of Mexico",,USA,,,,,"1,999",,Atlantis North,BP,Installed,Umbilical,,,2,12,2009,
,,,,,,,,17,,Atlas Cove SPM,NNPC,Installed,Exportline,Production,Fuel,20,4,2000,
,Australia/New Zealand,,Australia,,,,,170,170,Audacious/Tenacious,PTTEP,Possible,Umbilical,,,2,20,2016,
,Southeast Asia,,Indonesia,,Offshore North West Java (ONWJ),,Ardjuna,76,76,B,"BP, Exspans",Installed,Flowline,Production,Gas,4,4,1998,
,,,,,,,,76,76,B,"BP, Exspans",Installed,Flowline,Production,Gas,4,5,1998,
,Southeast Asia,,Vietnam,,103,,Bach Long,,30,Bach Long,PVEP,Possible,Umbilical,,,2,61,2015,
,,,,,,,,,,Balder Phase 3,ExxonMobil,Cancelled,Umbilical,,,2,2,2013,
,South America,,Brazil,,BC-60,,Parque das Baleias,"1,268",950,Baleia Azul Pilot,Petrobras,Installed,Umbilical,,,2,5,2012,
,West Africa,,Mauritania,,4 Shallow,,Banda,0,300,Banda Gas,Petronas Carigali,Tendering,Umbilical,,,2,75,2015,
,Northwest Europe,,United Kingdom,,29/2c,,Kyle,122,91,Banff Reinstatement Project,CNR International,Installed,Umbilical,,,2,12,2013,Replacement umbilical between Kyle field and FPSO.
,West Africa,,Cote d'Ivoire,,,,,"1,540",,Baobab,CNR International,Installed,Umbilical,,,,13,2005,
,Mediterranean/Black Sea,,Tunisia,,Enfidha B,,Baraka,90,90,Baraka,Agip,Installed,Umbilical,,,0,15,2009,Pelagian Basin.Tested 4600 B/D Oil. Baraka Se1 Disc 09/02.
