FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Angela,Mediterranean/Black Sea,Italy,AC 27.EA,"Angela, Angela/Angelina",Agip,Production,,1 Jul 1976,11,Platform connecting 4 wells. Short pipeline tapping into 12-in pipeline from porto corsini est to shore.+2 remote s/s wells tied.
Annabella,Mediterranean/Black Sea,Italy,,Annabella,Agip,Production,,1 Jul 1992,56,Linked to brenda flow line and then exported back to porto di pesaro.Jkt originally built for gianna oil field but never used.
Annalisa,Mediterranean/Black Sea,Italy,,Annalisa,Agip,Production,,1 Oct 1999,56,03/05: linked to brenda flow line then to export line back to porto di pesaro.
Antares,Mediterranean/Black Sea,Italy,,Antares,Agip,Production,,1 Jul 1987,14,Wellhead installed in 1982+p/a in 1985 but field didn't start up until 1987.
Antonella,Mediterranean/Black Sea,Italy,,Antonella,Agip,Production,,1 Jul 1977,26,Single platform with export via pipeline to anemone.Then gas goes via cervia to shore
Aquila,Mediterranean/Black Sea,Italy,F.C2.AG,"Aquila, Aquila FPSO replacement",Agip,Production,Oil,6 Mar 1998,830,"02/08: Eni conducting feasibility study for new FPSO to replace FPSO Firenze. Field temporarily abandoned while Eni evaluates options.

Converted semisubmersible drilling rig - sonat rather - producing oil for extended well test - 200 days"
Aretusa,Mediterranean/Black Sea,Italy,,,LASMO,Discovery,Oil & Gas,,83,being considered for a possible development
Arianna,Mediterranean/Black Sea,Italy,,Arianna,Agip,Production,,1 Jun 1985,22,03/05: linked to cervia field.Platforms are bridge-linked
Armida,Mediterranean/Black Sea,Italy,,Armida,Agip,Production,,1 Jul 1985,20,Two platform development - process platform + wellhead platform produce to diana field via pipeline.
Azalea,Mediterranean/Black Sea,Italy,,Azalea,Agip,Production,,1 May 1985,20,3 bridge-linked platforms.1 wellhead/1 drilling/1 production
Bacco,Mediterranean/Black Sea,Italy,FR.39.NP,,,Prospect,,,600,
Bacco East,Mediterranean/Black Sea,Italy,FR.39.NP,,,Prospect,,,600,
Barbara,Mediterranean/Black Sea,Italy,,"Barbara Northwest, Barbara",Agip,Production,,1 Jul 1981,70,"10 platforms- b,h,e,t,c,g,a,f,d,t-2.Accomm modules on c+h platforms trunk to shore - largest gas field in area.Extension.See barb nw."
Basil,Mediterranean/Black Sea,Italy,,Basil,Agip,Production,,15 Oct 1985,50,Export lines to shore at metauro.
Benedetta,Mediterranean/Black Sea,Italy,D39AC-EA,Benedetta,Eni,Production,Gas,15 Jun 2006,13,
Bianca/Luisella,Mediterranean/Black Sea,Italy,,Bianca,,Planned,Gas,28 Nov 2016,30,
Bonaccia,Mediterranean/Black Sea,Italy,B.C 17.TO,"Bonaccia, Bonaccia East, Bonaccia NW",Eni,Production,,16 Oct 1997,25,Plat inst 1997.Exp to onshore power station-pipe inst 2/3q98:saipem crawler?2005:feasibility study for bonaccia east platform.Estimated
Bonaccia East,Mediterranean/Black Sea,Italy,B.C 17.TO,,Eni,Production,Gas,,25,
Brenda,Mediterranean/Black Sea,Italy,Adriatic Zone A,Brenda,Agip,Production,,1 Jul 1988,41,"03/05: brenda exports to porto di pesaro.  Regina,regina1,basil, annabella and annalisa all link to brenda before export line."
Calipso,Mediterranean/Black Sea,Italy,,Calipso,Agip,Production,,1 Aug 2002,60,
Camilla,Mediterranean/Black Sea,Italy,,Camilla,Agip,Production,,1 Jul 2001,60,Field tied back to eleonora platform.
Cervia,Mediterranean/Black Sea,Italy,,Cervia,Agip,Production,,1 Jun 1973,22,Line to shore based facilities at gatteo mare. 2000:cervia k compression platform added
Cesenatico,Mediterranean/Black Sea,Italy,,Cesenatico,Agip,Production,,1 Jul 1963,20,Three unmanned satellite wellhead platform exporting via sidetap to cervia line.
Chiogga,Mediterranean/Black Sea,Italy,,Chiogga,Agip,Possible,Gas,3 Dec 2018,23,3 plt dev offshore venice-part of alto adriatico gas project. 02/05: speculation that proj may start up following env. Fears.
Clara Complex,Mediterranean/Black Sea,Italy,,"Clara East, Clara North, Calpurnia, Clara NW",,Production,,1 Jul 1988,78,
Clara West,Mediterranean/Black Sea,Italy,,"Clara West, Clara South East",Eni,Production,,15 Mar 1989,68,03/05: exports to porto di ancona. Same trunk line as barbara complex.
Claudia,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,,
Daria,Mediterranean/Black Sea,Italy,,Daria,Agip,Production,,1 Oct 1995,61,03/05: line to porto di pesaro. Piped to treatment plant at fano. Platform b is bridge-linked to 4-well drilling platform 'a'
David,Mediterranean/Black Sea,Italy,,David,Agip,Production,,1 Jul 1983,33,Single steel platform exporting via pipeline.
Debora,Mediterranean/Black Sea,Italy,,Debora,Agip,Possible,,3 Dec 2018,25,Single plt dev tied to emanuela facs as part of alto adriatic.11/05 talk ofrevival of proj but not in foreseeable future.Subsidence?
Delia,Mediterranean/Black Sea,Italy,,Delia,Agip,Possible,Gas,10 Dec 2018,30,Single plt tied to aida field facilities as part of alto adriatico gas project.Delays due to subsidence;11/05:spec. May startup again.
Demetra,Mediterranean/Black Sea,Italy,,Demetra,Agip,Possible,Gas,3 Dec 2018,25,Single plt dev tied to aida field facilities as part of alto adriatico gas project.11/05: spec. Proj may startup after env.Delay
Diana,Mediterranean/Black Sea,Italy,A.C29.EA,Diana,Agip,Production,,5 Jul 1971,22,Single steel wellhead platform exporting gas via pipeline to shore at ravenna
Didone,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,,
Donatella,Mediterranean/Black Sea,Italy,,Donatella,Agip,Possible,,3 Dec 2018,25,2 plt dev tied into aida field facilities as part of alto adriatico gas project.Delays due to subsidence.03/05:spec. Proj. May startup.
Donatella Ovest,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,22,
Dorotea,Mediterranean/Black Sea,Italy,AC 19 PI,Dorotela,Agip,Possible,Gas,3 Dec 2018,20,Single plt dev tied to aida field facilities as part of alto adriatico. 11/05: delays env. Subsidence; may startup again.
Elena,Mediterranean/Black Sea,Italy,,Elena,Agip,Production,,1 Jun 1987,96,
Eleonora,Mediterranean/Black Sea,Italy,,Eleonora,Agip,Production,,1 Jul 1988,62,Single steel platform development with export via pipeline to pineto onshore
Elettra,Mediterranean/Black Sea,Italy,A.R90.AG,Elettra,Eni,Construction,Gas,4 Apr 2016,78,03/05: elettra is a gas well discovery.
Elsa,Mediterranean/Black Sea,Italy,BR.268.GC,,PETROCELTIC,Discovery,Oil,,30,"4/14: Appraisal well planned ofr 2015. Orca Exploration to fund 30% of appraisal well to earn a 15% interest in the permit. 
9/13: Petroceltic still planning a second well to establish productivity and fluid type.
10/12: Now that 2010 drilling ban has been overturned, Petroceltic is planning to drill a further appraisal well with the objective of demonstrating commercial flow rates and dtermining oil quaility. 
8/12: being considered for development

3/11: Petroceltic suspended the licence until the drilling ban issues are clarified. Elsa-2 has not been drilled.

9/09: appraisal to be drilled in late 2010

Petroceltic increases int from 15% to 40%:facility+refinery infrast in vicinity. 07/06: potential under eval. Appraisal well in 2007."
Emanuela,Mediterranean/Black Sea,Italy,,Emanuela,Agip,Possible,Gas,3 Dec 2018,25,Single plt dev tied to roseanna field facilities as part of alto adriatico gas project.11/05:spec may startup after env. Problems.
Emilio,Mediterranean/Black Sea,Italy,,Emilio,Agip,Production,,1 Jul 2001,76,
Emma Ovest,Mediterranean/Black Sea,Italy,,Emma Ovest,Agip,Production,,1 Jul 1982,103,Single steel unmanned platform exporting via pipeline.
Fabiola,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,29,
Fausta,Mediterranean/Black Sea,Italy,F.R26.AG,,Agip,Discovery,Gas,,393,
Fauzia,Mediterranean/Black Sea,Italy,A.R90.AG,Fauzia,,Construction,Gas,24 Nov 2014,75,
Fratello,Mediterranean/Black Sea,Italy,,Fratello,Agip,Production,,1 Jun 1982,30,Three platform development exports gas by pipeline connected by short sealines
Fulvia,Mediterranean/Black Sea,Italy,,Fulvia,Eni,Production,,1 Jul 1985,12,
Gaia,Mediterranean/Black Sea,Italy,,Gaia,Agip,Possible,Gas,29 Jan 2018,25,Single plt dev tied to roseanna field facilities as part of alto adriatico gas project.11/05:spec may startup after env. Delays.
Garibaldi,Mediterranean/Black Sea,Italy,,Garibaldi,Eni,Production,,1 Jul 1992,37,
Gela,Mediterranean/Black Sea,Italy,,Gela,Agip,Production,,1 Jul 1964,15,Three offshore platforms export oil via pipelines to shore - this is the offshore portion of a major onshore field.
Gianna,Mediterranean/Black Sea,Italy,,,Agip,Discovery,,,,Project frozen 4q87. 03/05: nothing on agip website.
Giovanna,Mediterranean/Black Sea,Italy,,Giovanna,Agip,Production,,1 Jul 1991,117,Single integrated platform exporting gas to shore near pescara.
Giovanni,Mediterranean/Black Sea,Italy,,Giovanni,Eni,Production,,1 Jul 1991,119,
Giove,Mediterranean/Black Sea,Italy,FR.39.NP,Giove,Northern Petroleum,Possible,Oil & Gas,1 May 2020,593,"12/07: Northern plans to develop the Giove and Rovesti discoveries by means of a single FPSO serving both fields, with a maximum production rate of more than 23,000 b/d envisaged. Northern has also previously indicated that the Medusa discovery could be considered as a potential tieback to any development at Giove. A FPSO for the fields could be leased from a FPSO operator or acquired under a lease-purchase agreement. Oil from Giove is heavy, with an API of between 16 degrees and 20 degrees, whilst oil from Rovesti has a lighter crude of between 25 degrees and 30 degrees API."
Giuditta,Mediterranean/Black Sea,Italy,,Giuditta,Agip,Possible,Gas,3 Dec 2018,25,Single plt dev tied to donatella field facilities-alto adriatico gas project.03/05:spec may startup after subs. Delays.
Giunone,Mediterranean/Black Sea,Italy,d149.DR-NP,,,Prospect,,,600,
Guendalina,Mediterranean/Black Sea,Italy,,Guendalina,Eni,Production,Gas,3 Oct 2011,22,"4/12: Q1 2012 production from Guendalina was 580,000 scm/d (20.5 million scf/d).

05/06:12km tie-back to tea platform-included in the tea dev plan approved april 2006.Looks likely unmanned facility"
Hera Lacinia,Mediterranean/Black Sea,Italy,,Hera Lacinia,Agip,Production,,15 Dec 1996,35,Single satellite platform development exports to luna a.
Ilaria,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,11,
Isabella,Mediterranean/Black Sea,Italy,AR81 FR,,Eni,Discovery,Gas,,20,Gas discovery made in 1982 by Agip
Italy-Malta Pipeline,Mediterranean/Black Sea,Italy,,,MALTESE GOVERNMENT,Sub-Commercial,,,,Electricite de france completed feasibility study for italy-malta gas line.Alternative is to tie into planned italy-libya pipeline.
Laura,Mediterranean/Black Sea,Italy,Ionia Sea Zone D,,Sound Oil,Discovery,Gas,,200,"01/15: Drilling now delayed until H2 2015, still to be drilled from onshore. 
02/13: Laura to be drilled in Q4 2014 using a long reach deviated well from onshore. 
01/13: Sound Oil submitted an application for permit  D150 DR-CS in 2009. This was withdrawn by Italian authorities in 2011 due to Italian legislation which banned drilling within five miles of the coast. However, the law has since changed, and Sound's application has now been reopened. The operator expects to be awarded the permit this quarter and plans to drill the discovery in 2014. 
Initially production from one subsea satellite well - expected more to be completed and tied back to shore facilities."
Lavinia,Mediterranean/Black Sea,Italy,DR 15.AG,Lavinia,Agip,Production,Gas,1 Apr 1981,83,Single subsea satellite producing well exports to shore facilities via flowline.
Luna,Mediterranean/Black Sea,Italy,,Luna,Agip,Production,,1 Oct 1975,70,Two steel platforms & a subsea completion produce gas to shore via a pipeline.1970s platform=new topsides 1995
Medusa (Italy),Mediterranean/Black Sea,Italy,D149D.R-.NP,Medusa (Italy),Northern Petroleum,Possible,Oil,31 Jul 2018,336,04/09: the Medusa discovery in the southern Adriatic sea is currently too small to be economic for development. Was formerly considered for tie-back to Giove FPSO.
Mila,Mediterranean/Black Sea,Italy,,Mila,Montedison,Production,,27 Dec 1985,55,"Single steel platform produces hydrocarbons to a moored FPSO close by - production only lasted just over a year,halted march 1987"
Montalto Di Castro,Mediterranean/Black Sea,Italy,,Montalto Di Castro,ENEL,Production,,1 Jul 1996,50,
Mormora Mare,Mediterranean/Black Sea,Italy,,,,Discovery,Oil,,15,
Naide,Mediterranean/Black Sea,Italy,A.C 21.AG,Naide,Eni,Production,,27 Jun 2005,20,Saipem installed under new agreement with eni -accordo quadro 2004-2007.
Naomi Pandora,Mediterranean/Black Sea,Italy,,"Naomi Pandora, Naomi",,Production,Gas,1 Jul 2001,24,
Narciso,Mediterranean/Black Sea,Italy,,,San Leon Energy,Discovery,Oil,,50,"Field was previously owned by Agip, which submitted FDP in 1986, but oil was $10 a barrel and full production was deemed uneconomic at the time. Single steel platform exports via pipeline to shore plans cancelled in 1989. See also perla."
Nicoletta,Mediterranean/Black Sea,Italy,,Nicoletta,Agip,Possible,Gas,16 Dec 2019,25,Single plt dev tied to demetra field facilities.Part of alto adriatico gas project.11/05:spec may startup after env. Delays.
Nilde,Mediterranean/Black Sea,Italy,,"Nilde Field (Final), Nilde Field (Initial)",Agip,Production,,15 Sep 1982,100,Moored FPSO development with a number of subsea completions tied back - production ceased after just over a year.
Off Fiumicino,Mediterranean/Black Sea,Italy,,Off Fiumicino,,Production,,1 Jun 1962,15,
Ombrina Mare,Mediterranean/Black Sea,Italy,BR 269 GC,Ombrina Mare,Mediterranean Oil & Gas,Planned,Oil & Gas,31 Oct 2018,20,"06/11: Operator still awaiting government clarification as to whether project can progress after its shallow water decree.

1/11: MOG is hopeful that an agreement can be reached with the Italian government regarding its decree on ceasing developments close to shore, which affects Ombrina Mare. A delay is likely on the project, but it may still be given the go ahead, with many companies still lobbying the authorities for approval.

12/09. FDP & application for production licence submitted. Approval expected Q2/Q3 2010. 
05/08: Appraisal well finds significant oil.

03/08: Appraisal well mid-March.

08/06:appraisal 2007 fast-tracking development.Poss platform dev to shore-7km.Poss tie-backs of o.M south+s.East.***separate entries"
Ombrina Mare South,Mediterranean/Black Sea,Italy,BR 269 GC,,Mediterranean Oil & Gas,Prospect,,,20,"05/09: operator says Ombrina Mare southeast and south are prospects that haven't been drilled yet
12/08: The discovery will be appraised and the FDP will be submitted after the Ombrina Mare comes in full production.
06/06:under evaluation as tie-back to future ombrina mare facility. Along with ombrina mare southeast"
Ombrina Mare Southeast,Mediterranean/Black Sea,Italy,BR 269 GC,,Mediterranean Oil & Gas,Prospect,,,20,"05/09: operator says Ombrina Mare southeast and south are prospects that haven't been drilled yet
12/08: The discovery will be appraised and the FDP will be submitted after the Ombrina Mare comes in full production.

06/06:being evaluated as possible tie-back to future facility on ombrina mare main field."
Panda/Argo/Cassiopea,Mediterranean/Black Sea,Italy,"G.R13.AG, G.R14.AG",Argo cluster (IBLEO project),Eni,Tender,Gas,3 Jul 2017,503,
Pegaso,Mediterranean/Black Sea,Italy,FR.39.NP,,,Prospect,,,600,
Pennina,Mediterranean/Black Sea,Italy,,Pennina,Agip,Production,,15 Jun 1988,73,Single steel wellhead platform exports to shore via pipeline. +subsea completion tied back via 4-in flowline+umbilical
Perla,Mediterranean/Black Sea,Italy,,Perla,Agip,Production,,15 May 1984,67,Single steel platform exported oil to gela - abandoned in late 1990
Porto Corsini,Mediterranean/Black Sea,Italy,,Porto Corsini,Agip,Production,,1 Jul 1965,25,14 platforms. 1989 agip cancelled plans for further platforms on corsini east.
Porto Corsini East,Mediterranean/Black Sea,Italy,,Porto Corsini East,Eni,Production,,1 Jul 1963,25,
Porto Corsini West,Mediterranean/Black Sea,Italy,,Porto Corsini West,Eni,Production,,1 Jul 1968,26,
Porto Garibaldi,Mediterranean/Black Sea,Italy,,Porto Garibaldi,Agip,Production,,1 Jun 1971,30,Eightplatform development exports gas via pipeline? 10/05: assume more facilities but only inputed those confirmed.
Porto Torres,Mediterranean/Black Sea,Italy,,Porto Torres,,Production,,1 Jun 1970,31,
Prezioso,Mediterranean/Black Sea,Italy,,Prezioso,Agip,Production,,15 Jul 1988,45,Single steel wellhead platform exports oil to perla via pipeline.
Raffaella,Mediterranean/Black Sea,Italy,,Raffaella,Agip,Possible,,15 Jun 2020,25,Single plt dev tied to roseanna field facilities as part of alto adriatico. 11/05:spec of startup after subs. Delays.
Ramona 1d,Mediterranean/Black Sea,Italy,,,Agip,Discovery,Gas,,79,
Ravenna,Mediterranean/Black Sea,Italy,,Ravenna,Agip,Production,,1 Jul 1961,20,Two associated fields - two complexes - 10 platforms - export gas via pipelines to shore at ravenna.Inc ravenna mare+ravenna south
Ravenna South,Mediterranean/Black Sea,Italy,,Ravenna South,Eni,Production,,1 Jul 1963,20,
Regina,Mediterranean/Black Sea,Italy,,Regina,Agip,Production,,24 Jan 1998,41,Exp via brenda to fano facilites. Jkt+lines inst 06/97+deck inst 12/97.
Riccione Mare,Mediterranean/Black Sea,Italy,,,SELM,Discovery,,,30,
Roseanna,Mediterranean/Black Sea,Italy,,Roseanna,Agip,Possible,,21 Dec 2020,25,Prod/comp + whd plt tied to aida field.Gathering station for alto alto adriatico. 11/05:spec of startup after subs. Delays.
Rospo Mare,Mediterranean/Black Sea,Italy,,"Rospo Mare, Alba Marina Replacement",Edison,Production,,1 Jul 1982,77,Three platform development exports oil via offshore tanker loading.
Rovesti,Mediterranean/Black Sea,Italy,F.R40.NP,Rovesti,Northern Petroleum,Possible,Oil,1 May 2018,945,
San Giorgio Mare,Mediterranean/Black Sea,Italy,,San Giorgio Mare,Total,Production,,1 Jul 1972,25,Central production platform with 3 single well satellite structures.Linked into platform via separate lines
San Stefano Mare,Mediterranean/Black Sea,Italy,,Santo Stefano Mare,Total,Production,,1 Jul 1976,25,
Santa Maria A Mare,Mediterranean/Black Sea,Italy,,,Total,Sub-Commercial,,,75,Single steel platform withe export via pipeline plans appear to have been cancelled in 1990.
Sarago Mare,Mediterranean/Black Sea,Italy,BC7LF,Sarago Mare,Total,Production,,1 Jul 1982,30,Single integrated steel platform exporting oil via pipeline elf stopping production - 3/4 1992
Squalo,Mediterranean/Black Sea,Italy,,Squalo,Agip,Production,,1 Jul 1979,70,Single steel unmanned platform with export via pipeline.
Tea,Mediterranean/Black Sea,Italy,,Tea/Arnica/Lavanda,Eni,Production,,1 Dec 2007,22,
Teti,Mediterranean/Black Sea,Italy,d149.DR-NP,,,Prospect,,,600,
Valentina,Mediterranean/Black Sea,Italy,,Valentina,Agip,Possible,Gas,7 Dec 2020,25,Single plt dev tied to rosanna field facilities as part of alto adriatico. 11/05:spec may startup after subs delays.
Vega,Mediterranean/Black Sea,Italy,5,"Vega FSO Replacement, Vega FSO, Vega, Vega B",Edison,Production,,15 Aug 1987,125,Single integrated steel platform exports crude via two flowlines to a fsu for export.Vega is 20km offshore.06/06:looking to replace fsu
Off Beirut,Mediterranean/Black Sea,Lebanon,,Off Beirut,,Production,,1 Jun 1986,35,
137N-D-001,Mediterranean/Black Sea,Libya,,,,Discovery,Condensate & Gas,,,
A1-NC202,Mediterranean/Black Sea,Libya,NC202,,Repsol,Discovery,Oil & Gas,,50,Discovered April 2009 in the Sirte Basin 15km offshore
Al Jurf,Mediterranean/Black Sea,Libya,NC-137,"Al Jurf, Al Jurf Phase II",Mabruk Oil Operations,Production,,5 Sep 2003,90,"05/04: located 100km offshore. Total 37.5% interest, wintershall 12.5%, libyan nat oil corp 50%. Ph2 proj will add 10,000 b/d prodn"
Arous Al-Bahar,Mediterranean/Black Sea,Libya,54,,Hess,Discovery,,,856,"12/09: discovery well re-entered for testing. results successful. appraisal to be drilled shortly

Discovery made Dec 2008"
Bahr Essalam,Mediterranean/Black Sea,Libya,NC-41,"West Libya Gas Project, Bahr Essalam Phase II",Agip,Production,Gas,4 Aug 2005,180,"Part of  west libyan gas project, jointly developed with onshore wafa field."
Bouri,Mediterranean/Black Sea,Libya,"NC-41, NC-41B","Bouri FSO, Bouri East, Bouri Phase II, Bouri South, Bouri, Bouri Gas Recovery, Bouri Subsea 1999, Bouri IRM, Bouri FSO Replacement",Eni,Production,,1 Aug 1988,167,Drilling/production+wellhead platforms exporting oil to spm poss 4 extra wells tiedback to p/form tender due out 04/03.
Brega Field,Mediterranean/Black Sea,Libya,,"Brega Field 1985, Brega Field 1969",,Production,,1 Jun 1969,43,
NC120-A-001,Mediterranean/Black Sea,Libya,,,Agip,Discovery,Oil,,,
Off Ras Lanuf,Mediterranean/Black Sea,Libya,,"Off Ras Lanuf 1969, Off Ras Lanuf, Off Ras Lanuf 1993",,Production,,1 Jun 1969,29,
Off Zuetina,Mediterranean/Black Sea,Libya,,"Off Zuetina, Off Zuetina 1979",,Production,,1 Jun 1968,30,
Ras-Es-Sider,Mediterranean/Black Sea,Libya,,"Ras-Es-Sider 1965, Ras-es-Sider 1969, Ras-Es-Sider 1981, Ras-Es-Sider 1983",,Production,,1 Jun 1965,31,
Gibraltar Crossing,Mediterranean/Black Sea,Morocco,,"Gibraltar Crossing, Gibraltar Crossing Trenching & IRM",ENAGAS,Production,Gas,30 Apr 1995,388,Two gas p/lines across the straits of gibraltar from tangiers in morocco to zahara de los atunes in spain
Off El Aaiun,Mediterranean/Black Sea,Morocco,,Off El Aaiun,,Production,,1 Jun 1961,9,
Off Mohammedia,Mediterranean/Black Sea,Morocco,,Off Mohammedia,,Production,,1 Jun 1971,22,
Paprika,Mediterranean/Black Sea,Morocco,,,Vanco Exploration,Discovery,,,,03/05: vanco hopes to confirm as disc after 3d seismic. Poss. Export to europe across gibraltar to spain.
Gaza Marine,Mediterranean/Black Sea,Palestine,,Gaza Marine,BG,Possible,Gas,1 Jul 2020,603,"estimated reserves 40 billion scm. located off the shore of the Gaza Strip, occupied by Israeli forces"
Ana/Doina,Mediterranean/Black Sea,Romania,Midia  XV,Ana/Doina,Sterling Resources Ltd,Possible,Gas,26 Aug 2019,85,"03/12: Sterling says fields will start up in 2014.

11/11: Dispute between Sterling and Government of Romania resolved, allowing development work to commence. Owners - Sterling 65%; Petro Ventures 20% and Gas Plus 15%."
Black Swan,Mediterranean/Black Sea,Romania,,Black Swan,PETROMAR,Production,,1 Jul 1986,46,
Clara,Mediterranean/Black Sea,Romania,Pelican XIII,,Sterling Resources Ltd,Prospect,,,120,"11/11: Dispute between Sterling and Government of Romania resolved, allowing development work to commence."
Delta,Mediterranean/Black Sea,Romania,Istria XVIII,Delta,Petrom,Production,Oil,8 Sep 2009,55,
Domino-1,Mediterranean/Black Sea,Romania,Neptun,,ExxonMobil,Discovery,Gas,,930,"3/14: ExxonMobil to appraise discovery. 
4/13: Well has potential gas production of 630 million cubic feet per day. First production not expected until towards the end of the decade at very earliest. Block is described as technically challenging. 
2/12: Domino-1 well encountered 71 metres of net pay. Preliminary estimate for the accumulation is 1.3-3tcf (42-84 bcm). 3D seismic planned during 2012 but its too early to say whether the block will be commercially viable.

02/12: Data evalution still ongoing on whether the discovery is commercial or not."
East Swan (Lebada Est),Mediterranean/Black Sea,Romania,Istria XVIII,"East Swan, Petrom IRM framework",Petrom,Production,,1 Jul 1985,60,
Gasca (Eugenia),Mediterranean/Black Sea,Romania,Pelican XIII,,Sterling Resources Ltd,Discovery,Gas,,"2,248","12/12: Sterling Resources announces gas discovery made by well Eugenia-1. The preliminary log analysis indicates a total of 22 metres of gas-bearing Late Cretaceous sandstones, mainly within two intervals. Further detailed analysis of logs, pressure data and samples is ongoing.


11/11: Dispute between Sterling and Government of Romania resolved, allowing development work to commence."
Ioana (ex Midia SE),Mediterranean/Black Sea,Romania,Midia  XV,,"Sterling Energy, Sterling Resources Ltd",Prospect,,,85,"10/12: Drilling operations have commenced at Ioana gas prospect using jack-up GSP Jupiter. Water depth is around 91 msw. Following the drilling of 1-Ioana. Drilling success would greatly enhance the chances of the Ana/Doina gas hub development progressing. the rig will travel 70km north for the drilling of 1-Eugenia well.

11/11: Dispute between Sterling and Government of Romania resolved, allowing development work to commence. Owners - Sterling 65%; Petro Ventures 20% and Gas Plus 15%."
Marina,Mediterranean/Black Sea,Romania,Istria XVIII,,OMV,Discovery,Oil,,50,
Olimpiskiyi,Mediterranean/Black Sea,Romania,EX-27,,Melrose Resources,Discovery,,,60,
Pescarus,Mediterranean/Black Sea,Romania,,,Petrom,Discovery,Oil,,52,
Swan West (Lebada Vest),Mediterranean/Black Sea,Romania,,,Petrom,Production,,,85,Two platform development with pipeline to shore
Beysugskoye,Mediterranean/Black Sea,Russia,,,RUSSIAN GOVERNMENT,Discovery,Gas,,10,Onshore/offshore field in the Azov Sea. The onshore part has been producing since 1971.
Beysygskoye West (Zapadno-Beysugskoye),Mediterranean/Black Sea,Russia,,,RUSSIAN GOVERNMENT,Discovery,Gas,,12,Located in the Russian part of the Azov Sea.
Blue Stream Project,Mediterranean/Black Sea,Russia,,Blue Stream Project,Eni,Production,,1 Jul 2002,"2,149",Offshore contract covers beregovaya comp stn+dual pipe.(Annual min. Capacity-16bcm gas).Diameter estimated.Landfalls @ taupse + samsun.
Novoe,Mediterranean/Black Sea,Russia,Temruksko-Akhtarsky,,Rosneft,Discovery,Oil,,10,Oil discovery made in 2007 in the Azov Sea.
Oktyabrskoye,Mediterranean/Black Sea,Russia,,,RUSSIAN GOVERNMENT,Discovery,Gas,,12,Located in the Azov Sea.
Algeciras,Mediterranean/Black Sea,Spain,,Algeciras,,Production,,1 Jun 1975,,
Amposta,Mediterranean/Black Sea,Spain,,"Amposta, Castor Underground Gas Storage",Shell,Abandoned,,1 Feb 1973,61,10/05: field abandoned in 1989 after having produced 56 million barrels of oil.
Angula,Mediterranean/Black Sea,Spain,,,Repsol,Abandoned,,,117,Converted semisubmersible drilling rig - sedneth i - was used to carry out a short term production test - no further development.
Boqueron,Mediterranean/Black Sea,Spain,,,Repsol,Production,,,120,"10/97:drilled using casablanca p/form rig via 4,653 metre deviated well. Entered prod immediately through casablanca facilities."
Casablanca,Mediterranean/Black Sea,Spain,,Casablanca,Repsol,Production,,1 Dec 1981,161,"120-500 msw. 10/05: can find no info on contractors but p/form still in operation, handling output from numerous satellite fields."
Castellon,Mediterranean/Black Sea,Spain,,Castellon,Shell,Production,,15 Aug 1977,117,Mobile production system produced from both castellon & tarraco fields simultaneously - FPSO unit
Chipiron,Mediterranean/Black Sea,Spain,,Chipiron,Repsol,Production,,1 Jul 2001,116,"Tested 7,000 b/d high quality crude aug'99. Develop in 116-160 msw. Installation scheduled for first half of 2001."
Chipiron Northeast,Mediterranean/Black Sea,Spain,,Chipiron Northeast,Repsol,Production,,1 Nov 2001,116,"Disc well tested at 8,000 b/d. On stream 2nd half of 2001, to be connected to chipiron flowline that runs to casablanca."
Dorada,Mediterranean/Black Sea,Spain,,,Repsol,Abandoned,,,93,Converted semisubmersible drilling rig - sedco i - was used for the development of the field - both test & full - export to casablanca
Huelva,Mediterranean/Black Sea,Spain,,Huelva,,Production,,1 Jun 1966,23,
Mar Cantabrico M-1,Mediterranean/Black Sea,Spain,,,Shell,Discovery,Oil,,205,
Montanazo/Lubina,Mediterranean/Black Sea,Spain,,"Montanazo 1985, Montanazo/Lubina",,Planned,Oil,31 Dec 1985,712,
Off Badelona,Mediterranean/Black Sea,Spain,,Off Badelona,,Production,,1 Jun 1979,33,
Pulpo,Mediterranean/Black Sea,Spain,,,Union Texas,Discovery,Oil,,115,
Rodaballo,Mediterranean/Black Sea,Spain,Angula,Rodaballo,Repsol,Production,,1 Jul 1996,108,
Salmonete,Mediterranean/Black Sea,Spain,F,,Repsol,Abandoned,,,100,Converted semisubmersible drilling rig - afortunada - used for the production test - no full scale development post test
Tarraco,Mediterranean/Black Sea,Spain,,,Shell,Abandoned,,,117,Subsea satellite development exporting back to castellon FPSO system
Tarragona Field,Mediterranean/Black Sea,Spain,,Tarragona Field,,Production,,1 Jun 1973,41,
