FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Blackwatch,Australia/New Zealand,Australia,VIC/RL 12,,,Discovery,Gas,,30,Possible tie back to existing infrastructure at Casino/Henry/Netherby
Blencathra 1A,Australia/New Zealand,Australia,TL/6,,BHP Billiton,Discovery,Oil,,72,
Bligh,Australia/New Zealand,Australia,WA-191-P,,Santos,Discovery,,,156,Well was plugged and abandoned after failing to encounter hydrocarb
Bonaparte LNG,Australia/New Zealand,Australia,"NT/RL1, WA-18-P",Bonaparte LNG,GDF Suez,Planned,Gas,18 Jun 2019,93,
Botany Bay,Australia/New Zealand,Australia,,Botany Bay,Caltex,Production,,1 Jul 1980,19,
Breakwater,Australia/New Zealand,Australia,WA-454-P,,,Prospect,Oil & Gas,,302,"06/12: Possible commercialisation paths for the prospect include a stand-alone development or a tie-in to the existing Blacktip (957 Bcf) production facilities. Alternatively, MEO could turn to the proposed floating liquefied natural gas (FLNG) project under consideration for the Petrel (970 Bcf) and Tern (468 Bcf) gas fields."
Bream,Australia/New Zealand,Australia,VIC L/14,Bream,ExxonMobil,Production,,1 May 1988,60,Single steel integrated platform producing oil to west kingfish 12/05: 3-d seismic will be conducted over the field during 2006.
Brederode,Australia/New Zealand,Australia,WA-364-P,,Chevron,Discovery,Gas,,"1,387",
Brokenwood,Australia/New Zealand,Australia,WA-356-P,,Apache,Discovery,Gas,,140,
Browse LNG,Australia/New Zealand,Australia,"WA-30-R, WA-31-R, WA-32-R, WA-33-P","Browse LNG (Onshore), Browse FLNG 1, Browse FLNG 2, Browse FLNG 3",Woodside,Sub-Commercial,Gas,30 Nov 2017,490,"06/13: BHP sells stake to PetroChina
04/13: Woodside cancelled onshore plant. Discussion with Shell to use FLNG"
Brulimar,Australia/New Zealand,Australia,WA-356-P,,Apache,Discovery,Gas,,169,
Brunello,Australia/New Zealand,Australia,WA-356-P,Julimar Development Project (JDP),Apache,Construction,Oil & Gas,31 Jul 2016,154,"17 km northeast of Julimar.
05/10: Tie back to Wheatstone CPP."
Buffalo,Australia/New Zealand,Australia,WA-260-P,"Buffalo, FPF3 mooring and riser replacement",Nexen,Abandoned,,29 Dec 1999,300,05/04: production to cease. Abandonment scheduled to commence q4 for completion by end 2005. 07/04: clough to carryout work.
Bunyip,Australia/New Zealand,Australia,,,BHP Billiton,Discovery,Gas,,"1,187",
Burnside,Australia/New Zealand,Australia,WA-281-P,,Santos,Discovery,Gas,,215,
Cadell,Australia/New Zealand,Australia,TP/7,,Apache,Discovery,Gas,,17,
Caelum,Australia/New Zealand,Australia,AC/L9,,,Prospect,Condensate & Gas,,180,
Cagiva,Australia/New Zealand,Australia,WA-28-L,,Woodside,Discovery,,,547,
Caldita/Barossa,Australia/New Zealand,Australia,"NT/P61, NT/P69",Caldita/Barossa,ConocoPhillips,Planned,,30 Nov 2018,186,
Campbell,Australia/New Zealand,Australia,,Campbell,Hadson,Production,,1 Oct 1992,39,Single monotower platform with minimum topside facilities tied into harriet gas gathering system
Capella,Australia/New Zealand,Australia,WA-1-L,,Woodside,Discovery,Condensate & Gas,,135,
Caribou/Reindeer/Gnu,Australia/New Zealand,Australia,WA-209-P,Reindeer/Devil Creek Development Project,,Production,Condensate & Gas,31 Oct 2011,62,
Cash-Maple Development,Australia/New Zealand,Australia,"AC/L7, AC/P33, AC/RL7",Cash-Maple Development,,Planned,Gas,31 Aug 2019,136,"04/13: PTTEP anticipates that between 11 and 21 production wells will be required across the three groups of fields: five wells across the Southern group of fields, three wells in the Oliver field and between three and 13 wells in Cash Maple."
Casino,Australia/New Zealand,Australia,VIC/P44,"Casino, Henry",Santos,Production,,1 Feb 2006,70,"Est. Recoverable reserves of 270 billion scf. Worley carried out concept study + feed. 2 s/s wells, provision for up to 6."
Cassini,Australia/New Zealand,Australia,,Cassini,BHP Billiton,Production,,1 Jun 1988,116,
Challis-Cassini,Australia/New Zealand,Australia,AC/L3,"Challis-Cassini, Challis and Jabiru decommissioning",PTTEP,Production,Oil,1 Dec 1989,77,
Chappel,Australia/New Zealand,Australia,T/18P,,Origin,Prospect,Condensate & Gas,,80,
Charon,Australia/New Zealand,Australia,WA-328-P,,,Discovery,,,725,
Chervil,Australia/New Zealand,Australia,TL/2,Chervil,WMC,Production,,1 Aug 1989,13,Simple monopod platform produces to shore via pipelines
Chimaera,Australia/New Zealand,Australia,VIC/L26,,,Prospect,Oil & Gas,,130,
