FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
"Canada, East",Canada,PL 1006,White Rose,White Rose Extension project (West White Rose),Husky Energy,Prequalification,Construction/Fabrication,Fabrication of Concrete Gravity Structure,"Grand Banks Constructors, Kiewit Offshore Services, SNC-Lavalin",,31 Oct 2014,31 Oct 2014,,,"12/12/12 Husky seeking interested companies / consortia / joint ventures for the construction of a Concrete Gravity Structure (CGS) for the White Rose Extension Project (WREP). EOI due January 17, 2013. Award expected during the third quarter 2014, around project sanction"
"Canada, East",Canada,PL 1006,White Rose,White Rose Extension project (West White Rose),Husky Energy,Prequalification,EPIC,Wellhead Platform Subsea Tie-Back System,"Subsea 7, Technip",9 Jun 2014,31 Oct 2014,31 Oct 2014,,,
"Canada, Other",Canada,,,BC LNG,BC LNG Export Co-Operative,Tendering,Lease,FLSU lease,Exmar,,3 Nov 2014,15 Mar 2016,15 Mar 2036,239.5,"5/14: Project undergoing restructuring

LOI issued 8/30/13. Contract should be executed by year-end 2013
Contract includes 20-year lease with options to extend for two periods of five years each."
"Canada, Other",Canada,,,BC LNG,BC LNG Export Co-Operative,Tendering,Construction/Fabrication,FLSU yard fabrication,Wison,,30 Dec 2014,30 Dec 2014,15 Mar 2016,14.5,"5/14: Project undergoing restructuring

8/30/13: yard for BC LNG has not been selected yet"
Caspian Sea,Kazakhstan,Kashagan Contract Area,Kalamkas,Kalamkas,NCOC,Tendering,Engineering,Pre-FEED,"CB&I, KBR, Technip",,31 Oct 2014,31 Oct 2014,27 Jul 2015,8.8,
Caspian Sea,Kazakhstan,Kashagan Contract Area,Kashagan,Kashagan pipelines replacement,NCOC,Planned,EPIC,Pipeline replacement,,,1 Nov 2014,1 Nov 2014,1 Dec 2015,13.0,
Caspian Sea,Turkmenistan,II,Dzheitune (Lam),Dzheitune (Lam) new trunkline,Dragon Oil,Tendering,EPIC,Pipeline EPIC,,,21 Nov 2014,21 Nov 2014,21 Nov 2016,24.0,
Caspian Sea,Turkmenistan,II,Dzheitune (Lam),Dzheitune F and G,Dragon Oil,Tendering,EPC,EPC LAM G,,,21 Nov 2014,21 Nov 2014,8 Feb 2016,14.6,"7/13: Award now not expected until 2014.
03/13: Contract to be awarded in 1H 2013"
Caspian Sea,Turkmenistan,II,Dzheitune (Lam),Dzheitune H and I,Dragon Oil,Planned,EPC,Platform installation and construction,,,24 Nov 2014,24 Nov 2014,26 Jun 2017,31.0,10/12: Tendering process to start some time in 2013.
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,Phenix Group,Tendering,EPC,8 buoys,,,10 Feb 2015,10 Feb 2015,,,2 vendors vying for work
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,Phenix Group,Planned,Installation,Inst of offshore pipe/buoys,,,10 Feb 2015,10 Feb 2015,,,
Central America,Nicaragua,,,Nicaragua Pacific Terminal,Phenix Group,Tendering,EPC,EPC of pipe,,,10 Feb 2015,10 Feb 2015,,,
Central America,Puerto Rico,,,Aguirre GasPort FSRU,PREPA,Planned,EPIC,pipeline scope,,,20 Mar 2015,20 Mar 2015,,,
