FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
Indian Ocean,India,,Mumbai High North,Mumbai High North Redevelopment Phase III,ONGC,Tendering,Installation,MHN RD Phase III pipelay,"Essar Offshore, Larsen & Toubro, Leighton Offshore, Swiber, Valentine",,15 Nov 2014,15 Nov 2014,31 Mar 2016,16.5,"07/14: Valentine with Supreme Offshore lowest bidder. ONGC will proceed with award if no dispute is filed.
07/14: The pipelay scope will cover 21 segments of various lengths and outer diameters with a combined length of around 176km. The longest being the export pipeline which measures 20-in 68.5km long, connecting the BPB platform to HGL4 on the Heera Uran gas trunkline. Two others are of length longer than 10km, comprising a 14-in 12km water injection line between MNW to NX platforms, and a 14-in 13km well fluid line between N23 and NQO. 
07/14: Priced bid opening meeting scheduled for July 22. 
05/14: Offshore installation works are scheduled for the good weather windows of 2015 and 2016.
03/14: More than a dozen companies have purchased bid documents, including Swiber Offshore, TL Offshore, Valentine Maritime, Leighton India, Pipavav Shipyard, Essar, Supreme Offshore, GOL Offshore, Larsen & Toubro, Technip KT, Offshore Hookup and Construction Services, Megha Engineering and Afcons Infrastructure.
12/13: The main scope covers five wellhead platforms plus several segments of flowlines and possibly an export line. The combined length of the pipelines is understood to be around 160km, according to sources close to the tender"
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High NQRC Phase II,ONGC,Planned,EPIC,NQRC Phase II living quarters + revamp,,,2 Mar 2015,31 May 2015,31 May 2016,12.0,7/12: ONGC is preparing to issue a tender for an LQ platform to be installed on the NQ complex in Mumbai High area.
Indian Ocean,India,Mumbai High,,Mumbai High pipelay/topside mod (2015-2017),ONGC,Tendering,EPIC,Mumbai High pipelay/topside mod (2015-2017),,4 Nov 2014,31 Dec 2014,1 Jan 2015,31 Oct 2017,33.9,"10/14: The first phase is scheduled for commencement in May 15, 2015, and Phase II will start in May 15, 2017."
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High platform refurbishment RUMP 2,ONGC,Planned,EPIC,Mumbai High RUMP-3,,,15 Nov 2014,15 Nov 2014,,,"12/13: Each contract package will cover some 20 unmanned wellhead platforms in both the northern and southern parts of the greater Mumbai High complex. The main scope will involve the revamping, replacement, refurbishment and modification works related to the equipment, system and piping of the ageing unmanned platforms."
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High platform refurbishment RUMP 2,ONGC,Tendering,EPIC,Mumbai High RUMP-2 (Part 1),"Afcons, Essar Offshore, Kencana HL, Larsen & Toubro, Pipavav Shipyard",26 Dec 2013,7 Nov 2014,7 Nov 2014,31 May 2015,6.7,"10/14: ONGC extended the Notification of Award (NOA) date until late October. The operator may also have to revise the first offshore window between Nov 2014 and May 2015, or issue a retender under a new installation scheme. The contract package will cover some 20 unmanned wellhead platforms in both the northern and southern parts of the greater Mumbai High complex. The main scope will involve the revamp, replacement, refurbishment and modification works related to the equipment, system and piping of the ageing unmanned platforms. 
09/14: ONGC yet to open priced bids.
07/14: NOA date will be extended to late Aug. But operational period unchanged. 
05/14: Operator yet to open prices.
12/13: Part 1 of the RUMP-2 (Revamp of unmanned platforms Phase II). Bids extended until Dec 26. SOW covers around 20 well platforms.  Offshore campaign is set for the two good weather windows in 2014 and 2015. It is understood the successful contractor will need around two to three accommodation barges with a minimum capacity for 200 persons on board (POB) and a 50 MT crane for the two offshore campaigns"
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High platform refurbishment RUMP 2,ONGC,Tendering,EPIC,Mumbai High RUMP-2 (Part 2),"Afcons, Essar Offshore, Larsen & Toubro, Pipavav Shipyard",4 Jun 2014,30 Nov 2014,30 Nov 2014,1 Nov 2016,23.0,"10/14: ONGC has issued a second round of technical query. 
09/14: ONGC has advised bidders a second round of technical query will soon be issued.
08/14: ONGC completed technical clarifications, to evaluate priced bids next.
05/14: It is understood the operator has added another nine platforms to the scope of work, making it a total of around 30 platforms for the Part 2 of the RUMP-2 contract package.
03/14: More work to be added; bid deadline extended.
12/13: RUMP-2 has two contract packages. Part 1 BCD extended until Dec 26; Part 2 will close on January 23. Each SOW has some 20 well platforms. Offshore works are split into two campaigns, in the good weather windows in 2014 and 2015. 
11/13: A total of 23 companies were understood to have purchased the bid documents 
10/13: The tender, referred to as RUMP-2, not RUMP-1 as earlier indicated, will cover some 20 unmanned wellhead platforms in both the northern and southern parts of the greater Mumbai High complex. The main scope will involve the revamping, replacement, refurbishment and modification works related to the equipment, system and piping of the ageing unmanned platforms."
Indian Ocean,India,Mumbai High,"Mumbai High (+ Bassein, Cluster 7, Heera, Mumbai High North, Mumbai High South, Neelam)",Mumbai High PRP-IV,ONGC,Tendering,EPIC,Mumbai High PRP-IV - 236.5km pipeline replacement,,4 Nov 2014,18 Dec 2014,18 Dec 2014,17 May 2017,28.9,"09/14: Bid closing date extended from Sep 29 to Oct 13. This is tender's second extension.The scope will be carried out in two phases with Phase 1 ending in mid-May 2016, and Phase 2 by mid-May 2017. The major bidders could potentially include Essar Offshore Subsea, Swiber Offshore, Valentine Maritime, Larsen & Toubro, SapuraKencana, Leighton India and Technip with local partner.
07/14: ITB likely to be release within July 2014.
04/14: ITB may be released in May 2014, with offshore work to be carried out in the good weather windows of between 2015 and 2016"
Indian Ocean,India,Mumbai High,Mumbai High South,Mumbai High South Redevelopment Phase III,ONGC,Planned,EPIC,MHS RD Phase III EPCI,,,31 Mar 2015,31 Mar 2015,31 Dec 2016,21.0,"10/14: Tender delayed to late 2014.
07/14: Tender expected to be launched in Q3 2014."
Indian Ocean,India,KG-DWN-98/2 (KG-D5),Northern Development Area (NDA),Northern Discovery Area (NDA),ONGC,Planned,Lease,Lease of NDA FPSO,,,1 Apr 2016,1 Apr 2018,,,
Indian Ocean,India,,,Paradip FSRU,,Planned,Lease,FSRU Lease,,,1 Jul 2015,1 Aug 2017,1 Aug 2022,59.9,08/13: H-Energy East Coast (Hiranandani) submitted proposal to India government
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai-34 (R-Cluster),R-cluster (D-34) subsea tieback,Reliance,Planned,EPIC,EPIC of all facilities,,,15 Jan 2015,15 Jan 2015,16 Nov 2016,22.0,
Indian Ocean,India,Ravva,Ravva,Ravva 2014,Cairn Energy,Tendering,EPIC,Ravva 2014 EPIC re-tender,"Larsen & Toubro, SapuraKencana, Swiber",,15 Nov 2014,15 Nov 2014,15 May 2015,5.9,"04/14: Cairn to open bids soon, and L&T is the frontrunner.
02/14: Evaluating bids
01/14: The WHP is to be completed in around 10 months after contract award in this quarter"
Indian Ocean,India,KG-DWN-98/2 (KG-D5),G-1/GS-15,Vainateyam mudline well completion,ONGC,Tendering,EPIC,Mumbai High Vainateyam subsea production system,,3 Dec 2014,3 Jan 2015,3 Jan 2015,30 May 2016,16.8,"10/14: Contract for procurement, installation and commissioning of subsea production system for the Vainateyam subsea completion project. The offshore works are slated for completion by May 30, 2016. Meanwhile, bid documents will be put on sale from October 8 until October 28. A prebid meeting is scheduled for November 12 and the current bid closing date (BCD) is December 3. The actual BCD will be announced after the prebid meeting."
Indian Ocean,India,KG-DWN-98/2 (KG-D5),G-1/GS-15,Vainateyam mudline well completion,ONGC,Tendering,EPIC,Vainateyam mudline completion pipeline & topside modifications,,3 Dec 2014,26 Feb 2015,26 Feb 2015,31 Mar 2016,13.1,"10/14: Bid document sale extended to Nov 5, with pre-bid conference on Nov 12.
09/14: Bid documents on sale until Oct 13. Pre-bid conference to hold on Oct 28. All tender queries to be submitted no later than Oct 20. The EPCIC tender is set to close on November 18, although a firm closing date will be decided after the pre-bid meeting. Scope of work will include all site surveys, engineering, procurement, fabrication, sea-fastening, load-out, marine transportation, offshore installation, hook-up and testing of all the facilities under tender."
Indian Ocean,India,Bassein/South Bassein,Bassein East/Vasai East,Vasai East additional development,ONGC,Tendering,EPIC,EPIC for Vasai East additional development,"Larsen & Toubro, Swiber",26 Sep 2014,21 Nov 2014,21 Nov 2014,15 May 2016,17.7,"10/14: Tender was closed on Sep 26 as scheduled. ONGC has received two bids. The Singapore-based Swiber is understood to have proposed unnamed fabrication support for the tender. The contract scope covers two unmanned well platforms, VSEB and VSEC, and five subsea pipelines measuring a combined 36.3km in length. Also included are modifications on BPA and BCPA-2, and installation of three external risers. 
09/14: Tender to close on schedule on Sep 26. The usual fabricators in the likes of Larsen & Toubro, Essar, Afcons Infrastructure, NPCC plus regional transportation and installation (T&I) contractors including Swiber Offshore and TL Offshore will be keen to bid alone or as a consortium partner. 
09/14: Tender deadline extended to Sep 26.
08/14: Contractors which have purchased bid documents include L&T, Essar, AFCONS, NSC/Sumikin Engineering, Pipavav Shipyard, Shriram Offshore, Swiber Singapore/India, TL Offshore, Kencana HL, Valentine Maritime, G1 offshore & Marine, Megha Engineering & Infrastructures, Petronash FZE, JRM and AB Petroservice. 
07/14: Contract award by Dec 14. No prebid meeting planned. Project targeted for completion by May 15, 2016. 
07/14: ITT released, first stage technical bid submission is Sept 5, 2014.
06/14: Invitation to tender yet to be issued. Potential bidders include local contractors Larsen & Toubro, Afcons, Essar, Swiber India and SEW Infrastructures, and other Southeast Asian yards such as SapuraKencana, Guna Nusa and PTSC M&C who will either bid on its own or as consortium partners. Project scheduled for completion by Dec 2018.
05/14: Invitation to Tender expected in mid-May."
Indian Ocean,India,Mumbai High,Mumbai High South,Water Injection South (WIS),ONGC,Planned,EPIC,Refurbishment of WIS,,,20 Nov 2014,19 Dec 2014,1 Aug 2015,7.4,
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,Installation,Pipelay/SS Installation,,,23 Nov 2015,23 Nov 2015,,,5/12: value expected to be between USD 1-3 billion.
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,EPIC,Export line EPIC,,,20 Nov 2014,20 Nov 2014,,,
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,EPC,SS EPC,,,5 Nov 2014,5 Nov 2014,,,"30-35 production wells. Future bidders thought to include FMC, Cameron, GE Vetco Gray and Kvaerner."
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,EPC,SURF,"McDermott, Saipem, Subsea 7, Technip",,5 Mar 2015,5 Mar 2015,,,
Indian Ocean,Mozambique,Area 4,Area 4 Mamba South/North,Area 4 Mamba South/North,Eni,Planned,EPC,FLNG EPC,,,1 Jun 2015,5 Feb 2018,7 Jun 2021,39.9,
Indian Ocean,Mozambique,Area 4,Coral 1 (+ Area 4 Mamba South/North),Coral South,Eni,Prequalification,Installation,Area 4 subsea facilities pipelines T&I scope,,,30 Nov 2014,30 Nov 2014,,,"07/14: EOI deadline extended to July 4, 2014
06/14: EOI for T&I due for response June 25, 2014."
Indian Ocean,Mozambique,Area 4,Coral 1,Coral South,Eni,Planned,EPIC,FLNG EPIC,,,1 Sep 2015,2 Dec 2019,,,"10/13: Expressions of interest for FLNG vessel send out, responses due in the Eni's office in Maputo by November 8."
Indian Ocean,Myanmar,M-3,M3 (Myanmar),M3 (Myanmar),PTTEP,Planned,EPIC,EPIC,,,1 Jun 2015,1 Jun 2015,31 Mar 2018,33.9,05/12: EPIC contract for both platform and pipeline
Indian Ocean,Myanmar,M-5,Yadana,Yadana long-term construction works,Total,Tendering,EPIC,Upgrade for Yadana WP-3 and MCP,"Guna Nusa, Larsen & Toubro",,7 Nov 2014,7 Nov 2014,,,"08/13: The tender, entitled long-term construction works, will entail the provision of manpower, equipment and other services associated with the upgrade and refurbishment of the ageing facilities in Yadana."
Indian Ocean,Myanmar,M-5,Badamyar,Yadana Phase 4 (Badamyar),Total,Tendering,Construction/Fabrication,Subcontract for Badamyar jacket fabrication,,,15 Nov 2014,15 Nov 2014,14 Nov 2015,11.9,"10/14: Shortlist of one SE Asian yard and one Korean yard. Decision to be made in early November.
09/14: HHI still evaluating subcontract offers for jacket cum support structure fabrication."
Mediterranean/Black Sea,Albania,,,Trans-Adriatic Pipe (TAP),Trans Adriatic Pipeline,Planned,Installation,Installation,,,6 Aug 2015,6 Aug 2015,30 Apr 2018,32.7,
Mediterranean/Black Sea,Algeria (+ Italy),,,Galsi,Galsi SpA,Tendering,Installation,Installation of Galsi trunklines,Saipem,,1 May 2015,1 May 2015,5 Feb 2018,33.1,6/13: no award has yet been made. Saipem is still waiting for results.
Mediterranean/Black Sea,Cyprus,,,Eastern Mediterranean Pipeline,DEPA,Tendering,Engineering,Feasibility study,,,4 Nov 2014,4 Nov 2014,14 Sep 2015,10.3,9/14: Contract to be awarded by the end of 2014/beginning of 2015
Mediterranean/Black Sea,Greece,Prinos Development Area,Epsilon/Prinos Expansion,Epsilon Phase II,Energean,Planned,EPC,Platform EPC,,,4 Aug 2014,4 Aug 2014,25 Jan 2016,17.7,"03/12: RFPs could go out later this year, but project and procurement timing is entirely dependent on the operator securing a jackup rig."
Mediterranean/Black Sea,Israel,Rachel,Leviathan,Leviathan Phase 1,Noble Energy,Planned,EPIC,FPSO supply,,,5 Jan 2015,5 Nov 2018,,,"Domestic production could begin as early as 2016, with an FPSO with a production capacity of 1.6 Bcf/d and a capability to serve both domestic demand and export. Noble said this option would enable the partners to begin production ""within three years of licence to lease conversion""."
Mediterranean/Black Sea,Israel,,Leviathan,Leviathan Phase 2 (FLNG),Noble Energy,Tendering,FEED,FEED for FLNG,"Hyundai Heavy Industries, Samsung",,12 Nov 2014,12 Nov 2014,29 Jun 2015,7.5,
Mediterranean/Black Sea,Italy,G.R13.AG,Panda/Argo/Cassiopea,Argo cluster (IBLEO project),Eni,Tendering,EPC,Platform,"Larsen & Toubro, Saipem",,14 Nov 2014,14 Nov 2014,,,
Mediterranean/Black Sea,Italy,G.R13.AG,Panda/Argo/Cassiopea,Argo cluster (IBLEO project),Eni,Tendering,EPIC,Flowlines & umbilicals,"Saipem, Technip",,14 Nov 2014,14 Nov 2014,27 Jun 2016,19.4,"4/14: Still tendering, according to Saipem. 
Bid still ongoing, according to Saipem."
Mediterranean/Black Sea,Italy,G.R13.AG,Panda/Argo/Cassiopea,Argo cluster (IBLEO project),Eni,Tendering,EPC,Subsea trees,GE Oil & Gas,,14 Nov 2014,14 Nov 2014,1 Mar 2016,15.5,
Mediterranean/Black Sea,Italy,BR 269 GC,Ombrina Mare,Ombrina Mare,Mediterranean Oil & Gas,Planned,Lease,FPSO,,,,31 Oct 2018,,,"5/10 An existing unit is a preferred option, but in case nothing is available, a conversion would be considered."
Mediterranean/Black Sea,Italy,BR 269 GC,Ombrina Mare,Ombrina Mare,Mediterranean Oil & Gas,Planned,EPIC,12km gas pipeline,,,2 May 2016,2 May 2016,2 Apr 2018,23.0,
Mediterranean/Black Sea,Italy,BR 269 GC,Ombrina Mare,Ombrina Mare,Mediterranean Oil & Gas,Planned,EPIC,Platform,,,2 May 2016,2 May 2016,2 Jul 2018,25.9,
Mediterranean/Black Sea,Italy,5,Vega,Vega B,Edison,Tendering,EPIC,Pipelines EPIC,,,1 Jun 2015,1 Jun 2015,25 Jul 2016,13.8,
Mediterranean/Black Sea,Italy,5,Vega,Vega B,Edison,Tendering,EPIC,Platform EPIC,,,12 Dec 2014,12 Dec 2014,5 Sep 2016,20.8,
Mediterranean/Black Sea,Lebanon,,,Lebanon FSRU,Ministry of Energy and Water Lebanon,Tendering,Lease,FSRU lease,"BW Offshore, Excelerate Energy, Excelerate Energy, Golar LNG, Hoegh LNG, Hoegh LNG, Itochu, Leighton International, Mitsui & Co, Samsung, Shell, Teekay Petrojarl, Wartsila Hamworthy, Wartsila Hamworthy",,31 Oct 2014,27 Jun 2016,26 Jun 2028,143.7,"9/14: Final report with one bidder sent to Lebanese cabinet for approval
07/14: Deadline for placing bids was extended until January 27, 2014 due to incomplete bids."
Mediterranean/Black Sea,Libya,NC-41,Bahr Essalam,Bahr Essalam Phase II,Mellitah Oil & Gas,Tendering,EPIC,EPIC gas gathering system,,,5 Dec 2014,5 Dec 2014,11 May 2015,5.1,"The winning contractor will be required to supply, install and commission all the offshore gas gathering lines, the sub-surface isolation valves and related control systems, lay the umbilicals, install the manifolds and protective structures and supply all the spools. The contract will also cover the supply and installation of topside modifications,  installation and connection of all electrical / hydraulic / chemical umbilical jumpers and all trenching works"
Mediterranean/Black Sea,Libya,NC-41,Bahr Essalam,Bahr Essalam Phase II,Mellitah Oil & Gas,Tendering,EPC,Subsea production system,,,5 Dec 2014,5 Dec 2014,25 Sep 2016,21.6,"01/13: EPC tender to cover subsea tree systems and protective structures, workover/completion system and workover control system, contorl systems, manifolds, jumpers and end terminations.  Prequalification ends on Feb 28, 2013."
Mediterranean/Black Sea,Tunisia,,Isis,Isis Redevelopment,,Planned,EPC,FPSO EPC,,,17 Sep 2015,12 Sep 2018,,,"FPSO to be provided by Offshore Production Solutions, according to market sources. Vessel will be a conversion from an Aframax double-hull tanker. However, vessel has not yet been purchased."
Mediterranean/Black Sea,Tunisia,Zarat,Zarat,Zarat Phase 1,PA Resources,Planned,Lease,FPSO Lease,,,3 Apr 2016,3 Apr 2019,,,
Mediterranean/Black Sea,Tunisia,Zarat,Zarat,Zarat Phase 1,PA Resources,Planned,EPIC,SURF,,,1 Feb 2016,1 Feb 2016,,,
Mexico,Mexico,,Abkatun-Pol-Chuc,Abkatun-Pol-Chuc rehabilitation,Pemex,Planned,EPIC,EPIC 2 ppl Abkatun N1,,,10 Mar 2015,10 Mar 2015,,,
Mexico,Mexico,,Abkatun-Pol-Chuc,Abkatun-Pol-Chuc rehabilitation,Pemex,Planned,EPIC,8-inch 2-mile Abk-F/Abk-B,,,31 Mar 2015,31 Mar 2015,,,
Mexico,Mexico,,Abkatun-Pol-Chuc,Abkatun-Pol-Chuc rehabilitation,Pemex,Planned,EPIC,16-inch 8.2-mile o/g line,,,10 Feb 2015,10 Feb 2015,,,
Mexico,Mexico,,Ayatsil-Tekel,Ayatsil-Tekel Ph 2,Pemex,Planned,EPIC,EPIC Tekel flowline,,,15 Apr 2015,15 Apr 2015,15 Mar 2016,11.0,
Mexico,Mexico,,Ayatsil-Tekel,Ayatsil-Tekel Ph 2,Pemex,Planned,Lease,FPSO Lease,,,1 Sep 2015,1 May 2017,,,"12/13 estimated USD 1-1.4 billion. 1/13 10-year lease, est cost USD 1.187 billion"
Mexico,Mexico,,Bolontiku,Bolontiku 2014+,Pemex,Planned,EPC,supply of Bolontiku-D platform,,,10 Mar 2015,10 Mar 2015,,,"1/14 estimates USD 57.9 million, 420 day scope
2009 estimates: 12 months to construction, USD 27 million; to install USD 15 million"
Mexico,Mexico,Region Marina Noreste,Cantarell,Cantarell 2012+,Pemex,Planned,EPIC,EPIC Akal-H2 pipes,,,15 Jan 2015,30 Jan 2015,,,"1/14 estimated cost USD 83.010 million, 300-day scope"
Mexico,Mexico,Region Marina Noreste,Cantarell,Cantarell 2012+,Pemex,Planned,EPC,EPC Akal-CD platform,,,1 Jul 2015,1 Jul 2015,,,"1/13 450 days, estimated USD 49.8 million cost"
Mexico,Mexico,,Che,Che - 2014,Pemex,Planned,EPC,supply of PP-Che-1,,,1 Jul 2015,1 Jul 2015,1 Dec 2016,17.0,
Mexico,Mexico,,Homol-Tumut,Homol-Tumut 2015,Pemex,Planned,EPIC,16-inch 1.9-mile Homol-101/Homol-A,,,15 Dec 2014,23 Dec 2014,,,
Mexico,Mexico,,Homol-Tumut,Homol-Tumut 2015,Pemex,Planned,EPIC,16-inch 1.89-mile Homol-A/Kuil-A,,,14 Nov 2014,27 Nov 2014,,,
Mexico,Mexico,,Ixtoc (+ Kambesah),Ixtoc Rehabilitation,Pemex,Planned,EPIC,EPC pipelines Ixtoc-TA/Kambesah,,,10 Mar 2015,20 Mar 2015,,,1/14 estimated cost USD 82 million. 340-day scope
Mexico,Mexico,Region Marina Noreste,Ku-Maloob-Zaap,Ku-Maloob-Zaap 2012+,Pemex,Planned,EPC,EPC PB-Ku-H2 plat,,,1 Sep 2015,1 Sep 2015,,,"1/14 est cost USD 359.814 million, 892-day scope"
Mexico,Mexico,Region Marina Noreste,Ku-Maloob-Zaap,Ku-Maloob-Zaap 2012+,Pemex,Planned,EPIC,EPIC accom. HA-KU-A1 platform,,,10 Mar 2015,10 Apr 2015,,,"03/10 engineering, procurement, fabrication, transportation, installation, hookup, pre-comissioning, comissioning"
Mexico,Mexico,Region Marina Noreste,Ku-Maloob-Zaap,Ku-Maloob-Zaap 2012+,Pemex,Planned,EPIC,EPIC pipeline scope,,,31 Mar 2015,31 Mar 2015,15 Apr 2016,12.5,
Mexico,Mexico,,Kuil,Kuil 2014,Pemex,Planned,EPC,Kuil-C/D,,,15 May 2015,20 May 2015,,,"1/14 est budget USD 38.6 million, 420-day scope"
Mexico,Mexico,,Kuil,Kuil 2014,Pemex,Planned,EPIC,16-inch 2.17-mile gas Kuil-A/Kuil-B,,,1 Apr 2015,15 Apr 2015,,,
Mexico,Mexico,,Kuil,Kuil 2014,Pemex,Planned,Installation,"T&I EK-A2, PP-Kuil-B",,,1 Sep 2015,4 Nov 2015,,,"1/14 estimated cost USD 38 million, 127-day scope"
Mexico,Mexico,,Mexico TBD,Mexico TBD,Pemex,Planned,Installation,T&I of offshore structures,,,15 Dec 2014,19 Dec 2014,,,"1/14 estimated cost USD 579 million, 1,825-day scope"
Mexico,Mexico,,Mexico TBD,Mexico TBD,Pemex,Planned,Installation,"1,004-day structure install, rehab",,,10 Feb 2015,20 Feb 2015,,,"1/14 estimated cost 520 million, 1,004-day scope"
Mexico,Mexico,,Mexico TBD,Mexico TBD,Pemex,Planned,Lease,supply/lease EWT FPSO,Bluewater,,1 Dec 2015,1 Dec 2017,,,
Mexico,Mexico,,Pokoch,Pokoch,Pemex,Planned,EPIC,16-inch 4.84-mile Pokoch-A/Tumut-A,,,1 Apr 2015,1 May 2015,,,
Mexico,Mexico,,Taratunich (+ Abkatun-Pol-Chuc),Taratunich 2015,Pemex,Planned,EPIC,9-inch 7.5-mile gas Abk-H/Tarat-TH,,,10 Apr 2015,10 Apr 2015,10 Aug 2015,4.0,
Mexico,Mexico,Mision,Tsimin-Xux (+ Kab),Tsimin-Xux,Pemex,Planned,EPIC,EPIC ppl Tsimin-D/A+Kab-C/Tsimin-A,,,5 Nov 2014,16 Dec 2014,,,"1/14 estimated costs USD 77 million, 300-day scope"
Mexico,Mexico,,Wayil,Wayil,Pemex,Planned,EPIC,16-inch 2.79-mile Wayil-A/Homol-101,,,1 Apr 2015,1 May 2015,,,
Mexico,Mexico,Activo Integral Litoral de Tabasco (AILT),Yaxche,Yaxche 2015,Pemex,Planned,EPIC,EPIC 24-in 13-miles ppl,,,1 Apr 2015,1 Apr 2015,,,
Mexico,Mexico,Activo Integral Litoral de Tabasco (AILT),Yaxche,Yaxche 2015,Pemex,Planned,EPIC,EPIC Yaxche-C platform,,,10 Mar 2015,10 Mar 2015,,,"03/10 procurement, fabrication, transportation, installation, hookup, pre-comissioning, comissioning
PEMEX 2009 cost estimate for platform: USD 43 million for construction, USD 24 million for installation"
Middle East,Iran,,Alpha,Alpha,NIOC,Planned,EPIC,EPIC,,,14 Jun 2016,14 Jun 2016,14 Jun 2017,12.0,
Middle East,Iran,,Esfandiar,Esfandiar,PEDCO,Planned,EPIC,EPIC,,,10 Dec 2014,10 Dec 2014,31 Dec 2016,24.7,"02/10: development to commence as soon as talks over finance investment are finalised; QNB (Qatar National Bank) reportedly to invest 400 million euros for Esfandiar
1/08: Prequalification closed on Jan 12."
Middle East,Iran,Farsi,Farzad-B,Farzad-B,ONGC Videsh,Planned,EPIC,"WH, PPL",,,1 Jun 2016,1 Jun 2016,1 Jun 2018,23.9,
Middle East,Iran,,Ferdowsi Gas Field,Ferdowsi gas project,NIOC,Planned,EPIC,"1plat, 1 ppl",,,15 Dec 2015,15 Dec 2015,31 Dec 2018,36.5,
Middle East,Iran,,Golshan,Golshan Gas Field,NIOC,Planned,EPIC,"2plats, 2 ppls",,,20 Jan 2016,20 Jan 2016,15 Jan 2020,47.7,
Middle East,Iran,,Nasr,Nasr platform refurbishment,NIOC,Tendering,EPIC,N1-N6 platform refurbishment,,,15 Jan 2015,15 Jan 2015,15 Jan 2016,12.0,10/2014: delay in contract award due to financial issues
Middle East,Iran,,Resalat,Resalat Redevelopment,NIOC,Planned,EPIC,EPIC,,,1 Apr 2015,1 Apr 2015,1 May 2017,25.0,"1/08: Tripartite consortium comprising CNPC, OilFab and Amona International Ventures"
Middle East,Iran,South Pars,South Pars,South Pars Oil Layer (SPOL) Phase 1,POGC,Tendering,Lease,FPSO,,,31 Jan 2020,31 Jan 2020,31 Jan 2030,119.8,
Middle East,Iran,South Pars,South Pars,South Pars Oil Layer (SPOL) Phase 2,PEDCO,Planned,EPIC,"1 WH plat, 1 ppl",,,1 Jun 2018,1 Jun 2018,1 Jun 2020,24.0,
Middle East,Kuwait,,,Al Ahmadi New Refinery Project (NRP),KNPC,Tendering,EPC,EPC,,1 Sep 2014,1 Dec 2014,1 Dec 2014,10 Apr 2018,40.2,05/2014: estimated cost of USD 9 billion
Middle East,Kuwait,,,Al Ahmadi New Refinery Project (NRP),KNPC,Tendering,EPIC,SPM and pipelines,"Hyundai Heavy Industries, Leighton International, NPCC, Saipem, Swiber",1 Sep 2014,15 Dec 2014,15 Dec 2014,20 Jun 2018,42.1,
Middle East,Kuwait,,,Al Zour Oil Refinery,KNPC,Tendering,EPIC,Subsea pipelines,Hyundai E&C,,16 Nov 2014,16 Nov 2014,28 Feb 2019,51.3,"05/2014: tenders released in May 2014
02/2012: go signal to proceed with project after the contract was declared null and void in 2010
2/09: Hyundai E&C won LOI in late 2008; negotiating subcontract with HHI."
Middle East,Neutral Zone,,Al Khafji,KJO Upgrade (5-yr maintenance),KJO,Tendering,Installation,"5-yr installation, modification and upgrade work",,,16 Nov 2014,16 Nov 2014,17 Nov 2019,59.9,
Middle East,Qatar,Bul Hanine,Bul Hanine,Bul Hanine Redevelopment,Qatar Petroleum,Planned,FEED,FEED,,,1 Dec 2015,1 Jan 2016,1 Jan 2017,12.0,
Middle East,Qatar,Bul Hanine,Bul Hanine,Bul Hanine Redevelopment,Qatar Petroleum,Planned,EPIC,EPIC,,,1 Sep 2017,1 Sep 2017,1 Sep 2021,47.9,
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 3,Occidental,Planned,EPIC,EPIC,,,5 Aug 2015,5 Aug 2015,31 Jan 2017,17.9,
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 5,Occidental,Tendering,EPIC,Package 6: Accommodation platform PS-1M,,31 Oct 2014,31 Dec 2014,31 Dec 2014,31 Dec 2018,47.9,
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 5,Occidental,Tendering,EPIC,Package 3: (1) 30-in MOL and (1) 24-in WI ppl,,31 Oct 2014,31 Dec 2014,31 Dec 2014,31 Dec 2018,47.9,
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 5,Occidental,Tendering,EPIC,"Package 4: Flowlines for produced fluids, gas lift and water injection",,31 Oct 2014,31 Dec 2014,31 Dec 2014,31 Dec 2018,47.9,
