FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,#1,Stybarrow/Eskdale,BHP Billiton,Installed,Oil Producer,Satellite,2007,ABB Vetco Gray,810,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,#2,Stybarrow/Eskdale,BHP Billiton,Installed,Oil Producer,Cluster,2007,ABB Vetco Gray,836,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,#2,Stybarrow/Eskdale,BHP Billiton,Installed,Oil Producer,Cluster,2007,ABB Vetco Gray,836,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,#1,Stybarrow/Eskdale,BHP Billiton,Installed,Gas Injector,Satellite,2007,ABB Vetco Gray,810,12/08 Deviated Gas Injector
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,#2,Stybarrow/Eskdale,BHP Billiton,Installed,Oil Producer,Cluster,2007,VetcoGray,857,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,NT/P12,Greater Sunrise,#1,Sunrise LNG,Woodside,Possible,,,2021,,160,
Australia/New Zealand,Australia,,Tarwhine,#1,Tarwhine,ExxonMobil,Installed,Oil Producer,Satellite,1989,VetcoGray,43,
Australia/New Zealand,Australia,TL/1,Ulidia,#1,Ulidia,Apache,Possible,,,2016,,25,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Water Injector,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Water Injector,Cluster,2008,Cameron,400,
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Gas Injector,Cluster,2008,Cameron,400,"Single two-way
gas injection/flow back well"
Australia/New Zealand,Australia,WA-155-P,Van Gogh,#1,Van Gogh,Apache,Installed,Oil Producer,Cluster,2009,Cameron,400,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2007,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2007,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2008,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2009,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2009,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2010,FMC,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Gas Injector,Cluster,2010,,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Water Injector,Cluster,2010,,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Water Injector,Cluster,2010,,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2010,,379,
Australia/New Zealand,Australia,WA-28-L,Vincent,#1,Vincent,Woodside,Installed,Oil Producer,Cluster,2010,FMC,379,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#2,Wanaea/Cossack,Woodside,Installed,,Satellite,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#2,Wanaea/Cossack,Woodside,Installed,,Satellite,1995,FMC,120,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,FMC,120,Field reserves estimated at 30 MM bbls oil.
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#3,Wanaea/Cossack,Woodside,Installed,Oil Producer,Template,1995,Cooper Cameron,80,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#1,Wanaea/Cossack,Woodside,Installed,Oil Producer,Cluster,1999,FMC,127,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),#1,Wanaea/Cossack,Woodside,Installed,Oil Producer,Cluster,1999,FMC,127,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2014,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2014,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2014,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2014,,200,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#2,Wheatstone/Iago,Chevron,Construction,,Cluster,2014,FMC,118,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#2,Wheatstone/Iago,Chevron,Construction,,Cluster,2014,FMC,118,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2015,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#2,Wheatstone/Iago,Chevron,Construction,,Cluster,2015,FMC,118,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2015,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2015,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2015,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2016,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2016,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2016,,213,
Australia/New Zealand,Australia,WA-17-R,Wheatstone/Iago,#1,Wheatstone/Iago,Chevron,Planned,,Cluster,2016,,213,
Australia/New Zealand,Australia,VIC/L10,Whiptail,#1,Whiptail,ExxonMobil,Possible,,Cluster,2015,,39,
Australia/New Zealand,Australia,VIC/L10,Whiptail,#1,Whiptail,ExxonMobil,Possible,,Cluster,2015,,39,
Australia/New Zealand,Australia,VIC/L10,Whiptail,#1,Whiptail,ExxonMobil,Possible,,Cluster,2015,,39,
Australia/New Zealand,Australia,VIC/L10,Whiptail,#1,Whiptail,ExxonMobil,Possible,,Cluster,2015,,39,
Australia/New Zealand,Australia,WA-25-L,Woollybutt,#1,Woollybutt,Agip,Installed,Oil Producer,Satellite,2003,ABB Vetco Gray,100,"Well onstream by March 31, 2003."
Australia/New Zealand,Australia,WA-25-L,Woollybutt,#1,Woollybutt,Agip,Installed,Oil Producer,Satellite,2003,ABB Vetco Gray,100,"Well onstream by March 31, 2003."
Australia/New Zealand,Australia,WA-25-L,Woollybutt,#3,Woollybutt South,Eni,Installed,Oil Producer,Satellite,2008,,100,
Australia/New Zealand,Australia,WA-25-L,Woollybutt,#3,Woollybutt South,Eni,Installed,Oil Producer,Satellite,2008,,400,
Australia/New Zealand,Australia,WA-350-P,Xena,#1,Xena Phase 1,Woodside,Planned,Gas Producer,,2015,,178,
Australia/New Zealand,Australia,WA-350-P,Xena,#2,Xena Phase 2,Woodside,Planned,Gas Producer,,2020,,178,
Australia/New Zealand,Australia,VIC/L5,Yellowtail,#1,Yellowtail,ExxonMobil,Possible,,Satellite,2019,,95,
Australia/New Zealand,Australia,VIC/L5,Yellowtail,#1,Yellowtail,ExxonMobil,Possible,,Satellite,2019,,95,
Australia/New Zealand,New Zealand,PEP 38602,Karewa,#1,Karewa,Todd,Possible,Gas Producer,,2017,,89,
Australia/New Zealand,New Zealand,PMP 38158,Oi,#1,Oi,AWE,Possible,Oil Producer,,2016,,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,#2,Tui Area Oil Project,AWE,Installed,Oil Producer,,2006,Cooper Cameron,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,#1,Tui Area Oil Project,AWE,Installed,Oil Producer,Satellite,2007,Cooper Cameron,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,#3,Tui Area Oil Project,AWE,Installed,Oil Producer,Satellite,2007,Cooper Cameron,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,#1,Tui Area Oil Project,AWE,Installed,Oil Producer,Satellite,2007,Cooper Cameron,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,#2,Tui Area Oil Project,AWE,Installed,Oil Producer,,2014,Cooper Cameron,190,"08/14: Pateke-4H development well 
completed and suspended.Tie-back operations to Tui FPSO planned to commence in Q1 2015. Production from Pateke-4H likely to commence in Q2 2015. Estimated tie-back costs USD 44 million.  
09/13: Pateke-4H drilling is planned for December 2013. In a success case Pateke-4H will be completed using the Kan Tan IV drilling rig before its release with a subsequent tie-in to the Tui facilities scheduled for late 2014 with first oil forecast in early 2015."
Baltic,Poland,,B-3,#1,B-3,Petrobaltic,Installed,Oil Producer,Satellite,1995,Cooper Cameron,80,
Baltic,Poland,,B-3,#2,B-3,Petrobaltic,Installed,Oil Producer,Satellite,1996,Cooper Cameron,80,
Baltic,Poland,,B-3,#2,B-3,Petrobaltic,Installed,Oil Producer,Satellite,1997,Cooper Cameron,80,
"Canada, East",Canada,EL 1112,Bay du Nord,#1,Bay du Nord,Statoil,Possible,,,2018,,"1,100",
"Canada, East",Canada,EL 1112,Bay du Nord,#1,Bay du Nord,Statoil,Possible,,,2018,,"1,100",
"Canada, East",Canada,EL 1112,Bay du Nord,#1,Bay du Nord,Statoil,Possible,,,2018,,"1,100",
"Canada, East",Canada,EL 1112,Bay du Nord,#1,Bay du Nord,Statoil,Possible,,,2018,,"1,100",
"Canada, East",Canada,EL 1112,Bay du Nord,#1,Bay du Nord,Statoil,Possible,,,2018,,"1,100",
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2017,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2017,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2017,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2017,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Gas Injector,Cluster,2018,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2018,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Gas Injector,Cluster,2018,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2018,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2018,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2018,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2018,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2019,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2019,,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2019,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2019,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2020,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#2,Ben Nevis,ExxonMobil,Possible,Water Injector,Cluster,2020,,100,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),#1,Ben Nevis,ExxonMobil,Possible,Oil Producer,Cluster,2020,,97,
"Canada, East",Canada,,Chebucto,#1,Chebucto,ExxonMobil,Possible,,Satellite,2016,,65,
"Canada, East",Canada,,Chebucto,#1,Chebucto,ExxonMobil,Possible,,Satellite,2016,,65,
"Canada, East",Canada,,Deep Panuke,#1,Deep Panuke,EnCana,Installed,Gas Producer,Cluster,2010,VetcoGray,36,
"Canada, East",Canada,,Deep Panuke,#1,Deep Panuke,EnCana,Installed,Gas Producer,Cluster,2010,VetcoGray,43,
"Canada, East",Canada,,Deep Panuke,#1,Deep Panuke,EnCana,Installed,Gas Injector,Cluster,2010,VetcoGray,41,Hydrogen Sulphide and carbon dioxide disposal well
"Canada, East",Canada,,Deep Panuke,#1,Deep Panuke,EnCana,Installed,Gas Producer,Cluster,2010,VetcoGray,41,
"Canada, East",Canada,,Deep Panuke,#1,Deep Panuke,EnCana,Installed,Gas Producer,Cluster,2010,VetcoGray,44,
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,#2,Hibernia Southern Extension,ExxonMobil,Installed,Water Injector,Template,2013,FMC,85,
"Canada, East",Canada,,Hibernia Southern Extension,#1,Hibernia Southern Extension,ExxonMobil,Installed,Water Injector,Template,2013,FMC,85,
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,#2,Hibernia Southern Extension,ExxonMobil,Installed,Water Injector,Template,2013,FMC,85,
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,#1,Hibernia Southern Extension,ExxonMobil,Construction,Water Injector,Template,2014,FMC,85,
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,#1,Hibernia Southern Extension,ExxonMobil,Construction,Water Injector,Template,2015,FMC,85,
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,#2,Hibernia Southern Extension,ExxonMobil,Construction,Water Injector,Template,2015,FMC,85,
"Canada, East",Canada,EL 2409 (Mariner),Mariner (Canada),#1,Mariner (Canada),Canadian Superior,Cancelled,,Cluster,2015,,35,
"Canada, East",Canada,EL 2409 (Mariner),Mariner (Canada),#1,Mariner (Canada),Canadian Superior,Cancelled,,Cluster,2015,,35,
"Canada, East",Canada,EL 2409 (Mariner),Mariner (Canada),#1,Mariner (Canada),Canadian Superior,Cancelled,,Cluster,2015,,35,
"Canada, East",Canada,EL 2409 (Mariner),Mariner (Canada),#1,Mariner (Canada),Canadian Superior,Cancelled,,Cluster,2015,,35,
"Canada, East",Canada,PL 1008,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Oil Producer,Satellite,2010,Cameron,129,
"Canada, East",Canada,PL 1008,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Oil Producer,Satellite,2010,Cameron,129,
"Canada, East",Canada,PL 1008,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Water Injector,Satellite,2010,Cameron,127,
"Canada, East",Canada,PL 1008,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Water Injector,Satellite,2011,Cameron,129,
"Canada, East",Canada,PL 1008,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Oil Producer,Satellite,2011,Cameron,127,
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Water Injector,Satellite,2011,Cameron,122,
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Oil Producer,Satellite,2012,Cameron,129,
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Oil Producer,Satellite,2013,Cameron,122,installed during 4Q13 Henry Goodrich drilled.
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Installed,Water Injector,Satellite,2013,Cameron,122,8/13: Drilled by GSF Grand Banks
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Construction,,Satellite,2014,Cameron,122,
"Canada, East",Canada,EL 1045,North Amethyst,#1,North Amethyst,Husky Oil,Construction,,Satellite,2015,Cameron,122,
"Canada, East",Canada,,North Ben Nevis,#1,North Ben Nevis,Husky Oil,Possible,Oil Producer,Satellite,2020,,100,
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Installed,Gas Injector,Cluster,2013,Cameron,122,SWRX Gas Injector
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Installed,Gas Injector,Cluster,2014,Cameron,122,South Avalon Terrace Gas Injector
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Construction,Oil Producer,Cluster,2014,Cameron,122,South Avalon Terrace Producer
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Construction,Oil Producer,Cluster,2014,Cameron,122,SWRX Oil Producer F-04 fault block
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Construction,Oil Producer,Cluster,2015,Cameron,122,SWRX Oil Producer F-04Z Fault Block
"Canada, East",Canada,,South White Rose,#1,South White Rose Extension (SWRX),Husky Oil,Construction,Water Injector,Cluster,2016,Cameron,122,SWRX Water Injector
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2000,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2000,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Gas Injector,Cluster,2000,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2001,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2001,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2001,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Water Injector,Cluster,2001,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Water Injector,Cluster,2001,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2002,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Water Injector,Cluster,2002,FMC,94,9 wells onstream as of 5/29/02.
"Canada, East",Canada,,Terra Nova,#2,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2003,FMC,118,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2003,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Water Injector,Cluster,2004,FMC,94,"26 (15 oil prod,8 water inj, and 3 gas inj) wells planned for production.
Sidetrack G 90 4Z drilling in 2009 G 90 4 had reservoir issues"
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Gas Injector,Cluster,2004,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Water Injector,Cluster,2004,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2004,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2004,FMC,104,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2004,FMC,95,
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2004,FMC,94,
"Canada, East",Canada,,Terra Nova,#2,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2005,FMC,94,
"Canada, East",Canada,,Terra Nova,#2,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2005,FMC,94,
"Canada, East",Canada,PL 1002,Terra Nova,#4,Terra Nova,Suncor,Installed,Water Injector,,2005,FMC,94,
"Canada, East",Canada,PL 1002,Terra Nova,#4,Terra Nova,Suncor,Installed,Water Injector,,2006,FMC,94,
"Canada, East",Canada,,Terra Nova,#2,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2006,FMC,116,
"Canada, East",Canada,PL 1002,Terra Nova,#4,Terra Nova,Suncor,Installed,Water Injector,,2006,FMC,119,
"Canada, East",Canada,,Terra Nova,#3,Terra Nova,Suncor,Installed,Gas Injector,Cluster,2007,FMC,94,"26 (15 oil prod, 8 water inj, and 3 gas inj) wells planned for production."
"Canada, East",Canada,PL 1002,Terra Nova,#4,Terra Nova,Suncor,Installed,Water Injector,,2009,FMC,94,
"Canada, East",Canada,,Terra Nova,#1,Terra Nova,Suncor,Installed,Oil Producer,Cluster,2011,FMC,94,
"Canada, East",Canada,PL 1002,Terra Nova,#5,Terra Nova Far East,Suncor,Possible,Water Producer,Template,2018,,122,
"Canada, East",Canada,PL 1002,Terra Nova,#5,Terra Nova Far East,Suncor,Possible,Oil Producer,Template,2018,,122,
"Canada, East",Canada,,West White Rose,#1,West White Rose Pilot,Husky Oil,Installed,Oil Producer,Satellite,2011,Cameron,122,Well will have 3 zone completion design to give a better understanding of the reservoir.
"Canada, East",Canada,PL 1009,West White Rose,#1,West White Rose Pilot,Husky Oil,Installed,Water Injector,Satellite,2012,Cameron,128,"GSF Grand Banks drilling well beginning Sep 5, 2011. Suspended Nov.25 due to Maersk Detector running into Drill rig."
"Canada, East",Canada,PL 1006,White Rose,#4,White Rose,Husky Energy,Installed,Gas Injector,Cluster,2004,Cameron,131,
"Canada, East",Canada,PL 1006,White Rose,#2,White Rose,Husky Oil,Installed,Water Injector,Cluster,2004,Cameron,131,
"Canada, East",Canada,PL 1006,White Rose,#2,White Rose,Husky Oil,Installed,Water Injector,Cluster,2004,Cameron,131,
"Canada, East",Canada,PL 1006,White Rose,#2,White Rose,Husky Oil,Installed,Oil Producer,Cluster,2004,Cameron,128,
"Canada, East",Canada,PL 1006,White Rose,#2,White Rose,Husky Oil,Installed,Water Injector,Cluster,2004,Cameron,131,
