FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),#1,Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy, Anzon",Installed,Oil Producer,Cluster,2006,Cooper Cameron,200,9/08: Basker-6 sidetrack subsea tree tied to Basker manifold.
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),#6,Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy",Cancelled,Gas Producer,,2015,,125,Manta Well 1
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),#6,Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy",Cancelled,Gas Producer,,2015,,125,Manta Gas Well 2
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),#6,Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy",Cancelled,Gas Producer,,2015,,125,Gummy Gas Well 1
Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,#1,Bayu-Undan Phase III,ConocoPhillips,Installed,,,2014,FMC,79,
Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,#1,Bayu-Undan Phase III,ConocoPhillips,Installed,,,2014,FMC,79,
Australia/New Zealand,Australia,VIC P/24,Blackback,#1,Blackback,ExxonMobil,Installed,Oil Producer,Satellite,1999,ABB Vetco Gray,400,
Australia/New Zealand,Australia,VIC P/24,Blackback,#1,Blackback,ExxonMobil,Installed,Oil Producer,Satellite,1999,ABB Vetco Gray,400,
Australia/New Zealand,Australia,VIC P/24,Blackback,#1,Blackback,ExxonMobil,Installed,Oil Producer,Satellite,1999,ABB Vetco Gray,400,
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,#3,Bonaparte LNG,Apache,Planned,Gas Producer,,2018,,89,
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,#1,Bonaparte LNG,GDF Suez,Planned,Gas Producer,,2018,,100,
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,#1,Bonaparte LNG,GDF Suez,Planned,Gas Producer,,2018,,100,
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,#2,Bonaparte LNG,Apache,Planned,Gas Producer,,2019,,90,
Australia/New Zealand,Australia,WA-18-P,Bonaparte LNG,#2,Bonaparte LNG,Apache,Planned,Gas Producer,,2019,,90,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,#2,Browse FLNG 2,Woodside,Planned,Gas Producer,,2021,,,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,#2,Browse FLNG 2,Woodside,Planned,Gas Producer,,2021,,,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,#2,Browse FLNG 2,Woodside,Planned,Gas Producer,,2022,,,
Australia/New Zealand,Australia,WA-32-R,Browse LNG,#2,Browse FLNG 2,Woodside,Planned,Gas Producer,,2022,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#1,Browse FLNG 3,Woodside,Planned,Gas Producer,,2020,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#1,Browse FLNG 3,Woodside,Planned,Gas Producer,,2020,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#1,Browse FLNG 3,Woodside,Planned,Gas Producer,,2021,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#1,Browse FLNG 3,Woodside,Planned,Gas Producer,,2021,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#3,Browse FLNG 3,Woodside,Planned,Gas Producer,,2022,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#3,Browse FLNG 3,Woodside,Planned,Gas Producer,,2022,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#3,Browse FLNG 3,Woodside,Planned,Gas Producer,,2023,,,
Australia/New Zealand,Australia,WA-30-R,Browse LNG,#3,Browse FLNG 3,Woodside,Planned,Gas Producer,,2023,,,
Australia/New Zealand,Australia,NT/P69,Caldita/Barossa,#1,Caldita/Barossa,ConocoPhillips,Planned,Gas Producer,,2016,,233,
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,#5,Cash-Maple Development,PTTEP,Possible,Gas Producer,Cluster,2018,,122,"Loc: -12.01853009, 	124.53993099"
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,#5,Cash-Maple Development,PTTEP,Possible,Gas Producer,Cluster,2018,,122,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#4,Cash-Maple Development,PTTEP,Possible,Gas Producer,Satellite,2019,,82,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#3,Cash-Maple Development,PTTEP,Possible,Gas Producer,Satellite,2019,,88,"Loc: -12.679362, 124.49186099"
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,#5,Cash-Maple Development,PTTEP,Possible,Gas Producer,Cluster,2019,,122,
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,#5,Cash-Maple Development,PTTEP,Possible,Gas Producer,Cluster,2019,,122,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#1,Cash-Maple Development,PTTEP,Possible,Gas Producer,,2019,,305,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#2,Cash-Maple Development,PTTEP,Possible,Gas Producer,Satellite,2019,,89,
Australia/New Zealand,Australia,AC/P33,Cash-Maple Development,#1,Cash-Maple Development,PTTEP,Possible,Gas Producer,,2019,,305,
Australia/New Zealand,Australia,AC/P33,Cash-Maple Development,#1,Cash-Maple Development,PTTEP,Possible,Gas Producer,,2019,,305,
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#2,Cash-Maple Development,PTTEP,Possible,Gas Producer,Satellite,2019,,89,
