FieldsBase Discovery Search - Data Download,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:48 for Dirk Rook,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Region,Country,Block,Field,Well name,Operator,Type,Discovery year,Announced date,Well water depth (m),Zones,Remark
Australia/New Zealand,Australia,WA-268-P,Elfin,Elfin-1,Chevron,Gas,2013,23 Apr 2013,332,1,
Australia/New Zealand,Australia,,Equus LNG,Glenloth 1,Hess,Gas,2010,29 Jul 2010,"1,117",1,Either well could be the discovery. I will correct this record when more information is a vailable
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Briseis-1,Hess,Gas,2008,21 Jul 2008,"1,118",1,151 feet (46 meter) of net gas in line with pre-drill estimates. Second discovery (well number 2 of 4 planned on block)
Australia/New Zealand,Australia,WA-390-P,Equus LNG,WA-390-P (Glencoe-1),Hess,Gas,2008,10 Jun 2008,"1,121",1,
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Rimfire,Hess,Gas,2009,18 Sep 2009,"1,115",1,Rimfire was a sidetrack to Bravo-1
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Mentorc-1,Hess,Gas,2009,12 Nov 2009,"1,128",1,
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Bravo-1,Hess,Gas,2009,18 Sep 2009,"1,115",1,
Australia/New Zealand,Australia,WA-390-P,Equus LNG,Nimblefoot-1,Hess,Gas,2008,4 Sep 2008,"1,115",1,
Australia/New Zealand,Australia,WA-34-L,Eris,Eris-1,Woodside,Gas,2009,24 Nov 2009,180,1,
Australia/New Zealand,Australia,NT/P48,Evans Shoal,Evans Shoal North-1,Eni,Gas,2013,31 Oct 2013,111,1,
Australia/New Zealand,Australia,NT/P48,Evans Shoal South,Evans Shoal South #1,Santos,Gas,2006,27 Jul 2006,96,1,
Australia/New Zealand,Australia,WA-191-P,Finucane South/Fletcher,Fletcher-1,Santos,Oil,2007,15 Jan 2009,152,1,"TVD: 9,894 Feet"
Australia/New Zealand,Australia,WA-191-P,Finucane South/Fletcher,Finucane South 1A,Santos,Oil,2011,16 May 2011,140,1,
Australia/New Zealand,Australia,,Firebird,Firebird #1,ConocoPhillips,Gas,2006,10 Jan 2006,80,1,Well was drilled to confirm reach of fieldWell was not commercially Viable
Australia/New Zealand,Australia,WA-286-P,Frankland,Frankland -1,Roc Oil,Gas,2007,6 May 2007,41,1,
Australia/New Zealand,Australia,,Frigate Deep,Frigate Deep - 1,Santos,Gas,2008,26 Aug 2008,89,1,Area previously drilled by the Atwood Southern Cross (1978)Frigate Deep - 1 went 980 meters deeperWell was not tested
Australia/New Zealand,Australia,WA-24-R,Geryon/Orthrus tieback,WA-24-R Orthrus-2,Chevron,Gas,2011,9 Feb 2011,"1,167",2,
Australia/New Zealand,Australia,TL/1,Gipsy/Rose/Lee,Rose-1,Apache,"Gas, Condensate",1998,26 Aug 1998,25,1,
Australia/New Zealand,Australia,TL/1,Gipsy/Rose/Lee,Lee-1,Apache,Gas,1999,5 Mar 1999,,1,
Australia/New Zealand,Australia,WA-268-P,Gorgon Phase II - Fourth Train Expansion,Chandon #1,ChevronTexaco,Gas,2006,14 Jul 2006,"1,189",1,Chevron is DBA Texaco in AustraliaExxonMobil and Shell will Farm in
Australia/New Zealand,Australia,WA-28-P,Greater Western Flank Phase 2 (GWF-2),Pemberton-1,Woodside,Gas,2006,14 Aug 2006,79,1,
Australia/New Zealand,Australia,,Gudrun,Gudrun #1,Apache,Oil,2001,26 Feb 2002,24,1,
Australia/New Zealand,Australia,WA-13-L,Halyard,WA-13-L Halyard-1,Apache,"Gas, Condensate",2008,8 Apr 2008,112,1,
Australia/New Zealand,Australia,,Harrison,Harrison 1,BHP Billiton,Oil,2004,30 May 2004,193,1,
Australia/New Zealand,Australia,,Highgrove,Highgrove-1,Apache,Gas,2005,10 Oct 2005,24,1,
Australia/New Zealand,Australia,WA-390-P,Hijinx,Hijinx-1,Hess,,2009,27 Jan 2010,"1,113",0,
Australia/New Zealand,Australia,,Hurricane UK,Hurricane #1,Santos,Gas,2005,1 Jan 2005,56,1,
Australia/New Zealand,Australia,,Ichthys North,Ichthys Deep #1,INPEX,Gas,2003,27 Nov 2003,271,1,
Australia/New Zealand,Australia,,Josephine,Josephine-1,Apache,"Gas, Condensate",2000,13 Jan 2000,30,3,"Abandoned, 3 zones"
Australia/New Zealand,Australia,WA-356-P,Julimar,Julimar-1,Apache,Gas,2007,17 Apr 2007,190,1,132 feet of net pay
Australia/New Zealand,Australia,WA-356-P,Julimar East,Julimar East-1,Apache,"Oil, Gas",2007,17 Jul 2007,157,1,224 feet in six zones
Australia/New Zealand,Australia,WA-356-P,Julimar Southeast,Julimar Southeast-1,Apache,Gas,2008,8 Apr 2008,153,1,40 metres net pay.
Australia/New Zealand,Australia,,Jupiter,Jupiter #1,Phillips,Gas,1979,15 Jul 1979,959,1,No results available. Development plans are unknown.
Australia/New Zealand,Australia,,Kaleidoscope,Kaleidoscope,Coveyork,Gas,2001,12 Mar 2002,267,1,
Australia/New Zealand,Australia,,Kelp Deep,Kelp Deep #1,Mobil,Oil,1997,30 Jul 1997,223,1,Well suspended - tight hole.
Australia/New Zealand,Australia,WA-365-P,Kentish Knock,Blk WA-365-P Kentish Knock-1,Chevron,Gas,2009,18 Aug 2009,"1,219",1,"TVD: 8,300 feet"
Australia/New Zealand,Australia,WA-365-P,Kentish Knock South,Kentish Knock South-1,Chevron,Gas,2013,7 Feb 2013,"1,168",1,02/13: Field not named
Australia/New Zealand,Australia,JPDA 06-105,Kitan,JPDA 06-105 Kitan-1,Eni,Oil,2008,10 Mar 2008,330,1,
Australia/New Zealand,Australia,WA-398-P,Kronos,Kronos-1,ConocoPhillips,Gas,2010,19 May 2010,488,1,
Australia/New Zealand,Australia,,Langdale,Langdale,BHP Billiton,Gas,2005,15 Apr 2005,190,1,
Australia/New Zealand,Australia,WA-404-P,Larsen Deep,Larsen Deep-1,Woodside,Gas,2010,17 Aug 2010,"1,245",1,
Australia/New Zealand,Australia,WA-274-P,Lasseter,Lasseter-1,Santos,"Gas, Condensate",2014,22 Aug 2014,404,1,
Australia/New Zealand,Australia,,Lauda,Lauda 1,OMV,Oil,2005,1 Apr 2005,242,1,
Australia/New Zealand,Australia,WA-36-R,Laverda North,Laverda North,Woodside,Oil,2011,5 May 2011,850,1,
Australia/New Zealand,Australia,WA-1-R,Legendre,Legendre-1,,Oil,1968,31 Oct 1968,50,1,
Australia/New Zealand,Australia,AC/P41,Libra,Libra-1,Shell,,2008,6 Jan 2009,170,1,"TVD: 12,890 feet"
Australia/New Zealand,Australia,WA-390-P,Lightfingers,Lightfingers-1,Hess,Gas,2009,18 Sep 2009,"1,115",1,
Australia/New Zealand,Australia,,Little Sandy,Little Sandy #1,Apache,Oil,2002,22 Mar 2002,8,1,Included in Victoria
Australia/New Zealand,Australia,,Luderick,Luderick #1,Esso,"Oil, Gas",1983,15 Aug 1983,52,1,No results available. Future plans unknown.
Australia/New Zealand,Australia,WA-404-P,Martell,Martell-1,Woodside,Gas,2009,24 Feb 2009,"1,290",1,"TVD: 10,925 Feet"
Australia/New Zealand,Australia,WA-404-P,Martin,Martin-1,Woodside,Gas,2011,17 Mar 2011,"1,500",1,
Australia/New Zealand,Australia,WA-344-P,Mimia,Mimia-1,INPEX,"Gas, Condensate",2008,8 Jul 2008,254,1,"20 km northeast of Ichtys, potential tie-back?"
Australia/New Zealand,Australia,,Mohave,Mohave-1,Apache,"Oil, Gas",2005,14 Jul 2005,8,1,
Australia/New Zealand,Australia,AC/L8,Montara Dev Proj (MDP),Swallow-1,Coogee Resources,Oil,2006,20 Apr 2006,71,2,
Australia/New Zealand,Australia,AC/L8,Montara Dev Proj (MDP),Swift North-1,Coogee Resources,Oil,2006,4 Apr 2006,82,1,"7,000 Barrels Day Potential"
Australia/New Zealand,Australia,,Narvik,Narvik,Apache,Gas,1900,1 Jan 1900,20,1,Abandoned
Australia/New Zealand,Australia,,Nebo,Nebo #1,Kufpec,Oil,1993,27 May 1993,172,1,More evaluation is planned
Australia/New Zealand,Australia,WA-404-P,Noblige,Noblige-1,Woodside,Gas,2010,26 Jan 2010,"1,312",1,
Australia/New Zealand,Australia,WA-346-P,Northern Scarborough,Northern Scarborough,BHP Billiton,Gas,2012,18 Apr 2012,"1,000",1,
Australia/New Zealand,Australia,NT/P68,NT/P68 LNG,Blackwood-1,MEO Australia,Gas,2008,11 Mar 2008,60,1,
Australia/New Zealand,Australia,WA-209-P,Okapi,Okapi-1,Apache,Oil,2008,23 Jan 2009,55,1,TVD: 4643
Australia/New Zealand,Australia,WA-450-P,Olympus,Olympus-1,Apache,Gas,2013,11 Apr 2013,641,1,
Australia/New Zealand,Australia,,Oryx,Oryx-1,Apache,Oil,2000,1 May 2000,52,1,Abandoned
Australia/New Zealand,Australia,T/30P,Otway Gas Project,Thylacine South #1,Woodside,Gas,2006,11 May 2006,100,1,
Australia/New Zealand,Australia,,Pedirka,Pedirka #1,Apache,Oil,2002,22 Mar 2002,8,1,
Australia/New Zealand,Australia,WA-1-L,Persephone,Persephone-1,Woodside,"Gas, Condensate",2006,25 Jan 2007,125,1,TVD - 11043
Australia/New Zealand,Australia,WA-398-P,Pharos,Pharos-1,ConocoPhillips,Gas,2014,16 Jul 2014,500,1,
Australia/New Zealand,Australia,WA-435-P,Phoenix South,Phoenix South-1,Apache,Oil,2014,18 Aug 2014,139,1,"08/14: Drilling for gas when oil was found. Preliminary estimates of 300 million barrels of oil. At least four discrete oil columns have been confirmed between 4,160 metres (13,648 feet) and 4,500 metres (14,763 feet) below sea level."
Australia/New Zealand,Australia,,Pilchard East,East Pilchard,Esso,Gas,2001,12 Mar 2002,91,1,Tight hole.
Australia/New Zealand,Australia,WA-383-P,Pinhoe,Pinhoe-1,Chevron,Gas,2012,27 Dec 2012,929,1,
Australia/New Zealand,Australia,WA-37-L,Pontus,Pontus-1,Chevron,,2012,23 Jul 2012,210,0,
Australia/New Zealand,Australia,WA-315-P,Poseidon,Poseidon-1,Chevron,,2009,23 Apr 2009,457,1,"TVD: 16,568 Feet"
Australia/New Zealand,Australia,,Prometheus 1,Prometheus-1,Kerr-McGee,Gas,2000,12 Jun 2000,91,1,Abandoned; first of 4 wells expected to be drilled.
Australia/New Zealand,Australia,WA-398-P,Proteus,Proteus-1 ST2,Conoco,"Gas, Condensate",2013,30 Aug 2013,500,1,
Australia/New Zealand,Australia,AC/P22,Puffin SW,Blk AC-L-6,AED Oil,Oil,2008,30 Sep 2008,87,1,
Australia/New Zealand,Australia,AC/P22,Puffin SW,Puffin-9,AED Oil,,2006,24 Mar 2006,78,2,
Australia/New Zealand,Australia,AC/P22,Puffin SW,AC/P22 - Great Auk,Sinopec,,2009,7 May 2009,60,1,"TVD: 7,217 feet"
Australia/New Zealand,Australia,WA-404-P,Remy,Remy-1,Woodside,Gas,2010,25 Nov 2010,"1,289",2,
Australia/New Zealand,Australia,T/18P,Rockhopper/Gentoo,Rockhopper-1,Origin,Gas,2009,29 Dec 2009,76,1,
Australia/New Zealand,Australia,,Rubicon,Rubicon #1,Kerr-McGee,Oil,2000,4 Dec 2000,200,1,
Australia/New Zealand,Australia,,Sage,Sage-1,Apache,"Oil, Gas",1999,27 Mar 1999,67,4,Testing; potential reserves as high as 18 MMbbls.
Australia/New Zealand,Australia,WA-392-P,Sappho,Sappho-1,Chevron,Gas,2010,13 Jul 2010,812,1,
Australia/New Zealand,Australia,WA-374-P,Satyr,Satyr-2,Chevron,,2012,19 Sep 2012,"1,088",0,
